"fig4_number","manufacturing_group","cisi","harp_object","source_figure","local_signature_short","coarse_signature","canonical_ab","side_1_text","side_2_text","side_3_text","interpretation_status"
"2","group_1","H-2221","H97-3304","Figure 12.02","B_side_swap","B_side_swap","B","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"3","group_1","H-2222","H97-3305","Figure 12.03","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"4","group_1","H-2220","H97-3312","Figure 12.04","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"5","group_1","H-2227","H97-3314","Figure 12.05","B_side_swap","B_side_swap","B","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"6","group_1","H-2229","H97-3290","Figure 12.06","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"7","group_1","H-2225","H97-3315","Figure 12.07","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"8","group_2","H-2224","H97-3318","Figure 12.08","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"9","group_2","H-2235","H97-3333","Figure 12.09","B_side_swap","B_side_swap","B","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"10","group_2","H-2219","H97-3317","Figure 12.10","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"11","group_2","H-2218","H97-3319","Figure 12.11","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"12","group_2","H-2228","H97-3316","Figure 12.12","B_side_swap","B_side_swap","B","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"13","group_2","H-2226","H97-3313","Figure 12.13","B_side_swap","B_side_swap","B","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"14","group_2","H-2223","H97-3306","Figure 12.14","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"15","group_2","H-2236","H97-3307","Figure 12.15","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"16","group_2","H-2239","H96-3046","Figure 12.16","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"17","group_3","H-2237","H96-3125","Figure 12.17","154_variant","variant","","+700-034+","+861-003+","+154-003+","no_reading_admissible"
"18","group_3","H-2238","H95-2613","Figure 12.18","033_variant","variant","","+700-033+","+861-003+","+156-003+","no_reading_admissible"
"19","group_3","H-2230","H97-3311","Figure 12.19","B_side_swap","B_side_swap","B","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"20","group_3","H-2233","H97-3341","Figure 12.20","B_side_swap","B_side_swap","B","+700-034+","+861-003+","+156-003+","no_reading_admissible"
"21","group_3","H-2231","H97-3320","Figure 12.21","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"22","group_3","H-2234","H97-3322","Figure 12.22","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
"23","group_3","H-2232","H97-3321","Figure 12.23","A","A","A","+861-003+","+700-034+","+156-003+","no_reading_admissible"
