branch_after_390,frame_occurrences,terminal_after_branch,continuing_after_branch,checkpoint_strict_visible,route_or_dark_or_unbound,metadata_only,objects,sites
125,4,0,4,2,1,1,M-38;M-119;M-735;Sktd-1,Mohenjo-daro;Surkotada
095,2,2,0,1,1,0,H-1993;M-71,Harappa;Mohenjo-daro
705,2,2,0,0,2,0,M-1825;-:4237.1,Dholavira;Mohenjo-daro
072,1,1,0,0,0,1,H-68,Harappa
140,1,1,0,0,0,1,M-708,Mohenjo-daro
346,1,1,0,0,0,1,M-213,Mohenjo-daro
530,1,0,1,0,1,0,H-773,Harappa
590,1,0,1,0,0,1,-:3335.1,Unknown
692,1,1,0,1,0,0,M-70,Mohenjo-daro
707,1,1,0,0,0,1,M-232,Mohenjo-daro
