"site","type","target_n","target_next002","target_core","target_core_terminal","non240_n","non240_next002","non240_core","non240_core_terminal"
"Mohenjo-daro","SEAL:S","6","4","3","2","23","14","8","7"
"Chanhu-daro","SEAL:S","1","1","1","1","1","1","1","1"
"Harappa","SEAL:S","1","0","0","0","6","2","1","1"
"Mohenjo-daro","SEAL:R","1","0","0","0","5","1","1","1"
"Dholavira","TAB:I","0","0","0","0","1","0","0","0"
"Farmana","SEAL:S","0","0","0","0","1","0","0","0"
"Harappa","POT:T:s","0","0","0","0","1","0","0","0"
"Harappa","SEAL:R","0","0","0","0","1","0","0","0"
"Harappa","TAB:I","0","0","0","0","1","0","0","0"
"Kalibangan","SEAL:S","0","0","0","0","1","1","1","1"
"Lothal","SEAL:R","0","0","0","0","2","0","0","0"
"Lothal","SEAL:S","0","0","0","0","1","0","0","0"
"Mohenjo-daro","TAB:C","0","0","0","0","3","0","0","0"
"Tarkhanewala-dera","TAG","0","0","0","0","1","0","0","0"
