id,object,site,type,symbol,cult,material,shape,prev,branch,tail,terminal,predicted,hit,source_status,source_bucket,family_key,text
744.2,H-1993,Harappa,TAB:B,NA,NA,Clay,rectangular,004,095,<END>,true,close_terminal,true,source_route_triaged_supplement_only_no_image,route_pressure,Harappa|TAB:B|NA|NA|rectangular|Clay|004|095|<END>,+740-000-220-004-002-390-095+
1127.1,H-68,Harappa,SEAL:S,Bull1:I,RAN,Steatite,square,003,072,<END>,true,close_terminal,true,metadata_only_unbound,metadata_only,Harappa|SEAL:S|Bull1:I|RAN|square|Steatite|003|072|<END>,+090-740-220-003-002-390-072+
1665.1,H-773,Harappa,TAB:B,NA,NA,Faience,plano-convex,803,530,741,false,open_continue,true,source_panel_acquired_boxed_window_compatible_token_not_strict,route_pressure,Harappa|TAB:B|NA|NA|plano-convex|Faience|803|530|741,+740-798-803-002-390-530-741+
2566.1,M-38,Mohenjo-daro,SEAL:S,Bull1:J,SAN,Steatite,square,235,125,632 032,false,open_continue,true,metadata_only_unbound,metadata_only,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite|235|125|632 032,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2598.1,M-70,Mohenjo-daro,SEAL:S,Bull1:T,SAF,Steatite,square,032,692,<END>,true,close_terminal,true,strict_source_visible,strict,Mohenjo-daro|SEAL:S|Bull1:T|SAF|square|Steatite|032|692|<END>,+226-032-002-390-692+
2599.1,M-71,Mohenjo-daro,SEAL:S,Bull1:J,SAN,Steatite,square,142,095,<END>,true,close_terminal,true,strict_source_visible,strict,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite|142|095|<END>,+151-279-142-002-390-095+
2646.1,M-119,Mohenjo-daro,SEAL:S,Bull1:S,SAN,Steatite,square,484,125,632 032 900 563,false,open_continue,true,strict_source_visible,strict,Mohenjo-daro|SEAL:S|Bull1:S|SAN|square|Steatite|484|125|632 032 900 563,+151-337-484-002-390-125-632-032-900-563+
2737.1,M-213,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,384,346,<END>,true,close_terminal,true,metadata_only_unbound,metadata_only,Mohenjo-daro|SEAL:S|Bull1:J|RAF|square|Steatite|384|346|<END>,+740-384-002-390-346+
2756.1,M-232,Mohenjo-daro,SEAL:S,Bull2,SAF,Steatite,square,236,707,<END>,true,close_terminal,true,metadata_only_unbound,metadata_only,Mohenjo-daro|SEAL:S|Bull2|SAF|square|Steatite|236|707|<END>,+236-002-390-707+
3134.1,M-708,Mohenjo-daro,SEAL:S,Bull1:W,S,Steatite,square,061,140,<END>,true,close_terminal,true,metadata_only_unbound,metadata_only,Mohenjo-daro|SEAL:S|Bull1:W|S|square|Steatite|061|140|<END>,+740-061-002-390-140+
3159.1,M-735,Mohenjo-daro,SEAL:S,Bull1:U,HAF,Steatite,square,235,125,195,false,open_continue,true,strict_source_visible,strict,Mohenjo-daro|SEAL:S|Bull1:U|HAF|square|Steatite|235|125|195,+740-760-235-002-390-125-195+
3335.1,-:3335.1,Unknown,SEAL:S,Bull1:J,RAF,NA,square,032,590,032,false,open_continue,true,metadata_only_unbound,metadata_only,Unknown|SEAL:S|Bull1:J|RAF|square|NA|032|590|032,+740-205-032-002-390-590-032+
3875.1,Sktd-1,Surkotada,SEAL:S,Bull1,RAN,NA,square,004,125,820,false,open_continue,true,checkpoint_permissive_public_panel,route_pressure,Surkotada|SEAL:S|Bull1|RAN|square|NA|004|125|820,+390-004-002-390-125-820+
3992.1,M-1825,Mohenjo-daro,SEAL:S,Bull1,S,NA,square,031,705,<END>,true,close_terminal,true,m1825_ia_pakistan_absent_secondary_icon_only_no_signband,route_pressure,Mohenjo-daro|SEAL:S|Bull1|S|square|NA|031|705|<END>,+157-031-002-390-705+
4237.1,-:4237.1,Dholavira,SEAL:S,Bull1:I,RB,NA,square,388,705,<END>,true,close_terminal,true,dholavira_8758_cluster_unbound_image_conflict,route_pressure,Dholavira|SEAL:S|Bull1:I|RB|square|NA|388|705|<END>,+151-032-388-002-390-705+
