checked_date,object,row_id,site,type,shape,material,sign,left_2,left_1,right_1,terminal,tail_after_sign,in_002_xslot,text
2026-05-31,M-1592,3812.1,Mohenjo-daro,POT:T:g,-,Clay,590,740,390,<END>,true,<END>,false,+740-390-590[
2026-05-31,B-21,40.1,Banawali,SEAL:R,cuboid-convex,Steatite,692,003,060,<END>,true,<END>,false,+426-003-060-692+
2026-05-31,C-75,67.1,Chanhu-daro,SEAL:S,square,Steatite,692,531,060,<END>,true,<END>,false,+740-531-060-692+
2026-05-31,C-11,99.1,Chanhu-daro,SEAL:S,square,Steatite,590,<START>,<START>,615,false,615 140 232 240 001 060 920,false,+590-615-140/232-240-001-060-920+
2026-05-31,C-12,100.1,Chanhu-daro,SEAL:S,square,Steatite,590,161,390,031,false,031 740 060 920,false,+161-390-590-031-740-060-920+
2026-05-31,Dlp-2,124.1,Desalpur,SEAL:R,cuboid-convex,-,590,<START>,<START>,407,false,407 790 440,false,+590-407-790-440+
2026-05-31,-:135.1,135.1,Dholavira,SEAL:R,rectangular,Clay,590,<START>,<START>,407,false,407 790 032,false,+590-407-790-032+
2026-05-31,-:139.1,139.1,Dholavira,SEAL:R,rectangular,Steatite,590,100,407,<END>,true,<END>,false,+740-100-407-590+
2026-05-31,H-1394,174.1,Harappa,POT:T:g,-,Clay,590,<START>,<START>,220,false,220 003,false,]590-220-003+
2026-05-31,H-1083,193.1,Harappa,POT:T:s,-,Clay,590,<START>,697,<END>,true,<END>,false,+697-590+
2026-05-31,H-1137,3975.1,Harappa,TAB:B,rectangular,-,692,240,060,<END>,true,<END>,false,+740-603-240-060-692+
2026-05-31,H-423,199.1,Harappa,SEAL:S,square,Steatite,692,798,060,<END>,true,<END>,false,+520-220-240-798-060-692+
2026-05-31,H-1400,200.1,Harappa,POT:T:g,-,Clay,692,034,060,<END>,true,<END>,false,+031-034-060-692[
2026-05-31,H-920,1800.1,Harappa,TAB:I,rectangular,Steatite,692,<START>,<START>,<END>,true,<END>,false,]692[
2026-05-31,H-899,1781.1,Harappa,TAB:I,rectangular,Steatite,590,868,705,<END>,true,<END>,false,+868-705-590+
2026-05-31,H-873,1756.1,Harappa,TAB:B,cylindrical,Clay,590,740,407,690,false,690 436 255 920 318 220 415 803,false,+740-407-590-690-436-255-920-318-220-415-803+
2026-05-31,H-2099,786.2,Harappa,TAB:I,rectangular,Steatite,590,<START>,416,033,false,033,false,+416-590-033+
2026-05-31,H-1776,378.1,Harappa,TAB:B,rectangular,Faience,590,740,390,060,false,060 550,false,+740-390-590-060-550+
2026-05-31,M-2032,4021.1,Mohenjo-daro,TAB:B,oval,-,692,000,060,<END>,true,<END>,false,+000-060-692+
2026-05-31,H-897,4052.2,Harappa,TAB:I,rectangular,-,590,868,706,<END>,true,<END>,false,+868-706-590+
2026-05-31,H-1981,393.2,Harappa,TAB:B,rectangular,Clay,590,004,745,<END>,true,<END>,false,+000-004-745-590+
2026-05-31,H-1987,394.2,Harappa,TAB:B,rectangular,Clay,590,371,741,<END>,true,<END>,false,+390-004-455-371-741-590+
2026-05-31,H-1901,399.2,Harappa,TAB:B,-,Faience,692,<START>,060,<END>,true,<END>,false,]060-692+
