"policy","transition","count","review_status"
"mayig_observed_parpola","M->M","168","class_transition_only_not_semantic"
"mayig_observed_parpola","S->M","77","class_transition_only_not_semantic"
"mayig_observed_parpola","M->S","69","class_transition_only_not_semantic"
"mayig_observed_parpola","S->S","51","class_transition_only_not_semantic"
"mayig_observed_parpola","I->M","50","class_transition_only_not_semantic"
"mayig_observed_parpola","I->S","43","class_transition_only_not_semantic"
"mayig_observed_parpola","M->T","33","class_transition_only_not_semantic"
"mayig_observed_parpola","D->S","19","class_transition_only_not_semantic"
"mayig_observed_parpola","M->D","18","class_transition_only_not_semantic"
"mayig_observed_parpola","D->M","11","class_transition_only_not_semantic"
"mayig_observed_parpola","I->I","8","class_transition_only_not_semantic"
"mayig_observed_parpola","M->I","6","class_transition_only_not_semantic"
"mayig_observed_parpola","M->W","6","class_transition_only_not_semantic"
"mayig_observed_parpola","W->M","6","class_transition_only_not_semantic"
"mayig_observed_parpola","I->D","5","class_transition_only_not_semantic"
"mayig_observed_parpola","S->T","5","class_transition_only_not_semantic"
"mayig_observed_parpola","T->M","5","class_transition_only_not_semantic"
"mayig_observed_parpola","S->I","4","class_transition_only_not_semantic"
"mayig_observed_parpola","S->W","4","class_transition_only_not_semantic"
"mayig_observed_parpola","T->S","3","class_transition_only_not_semantic"
"mayig_observed_parpola","W->S","3","class_transition_only_not_semantic"
"mayig_observed_parpola","D->T","2","class_transition_only_not_semantic"
"mayig_observed_parpola","I->T","2","class_transition_only_not_semantic"
"mayig_observed_parpola","S->D","2","class_transition_only_not_semantic"
"mayig_observed_parpola","D->D","1","class_transition_only_not_semantic"
"mayig_observed_parpola","D->W","1","class_transition_only_not_semantic"
"mayig_observed_parpola","I->W","1","class_transition_only_not_semantic"
"p385_merge_only","M->M","149","class_transition_only_not_semantic"
"p385_merge_only","S->M","76","class_transition_only_not_semantic"
"p385_merge_only","M->S","69","class_transition_only_not_semantic"
"p385_merge_only","S->S","64","class_transition_only_not_semantic"
"p385_merge_only","I->M","45","class_transition_only_not_semantic"
"p385_merge_only","I->S","41","class_transition_only_not_semantic"
"p385_merge_only","M->T","29","class_transition_only_not_semantic"
"p385_merge_only","M->W","21","class_transition_only_not_semantic"
"p385_merge_only","D->S","16","class_transition_only_not_semantic"
"p385_merge_only","M->D","15","class_transition_only_not_semantic"
"p385_merge_only","D->M","11","class_transition_only_not_semantic"
"p385_merge_only","W->M","10","class_transition_only_not_semantic"
"p385_merge_only","S->W","9","class_transition_only_not_semantic"
"p385_merge_only","I->I","8","class_transition_only_not_semantic"
"p385_merge_only","S->T","7","class_transition_only_not_semantic"
"p385_merge_only","W->S","6","class_transition_only_not_semantic"
"p385_merge_only","T->M","5","class_transition_only_not_semantic"
"p385_merge_only","I->D","4","class_transition_only_not_semantic"
"p385_merge_only","S->I","4","class_transition_only_not_semantic"
"p385_merge_only","D->T","2","class_transition_only_not_semantic"
"p385_merge_only","M->I","2","class_transition_only_not_semantic"
"p385_merge_only","S->D","2","class_transition_only_not_semantic"
"p385_merge_only","T->S","2","class_transition_only_not_semantic"
"p385_merge_only","W->D","2","class_transition_only_not_semantic"
"p385_merge_only","D->D","1","class_transition_only_not_semantic"
"p385_merge_only","I->T","1","class_transition_only_not_semantic"
"p385_merge_only","I->W","1","class_transition_only_not_semantic"
"p385_merge_only","W->T","1","class_transition_only_not_semantic"
"raw_lipi_numeric","M->M","149","class_transition_only_not_semantic"
"raw_lipi_numeric","S->M","76","class_transition_only_not_semantic"
"raw_lipi_numeric","M->S","69","class_transition_only_not_semantic"
"raw_lipi_numeric","S->S","64","class_transition_only_not_semantic"
"raw_lipi_numeric","I->M","45","class_transition_only_not_semantic"
"raw_lipi_numeric","I->S","41","class_transition_only_not_semantic"
"raw_lipi_numeric","M->T","29","class_transition_only_not_semantic"
"raw_lipi_numeric","M->W","21","class_transition_only_not_semantic"
"raw_lipi_numeric","D->S","16","class_transition_only_not_semantic"
"raw_lipi_numeric","M->D","15","class_transition_only_not_semantic"
"raw_lipi_numeric","D->M","11","class_transition_only_not_semantic"
"raw_lipi_numeric","W->M","10","class_transition_only_not_semantic"
"raw_lipi_numeric","S->W","9","class_transition_only_not_semantic"
"raw_lipi_numeric","I->I","8","class_transition_only_not_semantic"
"raw_lipi_numeric","S->T","7","class_transition_only_not_semantic"
"raw_lipi_numeric","W->S","6","class_transition_only_not_semantic"
"raw_lipi_numeric","T->M","5","class_transition_only_not_semantic"
"raw_lipi_numeric","I->D","4","class_transition_only_not_semantic"
"raw_lipi_numeric","S->I","4","class_transition_only_not_semantic"
"raw_lipi_numeric","D->T","2","class_transition_only_not_semantic"
"raw_lipi_numeric","M->I","2","class_transition_only_not_semantic"
"raw_lipi_numeric","S->D","2","class_transition_only_not_semantic"
"raw_lipi_numeric","T->S","2","class_transition_only_not_semantic"
"raw_lipi_numeric","W->D","2","class_transition_only_not_semantic"
"raw_lipi_numeric","D->D","1","class_transition_only_not_semantic"
"raw_lipi_numeric","I->T","1","class_transition_only_not_semantic"
"raw_lipi_numeric","I->W","1","class_transition_only_not_semantic"
"raw_lipi_numeric","W->T","1","class_transition_only_not_semantic"
