checked_date,object,row_id,site,type,symbol,cult,left_penultimate,left_final,left_bigram,left_contains_032,left_contains_235,branch_after_390,tail_after_branch,terminal_after_branch,branch_shape,text
2026-05-31,H-1993,744.2,Harappa,TAB:B,None,None,220,004,220-004,false,false,095,<END>,true,terminal_selector,+740-000-220-004-002-390-095+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,Bull1:I,RAN,220,003,220-003,false,false,072,<END>,true,terminal_selector,+090-740-220-003-002-390-072+
2026-05-31,H-773,1665.1,Harappa,TAB:B,None,None,798,803,798-803,false,false,530,741,false,one_complement_linker,+740-798-803-002-390-530-741+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,240,235,240-235,true,true,125,632 032,false,rank_continue_125,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,Bull1:T,SAF,226,032,226-032,true,false,692,<END>,true,terminal_selector,+226-032-002-390-692+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,279,142,279-142,false,false,095,<END>,true,terminal_selector,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,337,484,337-484,false,false,125,632 032 900 563,false,rank_continue_125,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,2737.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,740,384,740-384,false,false,346,<END>,true,terminal_selector,+740-384-002-390-346+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,Bull2,SAF,<START>,236,<START>-236,false,false,707,<END>,true,terminal_selector,+236-002-390-707+
2026-05-31,M-708,3134.1,Mohenjo-daro,SEAL:S,Bull1:W,S,740,061,740-061,false,false,140,<END>,true,terminal_selector,+740-061-002-390-140+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,760,235,760-235,false,true,125,195,false,rank_continue_125,+740-760-235-002-390-125-195+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,Bull1:J,RAF,205,032,205-032,true,false,590,032,false,formula_payload_590032,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,390,004,390-004,false,false,125,820,false,rank_continue_125,+390-004-002-390-125-820+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,Bull1,S,157,031,157-031,false,false,705,<END>,true,terminal_selector,+157-031-002-390-705+
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,Bull1:I,RB,032,388,032-388,true,false,705,<END>,true,terminal_selector,+151-032-388-002-390-705+
