checked_date,row_id,object,site,type,shape,material,prev2,prev,sign,next,next2,terminal,in_002_390_frame,square_or_rect_seal,tablet_pot_tag_rod_impl,exact_sequence,text
2026-05-31,121.1,C-40,Chanhu-daro,IMPL,NA,Copper,<START>,390,095,909,005,false,false,false,true,390 095 909 005 825 776 220 016,+390-095-909-005-825-776-220-016+
2026-05-31,278.1,M-592,Mohenjo-daro,TAB:C,rectangular,Copper,001,595,095,<END>,<END>,true,false,false,true,617 142 001 595 095,+617-142-001-595-095[
2026-05-31,744.2,H-1993,Harappa,TAB:B,rectangular,Clay,002,390,095,<END>,<END>,true,true,false,true,740 000 220 004 002 390 095,+740-000-220-004-002-390-095+
2026-05-31,1252.1,H-225,Harappa,TAB:B,rectangular,Steatite,<START>,850,095,000,<END>,false,false,false,true,850 095 000,]850-095-000+
2026-05-31,1575.1,H-660,Harappa,SEAL:R,cuboid-convex,NA,<START>,520,095,033,706,false,false,false,false,520 095 033 706 240 798,+520-095-033-706-240-798+
2026-05-31,1974.1,Kd-9,Kot-Diji,POT:T:g,NA,Clay,<START>,033,095,<END>,<END>,true,false,false,true,033 095,+033-095+
2026-05-31,1984.1,L-1,Lothal,SEAL:S,square,Steatite,002,812,095,<END>,<END>,true,false,true,false,527 550 233 002 812 095,+527-550-233-002-812-095+
2026-05-31,2284.2,M-2053,Mohenjo-daro,TAB:C,rectangular,Copper,032,520,095,585,017,false,false,false,true,407 032 520 095 585 017 220,+407-032-520-095-585-017-220+
2026-05-31,2599.1,M-71,Mohenjo-daro,SEAL:S,square,Steatite,002,390,095,<END>,<END>,true,true,true,false,151 279 142 002 390 095,+151-279-142-002-390-095+
2026-05-31,2899.1,M-403,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,063,520,095,<END>,<END>,true,false,false,false,407 063 520 095,+407-063-520-095+
2026-05-31,2919.1,H-2584,Harappa,TAG:R,NA,Clay,468,520,095,033,705,false,false,false,true,806 468 520 095 033 705,]806-468-520-095-033-705[
2026-05-31,2995.1,M-520,Mohenjo-daro,TAB:C,rectangular,Copper,001,595,095,760,744,false,false,false,true,617 142 001 595 095 760 744,+617-142-001-595-095-760-744+
2026-05-31,5587.1,-:5587.1,Mohenjo-daro,TAB:C,rectangular,Copper,032,520,095,585,017,false,false,false,true,407 032 520 095 585 017 231,+407-032-520-095-585-017-231+
2026-05-31,3061.2,M-599,Mohenjo-daro,TAB:C,rectangular,Copper,032,520,095,585,017,false,false,false,true,408 032 520 095 585 017 220,+408-032-520-095-585-017-220+
2026-05-31,3427.1,M-1052,Mohenjo-daro,SEAL:R,rectangular,NA,575,001,095,<END>,<END>,true,false,true,false,679 740 220 032 806 001 595 575 001 095,+679-740-220-032-806-001-595-575-001-095+
2026-05-31,3738.1,M-1470,Mohenjo-daro,TAB:C,rectangular,Copper,001,595,095,717,747,false,false,false,true,617 142 001 595 095 717 747,+617-142-001-595-095-717-747+
2026-05-31,3886.1,TY-106,Tepe Yahya,POT:T:s,NA,Clay,<START>,002,095,000,<END>,false,false,false,true,002 095 000,+002-095-000[
2026-05-31,4016.1,M-2021,Mohenjo-daro,TAB:B,rectangular-round,NA,<START>,<START>,095,031,740,false,false,false,true,095 031 740 927,+095-031-740-927+
2026-05-31,4045.1,M-2112,Mohenjo-daro,ROD,NA,Ivory,000,000,095,550,003,false,false,false,true,000 000 095 550 003 002 000,+000-000-095-550-003-002-000+
2026-05-31,4239.1,-:4239.1,Dholavira,SEAL:S,square,Steatite,<START>,090,095,741,374,false,false,true,false,090 095 741 374 132,+090-095-741-374-132+
2026-05-31,4263.1,-:4263.1,Dholavira,SEAL:R,rectangular,NA,<START>,520,095,000,<END>,false,false,true,false,520 095 000,+520-095-000[
2026-05-31,5386.1,Sb-4,Sibri,SEAL,square,Stone,<START>,000,095,<END>,<END>,true,false,false,false,000 095,]000-095+
