sign,context_rows,a,b,c,d,total,fisher_p
407,93,18,75,52,3358,70,6.100701875466996e-14
597,93,4,89,0,3410,4,4.6616347602011433e-7
142,93,11,82,52,3358,63,5.022741935443066e-7
845,93,7,86,14,3396,21,6.364490135936668e-7
095,93,6,87,16,3394,22,0.00001577344596217424
617,93,9,84,49,3361,58,0.00001617842665882407
900,93,9,84,74,3336,83,0.0002889689105402594
747,93,3,90,4,3406,7,0.0005870263670757017
749,93,2,91,0,3410,2,0.0006974522775829612
905,93,3,90,5,3405,8,0.0009212075318337368
585,93,6,87,38,3372,44,0.0009315802895201224
176,93,10,83,112,3298,122,0.0012662876234926655
233,93,12,81,160,3250,172,0.0017097205531568461
421,93,2,91,1,3409,3,0.00205609967351501
003,93,11,82,143,3267,154,0.002227886373082921
435,93,6,87,49,3361,55,0.003026173537912722
690,93,7,86,67,3343,74,0.0031285187377255263
222,93,3,90,9,3401,12,0.0033497104892896462
422,93,2,91,2,3408,4,0.004041083518958039
595,93,5,88,40,3370,45,0.006250174891052432
001,93,11,82,176,3234,187,0.00976046351332374
923,93,4,89,31,3379,35,0.012989436033128042
752,93,3,90,18,3392,21,0.017039077688890427
231,93,6,87,77,3333,83,0.021782713811903102
408,93,2,91,7,3403,9,0.022233038044458482
773,93,2,91,7,3403,9,0.022233038044458482
341,93,1,92,0,3410,1,0.026548672566330016
479,93,1,92,0,3410,1,0.026548672566330016
753,93,1,92,0,3410,1,0.026548672566330016
781,93,1,92,0,3410,1,0.026548672566330016
