symbol,total,best_label,best_hits,best_share,counts
Rhin,4,820,4,1,"{""817"":0,""820"":4,""861"":0}"
Elep,9,861,5,0.5555555555555556,"{""817"":4,""820"":0,""861"":5}"
Bull1,28,817,14,0.5,"{""817"":14,""820"":6,""861"":8}"
Bull1:I,12,820,6,0.5,"{""817"":3,""820"":6,""861"":3}"
Bull1:L,6,817,3,0.5,"{""817"":3,""820"":0,""861"":3}"
Bull1:J,25,817,12,0.48,"{""817"":12,""820"":3,""861"":10}"
Bull1:S,24,861,11,0.4583333333333333,"{""817"":10,""820"":3,""861"":11}"
Gaur,9,817,4,0.4444444444444444,"{""817"":4,""820"":2,""861"":3}"
Bull1:W,60,861,25,0.4166666666666667,"{""817"":19,""820"":16,""861"":25}"
Bull1:V,5,817,2,0.4,"{""817"":2,""820"":1,""861"":2}"
Zebu,8,817,3,0.375,"{""817"":3,""820"":2,""861"":3}"
