scope,class,model,masked_tokens,top1,top5,mrr_sum,top1_accuracy,top5_accuracy,mrr
overall,all,frequency,748,74,211,145.96555740353358,0.09893,0.282086,0.195141
overall,all,position,748,119,251,182.8084183274189,0.159091,0.335561,0.244396
overall,all,length_position,748,113,226,174.1110094105104,0.15107,0.302139,0.232769
overall,all,bidirectional_bigram,748,212,363,282.60174613207215,0.283422,0.485294,0.37781
position_class,initial,bidirectional_bigram,137,78,102,89.43922044724646,0.569343,0.744526,0.652841
position_class,medial,bidirectional_bigram,473,128,219,169.3532367234623,0.270613,0.463002,0.358041
position_class,single,bidirectional_bigram,1,0,0,0.005235602094240838,0,0,0.005236
position_class,terminal,bidirectional_bigram,137,6,42,23.804053359269297,0.043796,0.306569,0.173752
position_class,initial,frequency,137,61,75,67.29068775453366,0.445255,0.547445,0.491173
position_class,medial,frequency,473,13,133,73.59754486295842,0.027484,0.281184,0.155597
position_class,single,frequency,1,0,0,0.005235602094240838,0,0,0.005236
position_class,terminal,frequency,137,0,3,5.07208918394721,0,0.021898,0.037023
position_class,initial,length_position,137,50,85,64.68718832708275,0.364964,0.620438,0.472169
position_class,medial,length_position,473,54,113,90.95531078469998,0.114165,0.238901,0.192295
position_class,single,length_position,1,0,0,0.005235602094240838,0,0,0.005236
position_class,terminal,length_position,137,9,28,18.463274696633395,0.065693,0.20438,0.134768
position_class,initial,position,137,61,101,74.52108857063409,0.445255,0.737226,0.54395
position_class,medial,position,473,55,132,97.41214174912878,0.116279,0.27907,0.205945
position_class,single,position,1,0,0,0.005235602094240838,0,0,0.005236
position_class,terminal,position,137,3,18,10.869952405561367,0.021898,0.131387,0.079343
length_bucket,1-3,bidirectional_bigram,67,12,21,16.36290327588896,0.179104,0.313433,0.244222
length_bucket,4-5,bidirectional_bigram,232,65,113,87.99251975805215,0.280172,0.487069,0.379278
length_bucket,6-8,bidirectional_bigram,371,110,184,144.0470361525063,0.296496,0.495957,0.388267
length_bucket,9+,bidirectional_bigram,78,25,45,34.199286945624706,0.320513,0.576923,0.438452
length_bucket,1-3,frequency,67,7,14,10.142106145053505,0.104478,0.208955,0.151375
length_bucket,4-5,frequency,232,22,60,44.11180584347725,0.094828,0.258621,0.190137
length_bucket,6-8,frequency,371,38,107,75.34720381993435,0.102426,0.28841,0.203092
length_bucket,9+,frequency,78,7,30,16.364441595068307,0.089744,0.384615,0.209801
length_bucket,1-3,length_position,67,0,12,5.6396697319743625,0,0.179104,0.084174
length_bucket,4-5,length_position,232,40,82,62.91936974274308,0.172414,0.353448,0.271204
length_bucket,6-8,length_position,371,65,115,92.39115775626834,0.175202,0.309973,0.249033
length_bucket,9+,length_position,78,8,17,13.160812179524578,0.102564,0.217949,0.168728
length_bucket,1-3,position,67,6,19,11.54728880788137,0.089552,0.283582,0.172348
length_bucket,4-5,position,232,35,89,58.76985351680152,0.150862,0.383621,0.253318
length_bucket,6-8,position,371,66,122,95.68470287618598,0.177898,0.328841,0.25791
length_bucket,9+,position,78,12,21,16.80657312654978,0.153846,0.269231,0.215469
