"corpus","scope","holdout_policy","source","rows","tokens","unique_tokens","holdout_blocks","median_heldout_transitions","max_heldout_transitions","stored_higher","reversed_higher","ties","stored_win_share","mean_stored_minus_reversed_per_transition","median_stored_minus_reversed_per_transition","max_null_ge_observed_share","input_records"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","data/open_prototype/reports/lipi_scope_rows.csv","1798","8212","571","1798","5","14","1704","86","8","0.94772","2.499961","2.677184","0","1798"
"Indus_Lipi","exact_sequence_collapsed","leave_site_out","data/open_prototype/reports/lipi_scope_rows.csv","1798","8212","571","28","5692","5692","1670","110","18","0.92881","2.118128","2.181304","0","1798"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_out","data/open_prototype/reports/lipi_scope_rows.csv","1798","8212","571","84","1169","4147","1694","94","10","0.942158","2.302017","2.389751","0","1798"
"Indus_Lipi","exact_sequence_collapsed","leave_site_type_symbol_out","data/open_prototype/reports/lipi_scope_rows.csv","1798","8212","571","248","338","1180","1697","92","9","0.943826","2.445016","2.602747","0","1798"
"Indus_Lipi","exact_sequence_collapsed","leave_register_edge_out","data/open_prototype/reports/lipi_scope_rows.csv","1798","8212","571","1745","5","30","1703","87","8","0.947164","2.497643","2.67131","0","1798"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_one_row_out","data/open_prototype/reports/lipi_scope_rows.csv","365","1725","358","365","5","13","307","47","11","0.841096","1.052098","1.022315","0","365"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_site_out","data/open_prototype/reports/lipi_scope_rows.csv","365","1725","358","11","1258","1258","275","54","36","0.753425","0.733181","0.69684","0.1","365"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_site_type_out","data/open_prototype/reports/lipi_scope_rows.csv","365","1725","358","39","176","724","288","51","26","0.789041","0.871138","0.799298","0.025","365"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_site_type_symbol_out","data/open_prototype/reports/lipi_scope_rows.csv","365","1725","358","110","67","237","302","50","13","0.827397","0.985692","0.936955","0","365"
"Indus_Lipi","top10_edge_removed_one_edit_family_collapsed","leave_register_edge_out","data/open_prototype/reports/lipi_scope_rows.csv","365","1725","358","364","5","14","307","47","11","0.841096","1.050842","1.02173","0","365"
"Indus_Lipi","top10_edge_removed_register_edge_family_collapsed","leave_one_row_out","data/open_prototype/reports/lipi_scope_rows.csv","528","2114","388","528","4","13","442","74","12","0.837121","1.162002","1.166656","0.04","528"
"Indus_Lipi","top10_edge_removed_register_edge_family_collapsed","leave_site_out","data/open_prototype/reports/lipi_scope_rows.csv","528","2114","388","14","1526","1526","409","78","41","0.774621","0.868197","0.799298","0.265","528"
"Indus_Lipi","top10_edge_removed_register_edge_family_collapsed","leave_site_type_out","data/open_prototype/reports/lipi_scope_rows.csv","528","2114","388","47","228","895","431","73","24","0.816288","0.993429","0.935757","0.015","528"
"Indus_Lipi","top10_edge_removed_register_edge_family_collapsed","leave_site_type_symbol_out","data/open_prototype/reports/lipi_scope_rows.csv","528","2114","388","133","115","265","441","73","14","0.835227","1.120268","1.105091","0.005","528"
"Indus_Lipi","top10_edge_removed_register_edge_family_collapsed","leave_register_edge_out","data/open_prototype/reports/lipi_scope_rows.csv","528","2114","388","528","4","13","442","74","12","0.837121","1.162002","1.166656","0.015","528"
