checked_date,object,site,type,shape,material,head,x,x_polarity,terminal,tail,text
2026-05-31,Ad-8,Allahdino,MISC,square,Clay,861,000,terminal_booster,true,<END>,+740-440-503-002-861-000+
2026-05-31,Blk-2,Bala-kot,SEAL:S,square,-,368,634,other,true,<END>,+390-717-061-002-368-634+
2026-05-31,B-1,Banawali,SEAL:S,square,Steatite,368,550,other,false,821,+090-740-220-002-368-550-821+
2026-05-31,C-3,Chanhu-daro,SEAL:S,square,Steatite,920,317,terminal_booster,true,<END>,+740-016-002-920-317+
2026-05-31,C-6,Chanhu-daro,SEAL:S,square,Steatite,031,500,other,true,<END>,+817-521-521/090-740-221-002-031-500+
2026-05-31,H-2016,Harappa,TAB:B,rectangular,Clay,920,491,terminal_booster,true,<END>,+317-740-335-740-176-002-920-491+
2026-05-31,H-1874,Harappa,TAB:B,rectangular,Faience,220,455,open_operator,false,000,+002-220-455-000+
2026-05-31,H-2094,Harappa,TAB:I,rectangular,Steatite,861,416,terminal_booster,true,<END>,+002-861-416+
2026-05-31,H-2097,Harappa,TAB:I,rectangular,Steatite,861,416,terminal_booster,true,<END>,+002-861-416+
2026-05-31,H-2095,Harappa,TAB:I,rectangular,-,861,416,terminal_booster,true,<END>,+002-861-416+
2026-05-31,-:621.1,Harappa,TAB:I,rectangular,Steatite,861,416,terminal_booster,true,<END>,+002-861-416+
2026-05-31,H-2096,Harappa,TAB:I,rectangular,-,861,416,terminal_booster,true,<END>,+002-861-416+
2026-05-31,H-1993,Harappa,TAB:B,rectangular,Clay,390,095,terminal_booster,true,<END>,+740-000-220-004-002-390-095+
2026-05-31,H-22,Harappa,SEAL:S,square,Steatite,405,321,other,true,<END>,+740-920-320-233-806-002-405-321+
2026-05-31,H-44,Harappa,SEAL:S,square,Steatite,031,892,other,true,<END>,+520-033-706-235-798-803-002-031-892+
2026-05-31,H-55,Harappa,SEAL:S,square,Steatite,861,125,open_operator,true,<END>,+390-004-002-861-125+
2026-05-31,H-68,Harappa,SEAL:S,square,Steatite,390,072,other,true,<END>,+090-740-220-003-002-390-072+
2026-05-31,H-82,Harappa,SEAL:S,square,Steatite,220,455,open_operator,false,741,+390-017-002-220-455-741+
2026-05-31,H-129,Harappa,SEAL:R,cuboid-convex,Steatite,861,244,other,false,165,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,H-252,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-253,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-254,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-255,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-256,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-257,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-258,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-259,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-260,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-261,Harappa,TAB:B,cylindrical,Clay,405,501,global_edge,true,<END>,+520-240-002-405-501+
2026-05-31,H-262,Harappa,TAB:B,cylindrical,-,405,501,global_edge,true,<END>,+520-240-002-405-501+
