iteration,row_internal_mi_bits,class_label_shuffle_mi_bits,row_internal_ge_observed,class_label_ge_observed
0,0.5773489691412892,0.33117517974583777,false,false
1,0.5569876683680254,0.3290763972729522,false,false
2,0.5370246035036998,0.3177449595108985,false,false
3,0.5712093510235602,0.3136429544693252,false,false
4,0.5638300400875316,0.3189589866608366,false,false
5,0.53932210572759,0.3200700875582823,false,false
6,0.5497163285099771,0.3151377662462767,false,false
7,0.5346991889808553,0.3183549573914619,false,false
8,0.5603038523882194,0.30631161218666536,false,false
9,0.5405618816871965,0.3053858368134356,false,false
10,0.5523182312992673,0.30584589503946524,false,false
11,0.5752644585647284,0.3159965982169914,false,false
12,0.5641212609007745,0.3081419622981871,false,false
13,0.549322762225377,0.3160787862485433,false,false
14,0.5641077449577274,0.33228820908449525,false,false
15,0.5729032735176421,0.2985420626769707,false,false
16,0.5691686663363639,0.31986455536646036,false,false
17,0.5560310733126043,0.30739017092168597,false,false
18,0.554295857778744,0.31691267425688147,false,false
19,0.5232385209966866,0.3124963997101903,false,false
20,0.5404247435186615,0.3242449239549093,false,false
21,0.5571578437273178,0.3288438698708385,false,false
22,0.5658221432536196,0.3061377618020929,false,false
23,0.5742595425429989,0.3152467339635966,false,false
24,0.5444625317505809,0.3242917814551493,false,false
25,0.5372016693604792,0.3008073522750771,false,false
26,0.5582546060763025,0.3198432677044772,false,false
27,0.5545874806114235,0.3059084841554995,false,false
28,0.5308848220579259,0.31900302167330347,false,false
29,0.5566959211814209,0.31815106093220924,false,false
30,0.5477560117772826,0.30462376212912196,false,false
31,0.5505638601207676,0.3246021941770512,false,false
32,0.5445978562242078,0.31299938293988105,false,false
33,0.5368378969811226,0.3153934847719777,false,false
34,0.5416156724152,0.3212730837019993,false,false
35,0.5607169036537764,0.31769108360718507,false,false
36,0.5454375498962444,0.31650748471493684,false,false
37,0.5475269177126636,0.31273383720353737,false,false
38,0.5463248048678699,0.31590452819935877,false,false
39,0.5684121445598194,0.3120168348247681,false,false
40,0.5650818650769153,0.30576897362837113,false,false
41,0.5461726048484002,0.3184846897449637,false,false
42,0.5617153081229281,0.32118617892295714,false,false
43,0.560088173954067,0.30939666660721027,false,false
44,0.5614806912696426,0.31373086264752736,false,false
45,0.5552815292447041,0.31630055130630996,false,false
46,0.5395244536198744,0.3207458018722916,false,false
47,0.5558402113973753,0.3149330488611656,false,false
48,0.5470695499521566,0.31573758280446024,false,false
49,0.5513551395169486,0.30810642439659797,false,false
