checked_date,object,id,site,type,shape,material,symbol,cult,prev_before_h,h,x,pair,gated_by_002,x_continuing,x_terminal,tail_after_x,scope_cell,text
2026-05-31,Ad-2,7.1,Allahdino,SEAL:S,square,Steatite,Bull1:J,SAN,368,390,125,390-125,False,True,False,033,Allahdino|SEAL:S|square|Steatite,+368-390-125-033+
2026-05-31,H-467,1455.1,Harappa,SEAL:S,square,Steatite,Bull1:J,RAN,741,390,125,390-125,False,False,True,<END>,Harappa|SEAL:S|square|Steatite,]741-390-125+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:J,SAN,002,390,125,390-125,True,True,False,632 032,Mohenjo-daro|SEAL:S|square|Steatite,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:S,SAN,002,390,125,390-125,True,True,False,632 032 900 563,Mohenjo-daro|SEAL:S|square|Steatite,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-314,2832.1,Mohenjo-daro,SEAL:S,square,Steatite,None,None,817,390,125,390-125,False,True,False,308 809 033 740 760 706 466 520 231 240 235 002 820,Mohenjo-daro|SEAL:S|square|Steatite,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
2026-05-31,M-320,2838.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:W,SAN,741,390,125,390-125,False,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+740-176-741-390-125+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:U,HAF,002,390,125,390-125,True,True,False,195,Mohenjo-daro|SEAL:S|square|Steatite,+740-760-235-002-390-125-195+
2026-05-31,M-878,3286.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:J,RAF,741,390,125,390-125,False,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+740-900-005-741-390-125+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,square,-,Bull1,RAN,002,390,125,390-125,True,True,False,820,Surkotada|SEAL:S|square|-,+390-004-002-390-125-820+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,square,Steatite,Bull1:J,RAN,002,610,125,610-125,True,True,False,032,Harappa|SEAL:S|square|Steatite,+002-610-125-032+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:W,SAN,002,610,125,610-125,True,True,False,032,Mohenjo-daro|SEAL:S|square|Steatite,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:W,SAN,002,405,125,405-125,True,True,False,820,Mohenjo-daro|SEAL:S|square|Steatite,+740-636-240-233-235-002-405-125-820+
2026-05-31,H-55,1114.1,Harappa,SEAL:S,square,Steatite,Bull1:X,SAF,002,861,125,861-125,True,False,True,<END>,Harappa|SEAL:S|square|Steatite,+390-004-002-861-125+
2026-05-31,M-1903,2471.1,Mohenjo-daro,SEAL:S,square,Steatite,Buff,Trough,740,861,125,861-125,False,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+740-861-125+
2026-05-31,M-354,2850.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,None,None,002,906,125,906-125,True,False,True,<END>,Mohenjo-daro|SEAL:R|cuboid-convex|Steatite,+740-729-407-845-236-002-906-125+
2026-05-31,-,228.2,Harappa,TAB:I,oval,Steatite,None,None,700,031,000,031-000,False,True,False,032,Harappa|TAB:I|oval|Steatite,+700-031-000-032+
2026-05-31,H-100,1155.1,Harappa,SEAL:S,square,Clay,None,None,520,031,000,031-000,False,True,False,002 000,Harappa|SEAL:S|square|Clay,+520-031-000-002-000+
2026-05-31,L-147,2089.1,Lothal,TAG,-,Clay,Bull1,SAN,269,031,000,031-000,False,True,False,000,Lothal|TAG|-|Clay,+269-031-000-000+
2026-05-31,M-141,2668.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:J,RAN,002,031,000,031-000,True,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+817-255-636/000-000-000-240-002-031-000+
2026-05-31,M-422,2916.1,Mohenjo-daro,POT:T:s,-,Clay,None,None,000,031,000,031-000,False,False,True,<END>,Mohenjo-daro|POT:T:s|-|Clay,+692-904-000-031-000+
2026-05-31,M-474,2959.1,Mohenjo-daro,TAB:B,rectangular,-,None,None,151,031,000,031-000,False,True,False,000 000,Mohenjo-daro|TAB:B|rectangular|-,+151-031-000-000-000+
2026-05-31,M-1380,3676.1,Mohenjo-daro,POT:T:s,-,Clay,None,None,151,031,000,031-000,False,True,False,000,Mohenjo-daro|POT:T:s|-|Clay,+151-031-000-000+
2026-05-31,M-1581,3805.1,Mohenjo-daro,POT:T:g,-,Clay,None,None,,031,000,031-000,False,True,False,031,Mohenjo-daro|POT:T:g|-|Clay,]031-000-031[
2026-05-31,M-1878,4000.1,Mohenjo-daro,SEAL:S,square,-,Gaur,Trough,000,031,000,031-000,False,True,False,820,Mohenjo-daro|SEAL:S|square|-,+740-000-031-000-820+
2026-05-31,-,4282.1,Dholavira,TAB:I,rectangular,-,None,None,,031,000,031-000,False,True,False,590,Dholavira|TAB:I|rectangular|-,]031-000-590+
2026-05-31,-,4344.1,Dholavira,TAG,-,Clay,-,-,002,031,000,031-000,True,False,True,<END>,Dholavira|TAG|-|Clay,]240-002-031-000[
2026-05-31,H-2192,405.2,Harappa,TAB:I,fish,Steatite,None,None,240,031,032,031-032,False,True,False,171,Harappa|TAB:I|fish|Steatite,+740-630-240-031-032-171+
2026-05-31,H-2244,492.2,Harappa,TAB:I,rectangular,Steatite,Bult,None,240,031,032,031-032,False,True,False,171,Harappa|TAB:I|rectangular|Steatite,]000-240-031-032-171[
2026-05-31,H-301,1323.2,Harappa,TAB:I,rectangular,Steatite,None,None,240,031,032,031-032,False,True,False,171,Harappa|TAB:I|rectangular|Steatite,+400-740-636-240-031-032-171+
2026-05-31,H-776,1667.1,Harappa,TAB:B,rectangular,Faience,None,None,741,031,032,031-032,False,True,False,716,Harappa|TAB:B|rectangular|Faience,+740-803-741-031-032-716+
2026-05-31,H-905,1787.2,Harappa,TAB:I,rectangular,Steatite,None,None,240,031,032,031-032,False,True,False,171,Harappa|TAB:I|rectangular|Steatite,+400-740-636-240-031-032-171+
2026-05-31,H-988,1864.2,Harappa,TAB:I,cuboid,Steatite,Bult,None,240,031,032,031-032,False,True,False,171,Harappa|TAB:I|cuboid|Steatite,+400-740-636-240-031-032-171+
2026-05-31,M-1822,2329.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:W,RAN,,031,032,031-032,False,True,False,171 745,Mohenjo-daro|SEAL:S|square|Steatite,+031-032-171-745+
2026-05-31,M-169,2694.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:I,SAN,000,031,032,031-032,False,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+740-575-017-000-000-031-032+
2026-05-31,M-326,2844.3,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:S,SAN,171,031,032,031-032,False,True,False,171,Mohenjo-daro|SEAL:S|square|Steatite,+000-000-171-031-032-171+
2026-05-31,H-1874,388.2,Harappa,TAB:B,rectangular,Faience,None,None,002,220,455,220-455,True,True,False,000,Harappa|TAB:B|rectangular|Faience,+002-220-455-000+
2026-05-31,H-82,1139.1,Harappa,SEAL:S,square,Steatite,Gaur,Trough,002,220,455,220-455,True,True,False,741,Harappa|SEAL:S|square|Steatite,+390-017-002-220-455-741+
2026-05-31,H-268,1293.1,Harappa,SEAL:S,square,Steatite,Bull1:W,SAN,002,220,455,220-455,True,True,False,920,Harappa|SEAL:S|square|Steatite,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,K-7,1882.1,Kalibangan,SEAL:S,square,Steatite,Bull1:W,SAF,001,220,455,220-455,False,True,False,530 741,Kalibangan|SEAL:S|square|Steatite,+740-100-176-838-001-220-455-530-741+
2026-05-31,M-1749,2195.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:W,SAN,,220,455,220-455,False,True,False,125 031,Mohenjo-daro|SEAL:S|square|Steatite,+220-455-125-031+
2026-05-31,M-29,2557.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:W,SAN,002,220,455,220-455,True,True,False,503,Mohenjo-daro|SEAL:S|square|Steatite,+740-055-240-235-806-002-220-455-503+
2026-05-31,M-61,2589.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:W,RBF,231,220,455,220-455,False,True,False,615 689,Mohenjo-daro|SEAL:S|square|Steatite,+740-000-231-220-455-615-689+
2026-05-31,M-147,2674.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:J,RAF,002,220,455,220-455,True,True,False,520,Mohenjo-daro|SEAL:S|square|Steatite,+226-803-002-220-455-520+
2026-05-31,M-1329,3634.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,None,None,001,220,455,220-455,False,True,False,820,Mohenjo-daro|SEAL:R|cuboid-convex|Steatite,]000-142-001-220-455-820+
2026-05-31,-,4194.1,Dholavira,SEAL:R,rectangular,-,None,None,013,220,455,220-455,False,True,False,806,Dholavira|SEAL:R|rectangular|-,+154-806-472-013-220-455-806+
2026-05-31,-,5227.1,Karzakan,SEAL:C,circular,-,Gaur,None,,220,455,220-455,False,True,False,031 091,Karzakan|SEAL:C|circular|-,+220-455-031-091+
