"stratum","token","short_mark_token_count","long_text_token_count","short_mark_share","long_text_share","enrichment_ratio_smoothed","top_side_indexes","top_horizontal_bins","top_vertical_bins","top_thickness_bins"
"harappa_tab_b","034","42","0","0.094595","0","176.278409","1:32;2:10","h_000_015:20;h_015_025:19;h_025_035:2;-:1","v_000_010:35;v_010_020:5;-:2","-:16;th_003_007:13;th_000_003:11;th_007_012:2"
"harappa_tab_b","700","189","23","0.425676","0.02275","16.723283","1:103;2:85;3:1","h_015_025:109;h_000_015:53;-:18;h_025_035:9","v_000_010:120;v_010_020:41;-:28","-:118;th_003_007:33;th_000_003:32;th_007_012:6"
"harappa_tab_b","033","73","31","0.164414","0.030663","4.839015","2:40;1:33","h_015_025:42;h_000_015:20;-:7;h_025_035:4","v_000_010:42;v_010_020:16;-:15","-:51;th_003_007:11;th_000_003:10;th_007_012:1"
"harappa_tab_b","032","64","30","0.144144","0.029674","4.385712","2:34;1:30","h_015_025:42;h_000_015:10;-:9;h_025_035:3","v_000_010:37;v_010_020:17;-:10","-:46;th_000_003:9;th_003_007:8;th_007_012:1"
"harappa_tab_b","520","5","18","0.011261","0.017804","0.616554","2:3;1:2","h_000_015:3;-:2","-:2;v_000_010:2;v_010_020:1","-:3;th_000_003:2"
"harappa_tab_b","400","6","81","0.013514","0.080119","0.1654","2:6","h_000_015:3;h_015_025:2;-:1","v_000_010:4;-:1;v_010_020:1","th_003_007:4;-:2"
"harappa_tab_i","034","72","2","0.133829","0.002736","38.274234","2:40;1:31;3:1","h_000_015:59;h_015_025:12;-:1","v_000_010:69;v_010_020:3","-:59;th_000_003:9;th_003_007:4"
"harappa_tab_i","003","50","2","0.092937","0.002736","26.659983","3:22;1:17;2:11","h_000_015:50","v_000_010:50","-:47;th_000_003:3"
"harappa_tab_i","700","179","9","0.332714","0.012312","24.937296","2:114;1:63;3:2","h_000_015:105;h_015_025:62;-:12","v_000_010:156;v_010_020:12;-:11","-:153;th_000_003:18;th_003_007:8"
"harappa_tab_i","033","68","5","0.126394","0.00684","16.437524","2:48;1:19;3:1","h_000_015:32;h_015_025:29;-:7","v_000_010:60;-:6;v_010_020:2","-:63;th_000_003:3;th_003_007:2"
"harappa_tab_i","861","28","6","0.052045","0.008208","5.78682","1:17;2:11","h_000_015:28","v_000_010:28","-:25;th_000_003:3"
"harappa_tab_i","900","6","2","0.011152","0.002736","3.431483","2:5;1:1","h_000_015:6","v_000_010:6","-:4;th_000_003:2"
"harappa_tab_i","156","21","12","0.039033","0.016416","2.270058","3:21","h_000_015:21","v_000_010:21","-:21"
"harappa_tab_i","032","39","35","0.072491","0.04788","1.468511","2:25;1:14","h_015_025:19;h_000_015:16;-:4","v_000_010:27;v_010_020:7;-:5","-:30;th_000_003:7;th_003_007:2"
"harappa_tab_i","368","5","6","0.009294","0.008208","1.116755","2:4;1:1","h_000_015:5","v_000_010:5","-:4;th_000_003:1"
"harappa_tab_i","690","5","12","0.009294","0.016416","0.580713","1:5","h_015_025:3;-:1;h_000_015:1","v_000_010:4;v_010_020:1","-:4;th_000_003:1"
"harappa_tab_i","400","9","90","0.016729","0.123119","0.138543","2:5;1:4","h_000_015:7;h_015_025:2","v_000_010:9","-:6;th_000_003:2;th_003_007:1"
