"label_filter","model","evaluated_rows","label_count","labels","majority_label","majority_share","accuracy","macro_f1","macro_recall","removed_labels"
"all_eligible","majority","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.212571","0.029218","0.083333",""
"all_eligible","length","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.399429","0.195489","0.23156",""
"all_eligible","type","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.220571","0.081902","0.115271",""
"all_eligible","site","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.207429","0.066772","0.11305",""
"all_eligible","type_site","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.222286","0.113611","0.131215",""
"all_eligible","length_type_site","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.374286","0.221261","0.234341",""
"all_eligible","edge_frame","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.390857","0.263002","0.239216",""
"all_eligible","token_nb","1750","12","IM;IT;LC;LP;LT;MS;MT;PN;SC;SP;SS;VX","SC","0.212571","0.525714","0.3562","0.354719",""
"source_proxy_ge_0_80_removed","majority","1729","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.215153","0.215153","0.032192","0.090909","PN"
"source_proxy_ge_0_80_removed","length","1729","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.215153","0.40428","0.214743","0.252611","PN"
"source_proxy_ge_0_80_removed","type","1729","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.215153","0.22325","0.089924","0.125751","PN"
"source_proxy_ge_0_80_removed","site","1729","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.215153","0.208791","0.057516","0.11467","PN"
"source_proxy_ge_0_80_removed","type_site","1729","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.215153","0.224986","0.111363","0.134974","PN"
"source_proxy_ge_0_80_removed","length_type_site","1729","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.215153","0.378832","0.229566","0.247475","PN"
"source_proxy_ge_0_80_removed","edge_frame","1729","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.215153","0.395604","0.287427","0.260963","PN"
"source_proxy_ge_0_80_removed","token_nb","1729","11","IM;IT;LC;LP;LT;MS;MT;SC;SP;SS;VX","SC","0.215153","0.533256","0.393925","0.389099","PN"
"source_proxy_ge_0_65_removed","majority","1230","7","IM;LC;LT;MT;SC;SP;SS","SC","0.302439","0.302439","0.066346","0.142857","IT;LP;MS;PN;VX"
"source_proxy_ge_0_65_removed","length","1230","7","IM;LC;LT;MT;SC;SP;SS","SC","0.302439","0.443902","0.303378","0.344617","IT;LP;MS;PN;VX"
"source_proxy_ge_0_65_removed","type","1230","7","IM;LC;LT;MT;SC;SP;SS","SC","0.302439","0.309756","0.133069","0.161214","IT;LP;MS;PN;VX"
"source_proxy_ge_0_65_removed","site","1230","7","IM;LC;LT;MT;SC;SP;SS","SC","0.302439","0.287805","0.064546","0.135945","IT;LP;MS;PN;VX"
"source_proxy_ge_0_65_removed","type_site","1230","7","IM;LC;LT;MT;SC;SP;SS","SC","0.302439","0.278862","0.141101","0.158025","IT;LP;MS;PN;VX"
"source_proxy_ge_0_65_removed","length_type_site","1230","7","IM;LC;LT;MT;SC;SP;SS","SC","0.302439","0.412195","0.29488","0.306256","IT;LP;MS;PN;VX"
"source_proxy_ge_0_65_removed","edge_frame","1230","7","IM;LC;LT;MT;SC;SP;SS","SC","0.302439","0.474797","0.346487","0.331232","IT;LP;MS;PN;VX"
"source_proxy_ge_0_65_removed","token_nb","1230","7","IM;LC;LT;MT;SC;SP;SS","SC","0.302439","0.643089","0.52203","0.529434","IT;LP;MS;PN;VX"
