id,cisi,site,type,symbol,text,bigram,next,terminal_after_next
104.1,C-16,Chanhu-daro,SEAL:S,Bull1:L,+429-003-741-060-920+,741-060,920,yes
257.1,H-1309,Harappa,TAB:I,None,+156-176-741-060-920+,741-060,920,yes
491.2,H-2127,Harappa,TAB:I,None,+504-350-741-060-920+,741-060,920,yes
589.2,H-2128,Harappa,TAB:I,None,+504-350-741-060-920+,741-060,920,yes
1145.1,H-89,Harappa,SEAL:S,Elep,+232-240-741-060-920+,741-060,920,yes
1209.1,H-175,Harappa,TAB:B,Anth,+167-705-368-005-741-060-920+,741-060,920,yes
1879.1,K-4,Kalibangan,SEAL:S,Bull1:W,+036-269-140-002-741-060-920+,741-060,920,yes
2005.1,L-28,Lothal,SEAL:S,Bull1:S,+740-406-590-741-060-920+,741-060,920,yes
2133.3,L-217,Lothal,TAB:B,Mult,+740-821-741-060-920+,741-060,920,yes
2192.1,M-1805,Mohenjo-daro,SEAL:S,Bull1:S,+740-440-741-060-920+,741-060,920,yes
2249.1,M-966,Mohenjo-daro,SEAL:S,Bull1:J,+740-042-741-060-920+,741-060,920,yes
2339.1,M-1757,Mohenjo-daro,SEAL:S,Bull1:S,+504-350-240-741-060-920+,741-060,920,yes
2343.1,M-1790,Mohenjo-daro,SEAL:S,Bull1:J,+592-741-060-920+,741-060,920,yes
2344.1,M-1902,Mohenjo-daro,SEAL:S,Zebu,+151-390-590-741-060-920+,741-060,920,yes
2516.1,M-1672,Mohenjo-daro,SEAL:S,Bull1:W,+520-220-003-741-060-920+,741-060,920,yes
2640.1,M-113,Mohenjo-daro,SEAL:S,Bull1:J,+740-032-840-741-060-920+,741-060,920,yes
2770.1,M-247,Mohenjo-daro,SEAL:S,Gaur,+390-017-741-060-920+,741-060,920,yes
2844.1,M-326,Mohenjo-daro,SEAL:S,Bull1:S,+740-904-235-741-060-920+,741-060,920,yes
2921.1,M-427,Mohenjo-daro,TAG:P,Bull1,+740-100-415-741-060-920+,741-060,920,yes
3091.1,M-647,Mohenjo-daro,SEAL:S,Bull1:S,+740-100-235-233-741-060-920+,741-060,920,yes
3178.1,M-755,Mohenjo-daro,SEAL:S,Bull1,+740-337-484-741-060-920+,741-060,920,yes
3266.1,M-854,Mohenjo-daro,SEAL:S,Bull1,+592-741-060-920+,741-060,920,yes
3280.1,M-870,Mohenjo-daro,SEAL:S,Bull1:L,+740-460-741-060-920+,741-060,920,yes
3358.1,M-964,Mohenjo-daro,SEAL:S,Bull1:J,+527-550-741-060-920+,741-060,920,yes
3364.1,M-971,Mohenjo-daro,SEAL:S,Bull1:J,+740-416-741-060-920+,741-060,920,yes
3367.1,M-974,Mohenjo-daro,SEAL:S,Bull1:I,+740-927-741-060-920+,741-060,920,yes
3485.1,M-1114,Mohenjo-daro,SEAL:S,Zebu,+740-140-002-741-060-920+,741-060,920,yes
3679.1,M-1383,Mohenjo-daro,TAG:R,Bull1,+740-575-017-031-741-060-920+,741-060,920,yes
3869.1,Rgr-1,Rakhigarhi,SEAL:S,Bull1:J,+740-760-335-741-060-920+,741-060,920,yes
4159.1,-,Dholavira,SEAL:S,Bull1:J,+368-005-741-060-920+,741-060,920,yes
4175.1,-,Dholavira,SEAL:S,Bull1:W,+156-142-741-060-920+,741-060,920,yes
