"scope","group_kind","group_value","source_rows","collapsed_rows","duplicate_rows_removed","tokens","masked_evaluated"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","all","all","2887","1798","1089","8212","true"
"lipi_direction_clean_candidate_total_exact_sequence_collapsed","all","all","3308","2180","1128","10168","false"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:S","1101","1018","83","4920","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","SEAL:R","218","212","6","1085","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:I","533","173","360","559","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:B","705","312","393","1213","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","type","TAB:C","157","53","104","252","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Harappa","1430","662","768","2674","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Kalibangan","55","48","7","190","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Lothal","84","63","21","279","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","site","Mohenjo-daro","1217","1009","208","4889","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Lower Indus","1282","1068","214","5156","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Gujarat/Kutch","90","69","21","315","true"
"lipi_numeric_clean_candidate_exact_sequence_collapsed","region","Inter-Riverine","1486","704","782","2849","true"
