checked_date,object,row_id,site,type,condition,complete,position,prev1,next_after_pair,pair_at_end,is_4148_1,text
2026-05-31,-:178.1,178.1,Harappa,TAB:B,Poor,N,1,000,<END>,true,false,+000-000-033+
2026-05-31,H-1369,213.1,Harappa,POT:T:g,Poor,N,1,034,<END>,true,false,+034-000-033+
2026-05-31,H-1494,214.1,Harappa,POT:T:g,Poor,N,0,<START>,<END>,true,false,]000-033[
2026-05-31,-:285.2,285.2,Harappa,TAB:I,Poor,N,0,<START>,<END>,true,false,]000-033+
2026-05-31,H-1272,286.1,Harappa,TAB:I,Poor,N,0,<START>,<END>,true,false,]000-033+
2026-05-31,H-1801,629.2,Harappa,TAB:B,Fair,N,0,<START>,605,false,false,]000-033-605+
2026-05-31,H-2261,704.1,Harappa,POT:T:g,Poor,N,1,000,<END>,true,false,+000-000/033[
2026-05-31,H-1890,944.1,Harappa,TAB:B,Poor,N,0,<START>,000,false,false,+000-033-000[
2026-05-31,-:1046.1,1046.1,Harappa,POT:T:g,Poor,N,3,001,<END>,true,false,+035/032-001-000/033+
2026-05-31,H-1154,1050.2,Harappa,TAB:B,Poor,N,0,<START>,<END>,true,false,]000-033[
2026-05-31,H-646,1561.1,Harappa,SEAL:R,Poor,N,0,<START>,033,false,false,+000-033-033-060-692+
2026-05-31,H-937,1817.2,Harappa,TAB:I,Poor,N,0,<START>,<END>,true,false,+000-033+
2026-05-31,K-89,1944.2,Kalibangan,TAG:L,Fair,N,0,<START>,705,false,false,+000-033-705-000-002-000+
2026-05-31,-:2154.1,2154.1,Mohenjo-daro,SEAL,Poor,N,0,<START>,000,false,false,]000-033-000[
2026-05-31,-:2217.1,2217.1,Mohenjo-daro,SEAL:R,Fair,N,0,<START>,706,false,false,]000-033-706-806[
2026-05-31,M-1173,3531.1,Mohenjo-daro,SEAL:S,Poor,N,0,<START>,032,false,false,]000-033-032-920-140-545+
2026-05-31,M-1583,3806.1,Mohenjo-daro,POT:T:g,Poor,N,0,<START>,<END>,true,false,]000-033+
2026-05-31,M-1840,3994.1,Mohenjo-daro,SEAL:S,Poor,N,1,000,033,false,false,+000-000-033-033+
2026-05-31,H-1194,4057.2,Harappa,TAB:I,Fair,N,0,<START>,<END>,true,false,]000-033[
2026-05-31,H-1291,4071.2,Harappa,TAB:I,Poor,N,0,<START>,<END>,true,false,]000-033+
2026-05-31,-:4148.1,4148.1,Rakhigarhi,SEAL:S,Fair,N,6,267,<END>,true,true,+740-690-435-255-002-267-000-033+
2026-05-31,-:4151.1,4151.1,Dholavira,SEAL:S,Poor,N,3,000,<END>,true,false,+455-861-000-000-033+
2026-05-31,M-1487,5146.1,Mohenjo-daro,TAB:C,Poor,N,1,000,000,false,false,+000-000-033-000+
2026-05-31,K-172,5297.1,Kalibangan,POT:T:g,Poor,N,0,<START>,<END>,true,false,]000-033+
