checked_date,target,label,occurrences,objects,sites,types,prev1,next1,at_end,adjudication
2026-05-31,4148.1,exact_tail_267_000_033,1,-:4148.1,Rakhigarhi:1,SEAL:S:1,002:1,<END>:1,true:1,singleton_local_context; source binding decides
2026-05-31,4148.1,payload_candidate_000_033,24,-:178.1;H-1369;H-1494;-:285.2;H-1272;H-1801;H-2261;H-1890;-:1046.1;H-1154;H-646;H-937;K-89;-:2154.1;-:2217.1;M-1173;M-1583;M-1840;H-1194;H-1291;-:4148.1;-:4151.1;M-1487;K-172,Harappa:14;Mohenjo-daro:6;Kalibangan:2;Dholavira:1;Rakhigarhi:1,POT:T:g:6;TAB:I:5;SEAL:S:4;TAB:B:4;SEAL:R:2;SEAL:1;TAB:C:1;TAG:L:1,<START>:16;000:5;001:1;034:1;267:1,<END>:15;000:3;033:2;032:1;605:1;705:1;706:1,true:15;false:9,family_context_available_but_not_decisive
2026-05-31,4148.1,head267_x000,1,-:4148.1,Rakhigarhi:1,SEAL:S:1,255:1,033:1,false:1,singleton_local_context; source binding decides
2026-05-31,4148.1,same_tail_267_000_any,1,-:4148.1,Rakhigarhi:1,SEAL:S:1,002:1,033:1,false:1,singleton_local_context; source binding decides
2026-05-31,M-451,exact_tail_520_000_000_000_906_388,1,M-451,Mohenjo-daro:1,TAB:B:1,002:1,<END>:1,true:1,singleton_local_context; source binding decides
2026-05-31,M-451,zero_chain_000_000_000_906_388,1,M-451,Mohenjo-daro:1,TAB:B:1,520:1,<END>:1,true:1,singleton_local_context; source binding decides
2026-05-31,M-451,payload_candidate_906_388,3,M-133;M-451;M-1427,Mohenjo-daro:3,SEAL:S:1;TAB:B:1;TAG:O:1,000:1;615:1;812:1,<END>:3,true:3,repeated_terminal_boundary_pressure
2026-05-31,M-451,same_head_520_000,1,M-451,Mohenjo-daro:1,TAB:B:1,000:1,000:1,false:1,singleton_local_context; source binding decides
2026-05-31,Ns-66,exact_tail_892_000_002,1,Ns-66,Nausharo:1,POT:T:g:1,002:1,<END>:1,true:1,singleton_local_context; source binding decides
2026-05-31,Ns-66,reset_candidate_000_002,47,B-18;C-85;Dlv-2;-:216.1;-:617.1;H-15;H-41;H-100;H-653;K-54;K-87;K-89;L-5;L-137;L-190;L-208;-:2171.1;M-1895;-:2258.1;M-1733;M-1960;H-167;M-19;M-106;M-110;M-451;M-646;M-701;M-787;M-835;M-1354;M-1421;M-1754;M-1959;-:4156.1;-:4156.2;-:4234.1;-:4298.1;-:4314.1;-:4314.2;-:4348.1;L-6;K-157;K-416;Ns-66;Ns-66;Ns-67,Mohenjo-daro:17;Dholavira:8;Harappa:6;Kalibangan:5;Lothal:5;Nausharo:3;Banawali:1;Baror:1;Chanhu-daro:1,SEAL:S:19;TAG:10;SEAL:R:6;POT:T:g:5;TAB:B:3;TAG:L:2;BNGL:1;SEAL:L:1,000:19;<START>:10;520:3;100:2;031:1;142:1;151:1;171:1;220:1;390:1;440:1;511:1;552:1;705:1;760:1;892:1;923:1,820:12;000:11;817:5;861:5;<END>:3;257:1;285:1;455:1;520:1;575:1;690:1;735:1;824:1;870:1;892:1;920:1,false:44;true:3,family_context_available_but_not_decisive
2026-05-31,Ns-66,frame_002_892_000,1,Ns-66,Nausharo:1,POT:T:g:1,000:1,002:1,false:1,singleton_local_context; source binding decides
