key,x,site,type,head,tail_after_x,all_terminal,any_terminal,rows,examples
000|Allahdino,000,Allahdino:1,MISC:1,861,<END>,true,true,1,Ad-8
350|Bala-kot,350,Bala-kot:1,SEAL:S:1,297,125 413,false,false,1,Blk-1
634|Bala-kot,634,Bala-kot:1,SEAL:S:1,368,<END>,true,true,1,Blk-2
550|Banawali,550,Banawali:1,SEAL:S:1,368,821,false,false,1,B-1
072|Banawali,072,Banawali:1,SEAL:S:1,308,<END>,true,true,1,B-17
003|Chanhu-daro,003,Chanhu-daro:1,SEAL:S:1,906,<END>,true,true,1,C-71
530|Chanhu-daro,530,Chanhu-daro:1,SEAL:S:1,296,000,false,false,1,C-57
287|Chanhu-daro,287,Chanhu-daro:1,SEAL:S:1,365,034,false,false,1,C-1
317|Chanhu-daro,317,Chanhu-daro:1,SEAL:S:1,920,<END>,true,true,1,C-3
741|Chanhu-daro,741,Chanhu-daro:1,SEAL:S:1,298,<END>,true,true,1,C-5
500|Chanhu-daro,500,Chanhu-daro:1,SEAL:S:1,031,<END>,true,true,1,C-6
740|Desalpur,740,Desalpur:1,TAG:1,892,<END>,true,true,1,Dlp-3
550|Baror,550,Baror:1,SEAL:S:1,257,<END>,true,true,1,-:216.1
000|Harappa,000,Harappa:8,SEAL:S:5;POT:T:g:2;TAB:I:1,297,<END>,true,true,8,H-1038;H-2338;-:617.1;H-78;H-461;H-593;H-609;H-909
032|Harappa,032,Harappa:3,SEAL:S:3,862,<END>,false,true,3,H-1033;H-272;H-455
491|Harappa,491,Harappa:1,TAB:B:1,920,<END>,true,true,1,H-811
455|Harappa,455,Harappa:3,SEAL:S:2;TAB:B:1,220,000,false,false,3,H-1874;H-82;H-268
416|Harappa,416,Harappa:1,TAB:I:1,861,<END>,true,true,1,H-910
420|Harappa,420,Harappa:1,SEAL:S:1,455,032,false,false,1,H-1671
861|Harappa,861,Harappa:2,POT:T:g:1;SEAL:S:1,003,<END>,false,true,2,-:543.1;H-486
360|Harappa,360,Harappa:1,SEAL:R:1,293,<END>,true,true,1,H-1706
095|Harappa,095,Harappa:1,TAB:B:1,390,<END>,true,true,1,H-1993
921|Harappa,921,Harappa:2,SEAL:S:2,690,<END>,true,true,2,H-1657;H-8
615|Harappa,615,Harappa:1,SEAL:S:1,611,703,false,false,1,H-3
321|Harappa,321,Harappa:1,SEAL:S:1,405,<END>,true,true,1,H-22
374|Harappa,374,Harappa:1,SEAL:S:1,365,000,false,false,1,H-31
892|Harappa,892,Harappa:1,SEAL:S:1,031,<END>,true,true,1,H-44
125|Harappa,125,Harappa:2,SEAL:S:2,861,<END>,false,true,2,H-55;H-74
072|Harappa,072,Harappa:1,SEAL:S:1,390,<END>,true,true,1,H-68
244|Harappa,244,Harappa:1,SEAL:R:1,861,165,false,false,1,H-129
812|Harappa,812,Harappa:1,SEAL:R:1,595,125 717,false,false,1,H-130
575|Harappa,575,Harappa:1,SEAL:R:1,595,794 000,false,false,1,H-131
235|Harappa,235,Harappa:1,SEAL:R:1,233,<END>,true,true,1,H-141
501|Harappa,501,Harappa:1,TAB:B:1,405,<END>,true,true,1,H-1155
632|Harappa,632,Harappa:1,SEAL:S:1,595,354 850,false,false,1,H-385
480|Harappa,480,Harappa:1,SEAL:S:1,031,625,false,false,1,H-389
503|Harappa,503,Harappa:1,SEAL:S:1,702,<END>,true,true,1,H-408
511|Harappa,511,Harappa:1,SEAL:S:1,460,<END>,true,true,1,H-426
216|Harappa,216,Harappa:1,SEAL:S:1,861,<END>,true,true,1,H-446
808|Harappa,808,Harappa:1,SEAL:S:1,817,<END>,true,true,1,H-456
590|Harappa,590,Harappa:2,SEAL:S:2,798,<END>,false,true,2,H-464;H-611
705|Harappa,705,Harappa:1,SEAL:S:1,940,<END>,true,true,1,H-468
255|Harappa,255,Harappa:1,SEAL:S:1,435,777,false,false,1,H-598
260|Harappa,260,Harappa:1,SEAL:S:1,368,<END>,true,true,1,H-600
747|Harappa,747,Harappa:1,SEAL:R:1,717,<END>,true,true,1,H-639
831|Harappa,831,Harappa:1,SEAL:1,861,165,false,false,1,H-688
530|Harappa,530,Harappa:1,TAB:B:1,390,741,false,false,1,H-773
060|Kalibangan,060,Kalibangan:1,SEAL:S:1,741,920,false,false,1,K-4
861|Kalibangan,861,Kalibangan:1,SEAL:S:1,368,590 032 368,false,false,1,K-10
463|Kalibangan,463,Kalibangan:1,SEAL:S:1,762,140,false,false,1,K-18
033|Kalibangan,033,Kalibangan:1,SEAL:S:1,820,<END>,true,true,1,K-23
575|Kalibangan,575,Kalibangan:1,SEAL:S:1,252,<END>,true,true,1,K-24
065|Kalibangan,065,Kalibangan:1,SEAL:S:1,220,132 082,false,false,1,K-25
491|Kalibangan,491,Kalibangan:1,SEAL:S:1,285,<END>,true,true,1,K-28
791|Kalibangan,791,Kalibangan:1,SEAL:S:1,861,440 717,false,false,1,K-40
000|Kalibangan,000,Kalibangan:3,SEAL:S:2;TAG:1,000,<END>,true,true,3,K-44;K-146;K-155
091|Kalibangan,091,Kalibangan:1,TAG:1,056,<END>,true,true,1,K-156
832|Kalibangan,832,Kalibangan:1,TAG:L:1,360,<END>,true,true,1,K-89
390|Kalibangan,390,Kalibangan:1,TAG:L:1,595,000,false,false,1,K-89
590|Lohumjo-daro,590,Lohumjo-daro:1,SEAL:S:1,392,125,false,false,1,Lh-1
095|Lothal,095,Lothal:1,SEAL:S:1,812,<END>,true,true,1,L-1
031|Lothal,031,Lothal:1,SEAL:S:1,575,<END>,true,true,1,L-4
692|Lothal,692,Lothal:1,SEAL:S:1,455,416,false,false,1,L-5
035|Lothal,035,Lothal:1,SEAL:S:1,130,<END>,true,true,1,L-12
626|Lothal,626,Lothal:1,SEAL:S:1,861,<END>,true,true,1,L-39
392|Lothal,392,Lothal:1,SEAL:S:1,861,<END>,true,true,1,L-46
055|Lothal,055,Lothal:1,SEAL:S:1,798,<END>,true,true,1,L-47
590|Lothal,590,Lothal:1,SEAL:R:1,540,<END>,true,true,1,L-112
317|Lothal,317,Lothal:1,TAG:1,920,<END>,true,true,1,L-190
840|Lothal,840,Lothal:1,TAG:1,368,900,false,false,1,L-213
892|Mohenjo-daro,892,Mohenjo-daro:2,SEAL:S:2,269,<END>,false,true,2,M-1766;M-1745
031|Mohenjo-daro,031,Mohenjo-daro:6,SEAL:S:3;SEAL:R:2;POT:T:g:1,000,<END>,true,true,6,M-2005;M-358;M-706;M-756;M-948;M-1284
096|Mohenjo-daro,096,Mohenjo-daro:1,ROD:1,861,<END>,true,true,1,M-2089
504|Mohenjo-daro,504,Mohenjo-daro:1,SEAL:S:1,595,803,false,false,1,M-1676
125|Mohenjo-daro,125,Mohenjo-daro:8,SEAL:S:6;SEAL:R:1;TAB:C:1,190,<END>,false,true,8,M-1692;M-1665;M-38;M-41;M-119;M-354;M-735;M-2055
220|Mohenjo-daro,220,Mohenjo-daro:1,SEAL:S:1,286,031 012 031 455 033 590,false,false,1,M-1688
001|Mohenjo-daro,001,Mohenjo-daro:1,SEAL:S:1,820,440 012,false,false,1,M-1677
683|Mohenjo-daro,683,Mohenjo-daro:1,SEAL:S:1,861,<END>,true,true,1,M-1674
033|Mohenjo-daro,033,Mohenjo-daro:1,SEAL:S:1,093,<END>,true,true,1,M-1765
705|Mohenjo-daro,705,Mohenjo-daro:3,SEAL:S:3,320,<END>,false,true,3,M-1668;M-1155;M-1825
032|Mohenjo-daro,032,Mohenjo-daro:4,SEAL:S:3;TAG:O:1,840,<END>,false,true,4,M-1791;M-1661;M-1159;M-1391
435|Mohenjo-daro,435,Mohenjo-daro:1,SEAL:S:1,798,255 705,false,false,1,M-1772
920|Mohenjo-daro,920,Mohenjo-daro:2,SEAL:S:2,156,<END>,false,true,2,M-1810;M-280
215|Mohenjo-daro,215,Mohenjo-daro:1,SEAL:S:1,000,<END>,true,true,1,M-1783
260|Mohenjo-daro,260,Mohenjo-daro:2,SEAL:S:2,368,<END>,true,true,2,M-1789;M-107
832|Mohenjo-daro,832,Mohenjo-daro:1,SEAL:S:1,861,<END>,true,true,1,M-1681
000|Mohenjo-daro,000,Mohenjo-daro:9,SEAL:S:7;SEAL:1;TAB:B:1,703,<END>,false,true,9,M-1787;M-1884;M-141;M-279;M-451;M-692;M-1027;M-1045;M-1995
692|Mohenjo-daro,692,Mohenjo-daro:2,SEAL:S:2,252,<END>,true,true,2,M-1901;M-70
511|Mohenjo-daro,511,Mohenjo-daro:1,SEAL:S:1,455,<END>,true,true,1,M-1907
820|Mohenjo-daro,820,Mohenjo-daro:2,SEAL:C:1;SEAL:S:1,717,<END>,true,true,2,M-1667;M-1369
192|Mohenjo-daro,192,Mohenjo-daro:1,SEAL:S:1,817,000,false,false,1,M-1662
617|Mohenjo-daro,617,Mohenjo-daro:1,SEAL:S:1,564,033,false,false,1,M-4
455|Mohenjo-daro,455,Mohenjo-daro:5,SEAL:S:5,267,<END>,false,true,5,M-10;M-29;M-147;M-761;M-1909
202|Mohenjo-daro,202,Mohenjo-daro:1,SEAL:S:1,368,892 371,false,false,1,M-12
560|Mohenjo-daro,560,Mohenjo-daro:1,SEAL:S:1,814,<END>,true,true,1,M-17
036|Mohenjo-daro,036,Mohenjo-daro:1,SEAL:S:1,861,460 513,false,false,1,M-20
140|Mohenjo-daro,140,Mohenjo-daro:3,SEAL:S:3,906,<END>,true,true,3,M-24;M-109;M-708
372|Mohenjo-daro,372,Mohenjo-daro:1,SEAL:S:1,405,374,false,false,1,M-34
906|Mohenjo-daro,906,Mohenjo-daro:3,SEAL:S:3,368,<END>,false,true,3,M-36;M-809;M-1178
475|Mohenjo-daro,475,Mohenjo-daro:1,SEAL:S:1,527,005,false,false,1,M-40
373|Mohenjo-daro,373,Mohenjo-daro:1,SEAL:S:1,055,<END>,true,true,1,M-43
317|Mohenjo-daro,317,Mohenjo-daro:2,SEAL:S:2,920,<END>,true,true,2,M-44;M-308
065|Mohenjo-daro,065,Mohenjo-daro:2,SEAL:S:2,220,215,false,false,2,M-46;M-140
350|Mohenjo-daro,350,Mohenjo-daro:5,SEAL:S:5,300,<END>,false,true,5,M-49;M-106;M-242;M-251;M-739
717|Mohenjo-daro,717,Mohenjo-daro:1,SEAL:S:1,504,<END>,true,true,1,M-52
190|Mohenjo-daro,190,Mohenjo-daro:2,SEAL:S:2,297,<END>,false,true,2,M-53;M-115
309|Mohenjo-daro,309,Mohenjo-daro:1,SEAL:S:1,374,350,false,false,1,M-66
095|Mohenjo-daro,095,Mohenjo-daro:1,SEAL:S:1,390,<END>,true,true,1,M-71
070|Mohenjo-daro,070,Mohenjo-daro:1,SEAL:S:1,617,<END>,true,true,1,M-81
550|Mohenjo-daro,550,Mohenjo-daro:1,SEAL:S:1,207,390,false,false,1,M-82
700|Mohenjo-daro,700,Mohenjo-daro:2,SEAL:S:2,820,<END>,true,true,2,M-86;M-721
255|Mohenjo-daro,255,Mohenjo-daro:1,SEAL:S:1,861,416,false,false,1,M-91
084|Mohenjo-daro,084,Mohenjo-daro:1,SEAL:S:1,814,<END>,true,true,1,M-92
165|Mohenjo-daro,165,Mohenjo-daro:3,SEAL:S:3,111,<END>,true,true,3,M-95;M-211;M-311
119|Mohenjo-daro,119,Mohenjo-daro:1,SEAL:S:1,368,<END>,true,true,1,M-99
416|Mohenjo-daro,416,Mohenjo-daro:1,SEAL:S:1,297,<END>,true,true,1,M-114
840|Mohenjo-daro,840,Mohenjo-daro:2,SEAL:S:2,252,<END>,true,true,2,M-143;M-1089
898|Mohenjo-daro,898,Mohenjo-daro:1,SEAL:S:1,257,<END>,true,true,1,M-154
741|Mohenjo-daro,741,Mohenjo-daro:2,SEAL:S:2,820,<END>,true,true,2,M-160;M-1119
502|Mohenjo-daro,502,Mohenjo-daro:2,SEAL:S:2,295,<END>,true,true,2,M-181;M-678
346|Mohenjo-daro,346,Mohenjo-daro:2,SEAL:R:1;SEAL:S:1,390,<END>,true,true,2,M-213;M-1319
707|Mohenjo-daro,707,Mohenjo-daro:1,SEAL:S:1,390,<END>,true,true,1,M-232
603|Mohenjo-daro,603,Mohenjo-daro:3,SEAL:S:2;SEAL:R:1,861,<END>,true,true,3,M-240;M-714;M-1273
590|Mohenjo-daro,590,Mohenjo-daro:1,SEAL:S:1,705,<END>,true,true,1,M-248
518|Mohenjo-daro,518,Mohenjo-daro:1,SEAL:S:1,368,<END>,true,true,1,M-253
228|Mohenjo-daro,228,Mohenjo-daro:1,SEAL:S:1,374,741,false,false,1,M-315
575|Mohenjo-daro,575,Mohenjo-daro:2,SEAL:S:2,031,<END>,true,true,2,M-318;M-665
493|Mohenjo-daro,493,Mohenjo-daro:1,SEAL:S:1,850,<END>,true,true,1,M-325
491|Mohenjo-daro,491,Mohenjo-daro:1,SEAL:S:1,850,<END>,true,true,1,M-325
698|Mohenjo-daro,698,Mohenjo-daro:1,SEAL:S:1,861,<END>,true,true,1,M-330
360|Mohenjo-daro,360,Mohenjo-daro:1,SEAL:R:1,861,520 919 140,false,false,1,M-355
385|Mohenjo-daro,385,Mohenjo-daro:1,SEAL:R:1,388,705 632,false,false,1,M-359
533|Mohenjo-daro,533,Mohenjo-daro:2,SEAL:R:2,861,717,false,false,2,M-376;M-391
004|Mohenjo-daro,004,Mohenjo-daro:1,SEAL:R:1,354,<END>,true,true,1,M-413
016|Mohenjo-daro,016,Mohenjo-daro:1,TAB:B:1,840,<END>,true,true,1,M-491
460|Mohenjo-daro,460,Mohenjo-daro:3,TAB:C:2;SEAL:S:1,365,495,false,false,3,M-577;M-683;M-1532
530|Mohenjo-daro,530,Mohenjo-daro:1,SEAL:S:1,299,820,false,false,1,M-623
690|Mohenjo-daro,690,Mohenjo-daro:2,SEAL:S:2,291,564,false,false,2,M-628;M-855
216|Mohenjo-daro,216,Mohenjo-daro:1,SEAL:S:1,000,<END>,true,true,1,M-636
751|Mohenjo-daro,751,Mohenjo-daro:1,SEAL:S:1,190,<END>,true,true,1,M-639
090|Mohenjo-daro,090,Mohenjo-daro:2,SEAL:S:2,817,<END>,false,true,2,M-644;M-902
880|Mohenjo-daro,880,Mohenjo-daro:1,SEAL:S:1,220,689,false,false,1,M-655
817|Mohenjo-daro,817,Mohenjo-daro:1,SEAL:S:1,002,<END>,true,true,1,M-658
901|Mohenjo-daro,901,Mohenjo-daro:1,SEAL:S:1,861,<END>,true,true,1,M-677
035|Mohenjo-daro,035,Mohenjo-daro:2,SEAL:S:2,130,171,false,false,2,M-699;M-1112
632|Mohenjo-daro,632,Mohenjo-daro:2,SEAL:S:2,460,<END>,true,true,2,M-845;M-1188
615|Mohenjo-daro,615,Mohenjo-daro:2,SEAL:S:2,550,<END>,true,true,2,M-849;M-937
