"corpus","scope","control","iteration","stored_win_share","mean_diff"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","63","0.5","0.002849"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","64","0.502781","0.019002"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","65","0.487764","0.000713"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","66","0.525028","0.020633"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","67","0.499444","0.001445"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","68","0.502225","-0.002996"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","69","0.502225","-0.006544"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","70","0.491657","-0.008013"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","71","0.488877","-0.011297"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","72","0.499444","0.005589"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","73","0.48109","-0.011346"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","74","0.47386","0.005167"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","75","0.494438","0.016679"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","76","0.498331","0.011721"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","77","0.527253","0.04375"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","78","0.501669","0.02185"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","79","0.507786","0.019011"
"Indus_Lipi","exact_sequence_collapsed","global_token_shuffle","80","0.512236","0.016526"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","1","0.479422","-0.012248"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","2","0.510567","0.010403"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","3","0.489433","-0.00625"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","4","0.486652","-0.022511"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","5","0.491101","-0.012906"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","6","0.496663","-0.009569"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","7","0.486652","-0.008165"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","8","0.490545","0.003979"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","9","0.50723","0.014046"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","10","0.47386","-0.015899"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","11","0.498331","0.0078"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","12","0.508899","0.034855"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","13","0.51168","0.015628"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","14","0.512792","0.013409"
