checked_date,object,row_id,site,type,material,condition,complete,position,preceding,next_after_pair,final_pair,previous_002_before_pair,previous_002_index,reset_candidate,text
2026-05-31,B-18,38.1,Banawali,SEAL:S,-,Poor,N,0,<START>,861,false,false,,false,]000-002-861+
2026-05-31,C-85,84.1,Chanhu-daro,SEAL:R,Steatite,Poor,N,1,000,820,false,false,,false,+000-000-002-820+
2026-05-31,Dlv-2,146.1,Dholavira,SEAL:R,-,Poor,N,0,<START>,817,false,false,,false,]000-002-817+
2026-05-31,-:216.1,216.1,Baror,SEAL:S,Steatite,Poor,N,1,000,257,false,false,,false,+000-000-002-257-550+
2026-05-31,-:617.1,617.1,Harappa,POT:T:g,Clay,Poor,N,2,000,575,false,false,,false,]740-000-000-002-575-000[
2026-05-31,H-15,1076.1,Harappa,SEAL:S,Steatite,Poor,N,1,000,817,false,false,,false,]000-000-002-817+
2026-05-31,H-41,1100.1,Harappa,SEAL:S,Steatite,Poor,N,0,<START>,690,false,false,,false,]000-002-690+
2026-05-31,H-100,1155.1,Harappa,SEAL:S,Clay,Poor,N,2,031,000,false,false,,false,+520-031-000-002-000+
2026-05-31,H-653,1568.1,Harappa,SEAL:R,Steatite,Poor,N,3,000,820,false,false,,false,+000-000-000-000-002-820+
2026-05-31,K-54,1917.1,Kalibangan,SEAL:S,Terracotta,Fair,N,0,<START>,870,false,false,,false,+000-002-870+
2026-05-31,K-87,1942.2,Kalibangan,TAG:L,-,Poor,N,2,000,861,false,false,,false,+740-000-000-002-861[
2026-05-31,K-89,1944.2,Kalibangan,TAG:L,-,Fair,N,3,705,000,false,false,,false,+000-033-705-000-002-000+
2026-05-31,L-5,1987.1,Lothal,SEAL:S,Steatite,Poor,N,3,552,455,false,false,,false,+740-760-552/000-002-455-692-416+
2026-05-31,L-137,2079.1,Lothal,TAG,Clay,Poor,N,1,000,820,false,false,,false,]000-000-002-820+
2026-05-31,L-190,2112.2,Lothal,TAG,Clay,Poor,N,2,000,920,false,false,,false,+000-000-000-002-920-317[
2026-05-31,L-208,2127.1,Lothal,TAG,Clay,Poor,N,0,<START>,000,false,false,,false,]000-002-000[
