checked_date,head,occurrences,terminal_rate,unique_x,x_values,polarity_mix,sites,types,next1,sample_objects
2026-05-31,861,34,0.735,23,416:6;603:3;000:2;096:2;533:2;698:2;031:1;032:1;036:1;125:1;216:1;244:1;255:1;360:1;390:1;392:1;626:1;683:1;791:1;803:1;831:1;832:1;901:1,mixed_or_underpowered:21;terminal_booster:12;open_operator:1,Mohenjo-daro:18;Harappa:10;Lothal:2;Allahdino:1;Dholavira:1;Kalibangan:1;Shikarpur:1,SEAL:S:17;TAB:I:6;SEAL:R:5;ROD:2;MISC:1;POT:T:p:1;SEAL:1;TAG:1,<END>:25;165:2;520:2;717:2;416:1;440:1;460:1,Ad-8;H-2094;H-2097;H-2095;-:621.1;H-2096;H-55;H-129;H-446;H-688;H-910;K-40
2026-05-31,405,32,0.938,4,501:29;125:1;321:1;372:1,global_edge:29;mixed_or_underpowered:2;open_operator:1,Harappa:30;Mohenjo-daro:2,TAB:B:29;SEAL:S:3,<END>:30;374:1;820:1,H-22;H-252;H-253;H-254;H-255;H-256;H-257;H-258;H-259;H-260;H-261;H-262
2026-05-31,031,15,0.867,11,000:2;480:2;575:2;892:2;104:1;165:1;350:1;376:1;500:1;502:1;820:1,mixed_or_underpowered:9;terminal_booster:6,Mohenjo-daro:8;Dholavira:3;Harappa:2;Chanhu-daro:1;Kalibangan:1,SEAL:S:10;SEAL:R:2;POT:T:g:1;TAB:B:1;TAG:1,<END>:13;550:1;625:1,C-6;H-44;H-389;M-1745;M-141;M-211;M-318;M-678;M-739;M-1386;M-1823;-:4164.1
2026-05-31,390,15,0.600,10,125:4;095:2;705:2;072:1;140:1;346:1;530:1;590:1;692:1;707:1,open_operator:5;terminal_booster:5;mixed_or_underpowered:4;global_edge:1,Mohenjo-daro:9;Harappa:3;Dholavira:1;Surkotada:1;Unknown:1,SEAL:S:13;TAB:B:2,<END>:9;632:2;032:1;195:1;741:1;820:1,H-1993;H-68;H-773;M-38;M-70;M-71;M-119;M-213;M-232;M-708;M-735;-:3335.1
2026-05-31,368,12,0.500,11,260:2;119:1;165:1;202:1;518:1;550:1;590:1;634:1;840:1;861:1;906:1,mixed_or_underpowered:7;terminal_booster:3;open_operator:2,Mohenjo-daro:6;Bala-kot:1;Banawali:1;Harappa:1;Kalibangan:1;Lothal:1;Unknown:1,SEAL:S:11;TAG:1,<END>:6;900:2;329:1;590:1;821:1;892:1,Blk-2;B-1;H-600;K-10;L-213;M-1789;M-12;M-36;M-99;M-253;M-311;?-3
2026-05-31,000,11,0.727,8,000:3;090:2;031:1;215:1;216:1;317:1;350:1;861:1,terminal_booster:5;mixed_or_underpowered:3;open_operator:3,Mohenjo-daro:6;Harappa:1;Kalibangan:1;Nausharo:1;Rakhigarhi:1;Unknown:1,SEAL:S:6;POT:T:g:2;SEAL:1;SEAL:C:1;SEAL:CY:1,<END>:8;031:1;688:1;725:1,H-486;K-44;M-2005;M-1783;M-106;M-636;M-902;M-1995;-:5226.1;Ns-67;-:5468.1
2026-05-31,220,11,0.091,5,455:5;065:3;000:1;627:1;880:1,open_operator:8;mixed_or_underpowered:2;terminal_booster:1,Mohenjo-daro:6;Harappa:4;Kalibangan:1,SEAL:S:9;TAB:B:1;TAG:O:1,<END>:1;000:1;132:1;215:1;440:1;503:1;520:1;615:1;689:1;741:1;920:1,H-1874;H-82;H-268;H-593;K-25;M-29;M-46;M-140;M-147;M-655;M-1427
2026-05-31,056,8,1.000,1,091:8,global_edge:8,Kalibangan:8,TAG:8,<END>:8,K-69;K-70;K-71;K-72;K-73;K-74;K-75;K-156
2026-05-31,817,8,0.500,6,000:3;032:1;090:1;192:1;690:1;808:1,mixed_or_underpowered:4;terminal_booster:3;open_operator:1,Mohenjo-daro:5;Harappa:2;Kalibangan:1,SEAL:S:6;TAG:1;TAG:O:1,<END>:4;000:1;320:1;370:1;544:1,H-456;H-609;M-1662;M-644;M-692;M-855;M-1391;K-155
2026-05-31,820,8,0.750,6,000:2;741:2;001:1;033:1;700:1;906:1,terminal_booster:4;mixed_or_underpowered:3;open_operator:1,Mohenjo-daro:6;Harappa:1;Kalibangan:1,SEAL:S:7;TAB:I:1,<END>:6;000:1;440:1,H-909;K-23;M-1677;M-86;M-160;M-1045;M-1119;M-1178
2026-05-31,595,7,0.143,7,342:1;390:1;504:1;575:1;632:1;812:1;906:1,mixed_or_underpowered:5;open_operator:1;terminal_booster:1,Harappa:3;Mohenjo-daro:3;Kalibangan:1,SEAL:R:3;SEAL:S:3;TAG:L:1,<END>:1;000:1;125:1;354:1;632:1;794:1;803:1,H-130;H-131;H-385;K-89;M-1676;M-809;M-1341
2026-05-31,297,5,0.400,4,350:2;000:1;190:1;416:1,mixed_or_underpowered:3;terminal_booster:2,Mohenjo-daro:2;Bala-kot:1;Harappa:1;Nausharo:1,SEAL:S:4;SEAL:R:1,<END>:2;125:2;920:1,Blk-1;H-1038;M-53;M-114;Ns-60
