"target_cisi","target_row_id","target_bucket","target_short_text","target_context_class","target_side_relation","target_long_token_set","target_profile","best_033_cisi","best_033_row_id","best_033_score","best_033_short_text","best_033_context_class","best_033_side_relation","best_033_long_token_set","best_033_matches","best_033_mismatches","best_032_cisi","best_032_row_id","best_032_score","best_032_short_text","best_032_context_class","best_032_side_relation","best_032_long_token_set","best_032_matches","best_032_mismatches","contrast_readiness","source_check_status"
"H-910","1792.2","A_034_002_861_416_companion","+700-034+","single_longer_text","short_after_all_longer","002;416;861","Steatite|rectangular|rectangular|Period 3C-3/Stratum II|FTrench VI","H-916","1796.2","35","+700-033+","single_longer_text","short_after_all_longer","032;059;400;740","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:FTrench VI->FTrench I;period_phase:Period 3C-3/Stratum II->Period 3B/C/Stratum V;long_token_set:002;416;861->032;059;400;740","H-1294","1061.2","35","+700-032+","single_longer_text","short_after_all_longer","233;527;550","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:FTrench VI->AB-;period_phase:Period 3C-3/Stratum II->Period 4/Stratum I;long_token_set:002;416;861->233;527;550","strong_two_sibling_metadata_controls","metadata_control_mapping_only_source_images_not_validated"
"H-2094","476.1","A_034_002_861_416_companion","+700-034+","single_longer_text","short_before_all_longer","002;416;861","Steatite|rectangular|rectangular|Period 3C/C|ETrench 11","H-900","1782.2","33","+700-033+","single_longer_text","short_after_all_longer","400;491;740;817","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","area_section:ETrench 11->FTrench IV+V;period_phase:Period 3C/C->Period 3C-1/Stratum IV;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:002;416;861->400;491;740;817","H-2173","801.1","33","+700-032+","single_longer_text","short_before_all_longer","400;491;740;817","type;sides;site;material;cross_section;symbol;area_section;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:rectangular->oval;period_phase:Period 3C/C->Period 3B/B;excavation_prefix:H2001->H96;long_token_set:002;416;861->400;491;740;817","strong_two_sibling_metadata_controls","metadata_control_mapping_only_source_images_not_validated"
"H-2097","488.1","A_034_002_861_416_companion","+034-700+","single_longer_text","short_before_all_longer","002;416;861","Steatite|rectangular|rectangular|Period 3C/C|ETrench 11","H-925","1805.2","32","+700-033+","single_longer_text","short_after_all_longer","013;740;840","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class","area_section:ETrench 11->FTrench I;period_phase:Period 3C/C->Period 3C-1/Stratum IV;side_relation:short_before_all_longer->short_after_all_longer;order:700_last->700_first;long_token_set:002;416;861->013;740;840","H-930","1810.2","32","+700-032+","single_longer_text","short_after_all_longer","004;740;900","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class","area_section:ETrench 11->D-;period_phase:Period 3C/C->-/Stratum I;excavation_prefix:H2001->J;side_relation:short_before_all_longer->short_after_all_longer;order:700_last->700_first;long_token_set:002;416;861->004;740;900","strong_two_sibling_metadata_controls","metadata_control_mapping_only_source_images_not_validated"
"H-2096","665.1","A_034_002_861_416_companion","+700-034+","single_longer_text","short_before_all_longer","002;416;861","|rectangular||Period 3B/C/B/C|","H-924","1804.2","28","+700-033+","single_longer_text","short_after_all_longer","013;740;840","type;sides;site;shape;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","period_phase:Period 3B/C/B/C->-/-;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:002;416;861->013;740;840","H-930","1810.2","28","+700-032+","single_longer_text","short_after_all_longer","004;740;900","type;sides;site;shape;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","period_phase:Period 3B/C/B/C->-/Stratum I;excavation_prefix:H95->J;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:002;416;861->004;740;900","strong_two_sibling_metadata_controls","metadata_control_mapping_only_source_images_not_validated"
"H-2095","518.1","A_034_002_861_416_companion","+700-034+","single_longer_text","short_before_all_longer","002;416;861","|rectangular||Period 3B/B|EC","H-2125","425.1","27","+700-033+","single_longer_text","short_before_all_longer","067;143;740","type;sides;site;shape;symbol;h_bin;area_bin;aspect_bin;context_class;side_relation;order","area_section:EC->ETrench 54;period_phase:Period 3B/B->Period 3B/C/B/C;excavation_prefix:H90->H2000;v_bin:v_7_8p5->v_8p5_10;long_token_set:002;416;861->067;143;740","H-1309","257.2","25","+700-032+","single_longer_text","short_after_all_longer","060;156;176;741;920","type;sides;site;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;order","shape:rectangular->rectangular-round;area_section:EC->FTrench III;period_phase:Period 3B/B->Period 3B/C/Stratum VI;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:002;416;861->060;156;176;741;920","strong_032_control_only","metadata_control_mapping_only_source_images_not_validated"
"H-938","1818.2","A_034_direction_reversal","+034-700+","single_longer_text","short_after_all_longer","220;415;520","Steatite|rectangular|rectangular|Period 3C-1/Stratum IV|F-","H-925","1805.2","35","+700-033+","single_longer_text","short_after_all_longer","013;740;840","type;sides;site;material;shape;cross_section;symbol;period_phase;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation","area_section:F-->FTrench I;order:700_last->700_first;long_token_set:220;415;520->013;740;840","H-930","1810.2","34","+700-032+","single_longer_text","short_after_all_longer","004;740;900","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation","area_section:F-->D-;period_phase:Period 3C-1/Stratum IV->-/Stratum I;order:700_last->700_first;long_token_set:220;415;520->004;740;900","strong_two_sibling_metadata_controls","metadata_control_mapping_only_source_images_not_validated"
"H-892","1774.2","A_034_direction_reversal","+034-700+","single_longer_text","short_after_all_longer","176;336;400;740","Steatite|rectangular|rectangular|Period 3B/C/Stratum V|FTrench I","H-1308","1058.2","34","+700-033+","single_longer_text","short_after_all_longer","240;636;690;740","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation","area_section:FTrench I->D-;period_phase:Period 3B/C/Stratum V->-/Stratum III;order:700_last->700_first;long_token_set:176;336;400;740->240;636;690;740","H-321","1343.2","32","+032-700+","single_longer_text","short_after_all_longer","240;630;690;740","type;sides;site;material;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation;order","shape:rectangular->rectangular-round;area_section:FTrench I->D-;period_phase:Period 3B/C/Stratum V->-/Stratum II;long_token_set:176;336;400;740->240;630;690;740","strong_two_sibling_metadata_controls","metadata_control_mapping_only_source_images_not_validated"
"H-945","1825.2","A_034_direction_reversal","+034-700+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","Steatite|rectangular|rectangular|Period 3B/C/Stratum VI|FTrench I","H-928","1808.1","35","+700-033+","all_short_or_no_longer_text","no_longer_text","NO_LONGER_TEXT","type;sides;site;material;shape;cross_section;symbol;area_section;period_phase;v_bin;area_bin;aspect_bin;context_class;side_relation;long_token_set","h_bin:h_13_16->h_10_13;order:700_last->700_first","H-1313","4081.2","31","+700-032+","single_short_no_longer_text","no_longer_text","NO_LONGER_TEXT","type;sides;site;material;cross_section;symbol;area_section;h_bin;v_bin;area_bin;aspect_bin;side_relation;long_token_set","shape:rectangular->elliptical;period_phase:Period 3B/C/Stratum VI->Period 3B/C/Stratum V;context_class:all_short_or_no_longer_text->single_short_no_longer_text;order:700_last->700_first","strong_two_sibling_metadata_controls","metadata_control_mapping_only_source_images_not_validated"
"H-1877","396.1","A_034_direction_reversal","+034-700+","single_longer_text","short_before_all_longer","400;516;775","Faience|rectangular|rectangular|Period 3B/C/B/C|ETrench 54","H-1872","751.1","34","+700-033+","single_longer_text","short_before_all_longer","220;236;400","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation","area_section:ETrench 54->FTrench 37;period_phase:Period 3B/C/B/C->Period 3C/C;excavation_prefix:H2000->H96;order:700_last->700_first;long_token_set:400;516;775->220;236;400","H-212","1243.2","32","+032-700+","single_longer_text","short_after_all_longer","118;156;400","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;context_class;order","area_section:ETrench 54->FTrench I;period_phase:Period 3B/C/B/C->Period 3B/C/Stratum V;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:400;516;775->118;156;400","strong_two_sibling_metadata_controls","metadata_control_mapping_only_source_images_not_validated"
"H-1880","831.1","A_034_direction_reversal","+034-700+","single_longer_text","short_before_all_longer","033;520","Faience|rectangular|rectangular|Period 3B/B|ETrench 11","H-1872","751.1","34","+700-033+","single_longer_text","short_before_all_longer","220;236;400","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;aspect_bin;context_class;side_relation","area_section:ETrench 11->FTrench 37;period_phase:Period 3B/B->Period 3C/C;excavation_prefix:H97->H96;order:700_last->700_first;long_token_set:033;520->220;236;400","H-212","1243.2","32","+032-700+","single_longer_text","short_after_all_longer","118;156;400","type;sides;site;material;shape;cross_section;symbol;h_bin;v_bin;area_bin;context_class;order","area_section:ETrench 11->FTrench I;period_phase:Period 3B/B->Period 3B/C/Stratum V;aspect_bin:aspect_1p5_1p9->aspect_ge_1p9;side_relation:short_before_all_longer->short_after_all_longer;long_token_set:033;520->118;156;400","strong_two_sibling_metadata_controls","metadata_control_mapping_only_source_images_not_validated"
