scope,frame_kind,site,type,symbol,rows,terminal_rows,continuing_rows,terminal_rate,continuation_classes,next1_counts,sites,types,symbols,example_cisi
after_032_site_type_symbol,,Mohenjo-daro,SEAL:S,Bull1:W,8,5,3,5/8,terminal:5;multi_token_continuation:1;one_token_continuation:1;continues_with_later_032:1,<END>:5;001:1;820:1;350:1,Mohenjo-daro,SEAL:S,Bull1:W,M-1737;M-1677;M-1763;M-1686;M-1728;M-1667;M-21;M-49
after_032_site_type_symbol,,Chanhu-daro,SEAL:S,Bull1:W,2,2,0,2/2,terminal:2,<END>:2,Chanhu-daro,SEAL:S,Bull1:W,C-60;C-10
after_032_site_type_symbol,,Harappa,SEAL:S,Bull1:W,2,1,1,1/2,one_token_continuation:1;terminal:1,921:1;<END>:1,Harappa,SEAL:S,Bull1:W,H-1657;H-444
after_032_site_type_symbol,,Mohenjo-daro,SEAL:R,None,2,1,1,1/2,terminal:1;one_token_continuation:1,<END>:1;285:1,Mohenjo-daro,SEAL:R,None,M-375;M-1358
after_032_site_type_symbol,,Mohenjo-daro,SEAL:S,Bull1,2,2,0,2/2,terminal:2,<END>:2,Mohenjo-daro,SEAL:S,Bull1,M-722;M-723
after_032_site_type_symbol,,Mohenjo-daro,SEAL:S,Bull1:J,2,1,1,1/2,terminal:1;one_token_continuation:1,<END>:1;840:1,Mohenjo-daro,SEAL:S,Bull1:J,M-130;M-143
after_032_site_type_symbol,,Mohenjo-daro,SEAL:S,Bull1:S,2,0,2,0/2,multi_token_continuation:2,906:1;255:1,Mohenjo-daro,SEAL:S,Bull1:S,M-36;M-91
after_032_site_type_symbol,,Mohenjo-daro,SEAL:S,Bull1:T,2,1,1,1/2,one_token_continuation:1;terminal:1,692:1;<END>:1,Mohenjo-daro,SEAL:S,Bull1:T,M-70;M-174
after_032_site_type_symbol,,Desalpur,TAG,None,1,0,1,0/1,one_token_continuation:1,740:1,Desalpur,TAG,None,Dlp-3
after_032_site_type_symbol,,Harappa,SEAL:R,None,1,1,0,1/1,terminal:1,<END>:1,Harappa,SEAL:R,None,H-140
after_032_site_type_symbol,,Harappa,SEAL:S,Bull1:J,1,1,0,1/1,terminal:1,<END>:1,Harappa,SEAL:S,Bull1:J,H-597
after_032_site_type_symbol,,Kalibangan,SEAL:S,Bull1:J,1,1,0,1/1,terminal:1,<END>:1,Kalibangan,SEAL:S,Bull1:J,K-145
after_032_site_type_symbol,,Mohenjo-daro,SEAL:S,Bull,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull,M-1044
after_032_site_type_symbol,,Mohenjo-daro,SEAL:S,Bull1:I,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,SEAL:S,Bull1:I,M-221
after_032_site_type_symbol,,Mohenjo-daro,SEAL:S,Elep,1,0,1,0/1,one_token_continuation:1,032:1,Mohenjo-daro,SEAL:S,Elep,M-1159
after_032_site_type_symbol,,Mohenjo-daro,SEAL:S,Gaur,1,0,1,0/1,one_token_continuation:1,603:1,Mohenjo-daro,SEAL:S,Gaur,M-240
after_032_site_type_symbol,,Mohenjo-daro,TAG:P,Bull1,1,1,0,1/1,terminal:1,<END>:1,Mohenjo-daro,TAG:P,Bull1,M-1385
after_032_site_type_symbol,,Unknown,SEAL:S,Bull1:J,1,0,1,0/1,continues_with_later_032:1,590:1,Unknown,SEAL:S,Bull1:J,-
after_032_frame_site_type,non240_a_220_032,Mohenjo-daro,SEAL:S,,11,7,4,7/11,terminal:7;one_token_continuation:2;multi_token_continuation:2,<END>:7;820:1;906:1;255:1;032:1,Mohenjo-daro,SEAL:S,Bull;Bull1;Bull1:I;Bull1:J;Bull1:S;Bull1:T;Bull1:W;Elep,M-1763;M-1686;M-1667;M-36;M-91;M-130;M-174;M-221;M-723;M-1044;M-1159
after_032_frame_site_type,outside_032,Mohenjo-daro,SEAL:S,,5,2,3,2/5,terminal:2;one_token_continuation:2;multi_token_continuation:1,<END>:2;001:1;692:1;840:1,Mohenjo-daro,SEAL:S,Bull1:J;Bull1:T;Bull1:W,M-1737;M-1677;M-21;M-70;M-143
