"design","control","iterations","observed_median","null_mean","null_p05","null_median","null_p95","null_max","paired_null_ge_observed_share"
"mohenjo_harappa_balanced","global_token_shuffle","1000","0.803571","0.437621","0.361607","0.4375","0.508929","0.611607","0"
"mohenjo_harappa_balanced","row_internal_shuffle","1000","0.803571","0.438277","0.366071","0.4375","0.504464","0.580357","0"
"mohenjo_harappa_balanced","position_slot_shuffle","1000","0.803571","0.740616","0.696429","0.741071","0.78125","0.816964","0.002"
"mohenjo_harappa_balanced","edge_frame_shuffle","1000","0.803571","0.73379","0.691964","0.732143","0.776786","0.808036","0.001"
"mohenjo_harappa_balanced","site_position_shuffle","1000","0.803571","0.739964","0.696429","0.741071","0.78125","0.808036","0.003"
"mohenjo_harappa_balanced","site_edge_interior_shuffle","1000","0.803571","0.728031","0.6875","0.727679","0.767857","0.799107","0"
"mohenjo_harappa_lothal_balanced","global_token_shuffle","1000","0.541667","0.319021","0.166667","0.3125","0.479167","0.604167","0.035"
"mohenjo_harappa_lothal_balanced","row_internal_shuffle","1000","0.541667","0.317854","0.166667","0.3125","0.479167","0.625","0.037"
"mohenjo_harappa_lothal_balanced","position_slot_shuffle","1000","0.541667","0.520875","0.395833","0.520833","0.645833","0.75","0.436"
"mohenjo_harappa_lothal_balanced","edge_frame_shuffle","1000","0.541667","0.506938","0.375","0.5","0.625","0.729167","0.318"
"mohenjo_harappa_lothal_balanced","site_position_shuffle","1000","0.541667","0.531521","0.395833","0.541667","0.666667","0.75","0.528"
"mohenjo_harappa_lothal_balanced","site_edge_interior_shuffle","1000","0.541667","0.509146","0.375","0.520833","0.625","0.708333","0.347"
"top5_sites_balanced","global_token_shuffle","1000","0.433333","0.2735","0.1","0.266667","0.466667","0.633333","0.191"
"top5_sites_balanced","row_internal_shuffle","1000","0.433333","0.278067","0.1","0.266667","0.466667","0.666667","0.182"
"top5_sites_balanced","position_slot_shuffle","1000","0.433333","0.405667","0.266667","0.4","0.566667","0.7","0.505"
"top5_sites_balanced","edge_frame_shuffle","1000","0.433333","0.3776","0.233333","0.366667","0.533333","0.666667","0.351"
"top5_sites_balanced","site_position_shuffle","1000","0.433333","0.4141","0.266667","0.4","0.566667","0.733333","0.616"
"top5_sites_balanced","site_edge_interior_shuffle","1000","0.433333","0.3824","0.233333","0.366667","0.533333","0.7","0.392"
