id,cisi,site,type,symbol,shape,class,text_length,text,prefix_last1,prefix_last2,tail_after_002_861,tail_class,focus_last1,focus_last2
13.1,Ad-8,Allahdino,MISC,Elep,square,??,6,+740-440-503-002-861-000+,503,440 503,000,other_tail,false,false
18.1,-,Bakkar Buthi,POT:T:g,None,-,IM,6,+405-844-032-840-002-861+,840,032 840,<END>,bare,false,false
62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,square,??,7,+000-100-240-220-032-002-861+,032,220 032,<END>,bare,false,false
69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,square,SP,5,+740-176-032-002-861+,032,176 032,<END>,bare,false,false
76.1,C-74,Chanhu-daro,SEAL:S,Gaur,square,IM,3,+125-002-861+,125,125,<END>,bare,false,false
132.1,-,Dholavira,SEAL:S,Tigr,square,IT,4,+740-416-002-861+,416,740 416,<END>,bare,false,false
136.1,-,Dholavira,SEAL:R,None,rectangular,IM,4,+390-016-002-861+,016,390 016,<END>,bare,false,false
145.1,Dlv-1,Dholavira,SEAL:S,Bull1:J,square,SP,5,+151-382-031-002-861+,031,382 031,<END>,bare,false,false
259.1,H-1051,Harappa,SEAL:S,Bull1:I,square,LP,9,+400-740-575-017-920-320-798-002-861+,798,320 798,<END>,bare,true,false
284.1,H-1030,Harappa,SEAL:S,Bull1:W,square,IT,5,+090-740-103-002-861+,103,740 103,<END>,bare,false,false
303.1,H-1043,Harappa,SEAL:S,Bull1:W,square,SP,6,+151-760-220-003-002-861+,003,220 003,<END>,bare,false,false
409.2,H-1942,Harappa,TAB:B,Bult,prism,IM,4,+405-035-002-861+,035,405 035,<END>,bare,false,false
476.2,H-2094,Harappa,TAB:I,None,rectangular,SS,3,+002-861-416+,<START>,<START>,416,other_tail,false,false
488.2,H-2097,Harappa,TAB:I,None,rectangular,SS,3,+002-861-416+,<START>,<START>,416,other_tail,false,false
518.2,H-2095,Harappa,TAB:I,None,rectangular,SS,3,+002-861-416+,<START>,<START>,416,other_tail,false,false
537.1,H-1692,Harappa,SEAL:S,None,square,IT,5,+740-390-590-002-861+,590,390 590,<END>,bare,false,false
594.2,H-2022,Harappa,TAB:B,Phyt,prism,IT,5,+740-752-175-002-861+,175,752 175,<END>,bare,true,false
621.1,-,Harappa,TAB:I,None,rectangular,SS,3,+002-861-416+,<START>,<START>,416,other_tail,false,false
665.2,H-2096,Harappa,TAB:I,None,rectangular,SS,3,+002-861-416+,<START>,<START>,416,other_tail,false,false
729.2,H-2010,Harappa,TAB:B,Bull1,oval,SP,5,+740-482-240-002-861+,240,482 240,<END>,bare,false,false
771.2,H-1930,Harappa,TAB:B,Gavi,prism,SP,5,+408-817-920-002-861+,920,817 920,<END>,bare,false,false
789.1,H-1785,Harappa,TAB:B,Phyt,rectangular-rounded,IM,4,+407-004-002-861+,004,407 004,<END>,bare,false,false
805.1,H-1788,Harappa,TAB:B,None,rectangular,SP,5,+154-806-470-002-861+,470,806 470,<END>,bare,false,false
937.2,H-2011,Harappa,TAB:B,Bull1,elliptical,SP,5,+740-482-240-002-861+,240,482 240,<END>,bare,false,false
1004.1,H-1966,Harappa,TAB:B,Gaur,rectangular,SP,5,+520-233-049-002-861+,049,233 049,<END>,bare,false,false
1024.2,H-1851,Harappa,TAB:B,None,rectangular,SP,6,+740-803-892-031-002-861+,031,892 031,<END>,bare,false,false
1110.1,H-51,Harappa,SEAL:S,Bull1:W,square,SP,5,+740-643-240-002-861+,240,643 240,<END>,bare,false,false
1114.1,H-55,Harappa,SEAL:S,Bull1:X,square,IM,5,+390-004-002-861-125+,004,390 004,125,other_tail,false,false
1170.1,H-129,Harappa,SEAL:R,None,cuboid-convex,LP,10,+409-061-740-235-220-031-002-861-244-165+,031,220 031,244 165,other_tail,false,false
1175.1,H-134,Harappa,SEAL:R,None,cuboid-convex,LP,7,+740-405-590-220-003-002-861+,003,220 003,<END>,bare,false,false
1176.1,H-135,Harappa,SEAL:R,None,cuboid-convex,LP,6,+740-773-231-806-002-861+,806,231 806,<END>,bare,false,false
1414.1,H-410,Harappa,SEAL:S,Bull1:L,square,SC,5,+368-840-830-002-861+,830,840 830,<END>,bare,false,false
1434.1,H-444,Harappa,SEAL:S,Bull1:W,square,SP,5,+241-220-032-002-861+,032,220 032,<END>,bare,false,false
1436.1,H-446,Harappa,SEAL:S,Bull1:J,square,SP,6,+740-585-798-002-861-216+,798,585 798,216,other_tail,true,false
1540.1,H-597,Harappa,SEAL:S,Bull1:J,square,LP,7,+740-390-590-070-032-002-861+,032,070 032,<END>,bare,false,false
1594.1,H-688,Harappa,SEAL,None,-,SP,6,+520-233-002-861-831-165+,233,520 233,831 165,other_tail,false,false
1622.1,H-719,Harappa,TAB:B,Phyt,rectangular,IM,4,+405-004-002-861+,004,405 004,<END>,bare,false,false
1695.1,H-806,Harappa,TAB:B,None,twisted rectangular-rounded,SP,5,+740-482-240-002-861+,240,482 240,<END>,bare,false,false
1696.1,H-807,Harappa,TAB:B,None,twisted rectangular-rounded,SP,5,+740-482-240-002-861+,240,482 240,<END>,bare,false,false
1697.1,H-808,Harappa,TAB:B,None,twisted rectangular-rounded,SP,5,+740-482-240-002-861+,240,482 240,<END>,bare,false,false
1792.1,H-910,Harappa,TAB:I,None,rectangular,SS,3,+002-861-416+,<START>,<START>,416,other_tail,false,false
1906.1,K-33,Kalibangan,SEAL:S,Buff,square,IT,3,+226-002-861+,226,226,<END>,bare,false,false
1908.1,K-40,Kalibangan,SEAL:S,Elep,square,LC,7,+760-031-002-861-791-440-717+,031,760 031,791 440 717,other_tail,false,false
1938.1,K-82,Kalibangan,TAG:L,Bull1,-,IM,4,+390-003-002-861+,003,390 003,<END>,bare,false,false
1940.1,K-85,Kalibangan,TAG:L,Elep,-,IT,4,+520-033-002-861+,033,520 033,<END>,bare,false,false
1943.1,K-88,Kalibangan,TAG:L,Bull1,-,??,5,+740-000-460-002-861+,460,000 460,<END>,bare,false,false
2012.1,L-39,Lothal,SEAL:S,Bull1,square,SC,5,+520-315-002-861-626+,315,520 315,626,other_tail,false,false
2017.1,L-46,Lothal,SEAL:S,Gaur,square,LC,8,+527-388-233-740-176-002-861-392+,176,740 176,392,other_tail,true,false
2024.1,L-57,Lothal,SEAL:S,-,square,SC,3,+832-002-861+,832,832,<END>,bare,false,false
2043.1,L-89,Lothal,SEAL:R,None,cuboid-convex,SP,5,+527-555-235-002-861+,235,555 235,<END>,bare,true,false
2073.1,L-130,Lothal,TAG,Bull1,-,IT,3,+236-002-861+,236,236,<END>,bare,false,false
2074.1,L-131,Lothal,TAG,-,-,IT,3,+236-002-861+,236,236,<END>,bare,false,false
2165.2,M-2060,Mohenjo-daro,POT:T:g,None,-,IT,4,+740-176-002-861+,176,740 176,<END>,bare,true,false
2178.1,M-1696,Mohenjo-daro,SEAL:S,Bull1:II,square,LP,7,+520-033-705-220-415-002-861+,415,220 415,<END>,bare,false,false
2179.1,M-1880,Mohenjo-daro,SEAL:S,Gaur,square,IT,4,+151-176-002-861+,176,151 176,<END>,bare,true,false
2228.1,M-1697,Mohenjo-daro,SEAL:S,Bull1:W,square,IM,4,+390-003-002-861+,003,390 003,<END>,bare,false,false
2240.1,M-1674,Mohenjo-daro,SEAL:S,Bull1:J,square,LP,7,+090-740-222-231-002-861-683+,231,222 231,683,other_tail,false,false
2251.1,M-1704,Mohenjo-daro,SEAL:S,Bull1:W,square,IT,5,+740-760-605-002-861+,605,760 605,<END>,bare,false,false
2256.1,M-1753,Mohenjo-daro,SEAL:S,Bull1:L,square,SP,6,+740-760-519-240-002-861+,240,519 240,<END>,bare,false,false
2276.1,M-1726,Mohenjo-daro,SEAL:S,Bull1:W,square,SP,6,+740-615-495-240-002-861+,240,495 240,<END>,bare,false,false
2277.1,M-1990,Mohenjo-daro,SEAL,None,rectangular,LP,7,+740-760-440-240-220-002-861+,220,240 220,<END>,bare,false,false
2313.1,M-1763,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,8,+416-001-565-740-220-032-002-861+,032,220 032,<END>,bare,false,false
2318.1,M-2089,Mohenjo-daro,ROD,None,-,SC,3,+002-861-096+,<START>,<START>,096,other_tail,false,false
2323.1,M-1755,Mohenjo-daro,SEAL:S,Bull1:L,square,IT,4,+740-176-002-861+,176,740 176,<END>,bare,true,false
2342.1,M-1661,Mohenjo-daro,SEAL:S,Bull1:W,square,LP,9,+520-070-219-002-861-032-520-919-140+,219,070 219,032 520 919 140,other_tail,false,false
2350.1,M-1899,Mohenjo-daro,SEAL:S,Zebu,square,IC,4,+924-132-002-861+,132,924 132,<END>,bare,false,false
