pool,rows,occurrences,target_occurrences,target_initial,target_initial_share,fisher_p,bonferroni_p,all_sign_rank,maxstat_fpr
tablet_account_rows_only,765,2668,190,178,0.9368421052631579,2.7584008400369705e-87,8.44070657051313e-85,1/306,0
tablet_account_complete_only,448,1664,136,129,0.9485294117647058,1.8086041440222054e-70,4.955575354620843e-68,1/274,0
tablet_account_non_poor_only,329,1257,103,96,0.9320388349514563,4.45523211833246e-52,1.0737109405181228e-49,1/241,0
tablet_account_without_harappa,122,487,18,15,0.8333333333333334,1.9390721771854203e-7,0.000026565288827440257,1/137,0
