checked_date,prev_before_002,cases,top_head_after_002,top_head_x_after_002,count_390_125,count_390_095,count_390_705,count_235_390_405_tail_has_125,model_implication,examples
2026-05-31,240,83,405:29;861:16;817:10;820:5;000:3;031:2;617:2;900:2;220:1;244:1,405-501:29;861-<END>:15;817-<END>:9;820-<END>:5;000-<END>:3;031-000:2;900-003:2;220-000:1;244-632:1;269-892:1,0,0,0,0,background_left_qualifier,C-78:817:SEAL:S:Chanhu-daro | -:817:TAB:B:Harappa | H-2010:861:TAB:B:Harappa | H-1670:824:SEAL:S:Harappa | H-2011:861:TAB:B:Harappa | H-31:365-374-000:SEAL:S:Harappa | H-51:861:SEAL:S:Harappa | H-231:820:TAB:B:Harappa | H-252:405-501:TAB:B:Harappa | H-253:405-501:TAB:B:Harappa | H-254:405-501:TAB:B:Harappa | H-255:405-501:TAB:B:Harappa
2026-05-31,<START>,64,861:16;<END>:12;817:10;000:6;820:3;368:2;002:1;003:1;004:1;031:1,<END>-<END>:12;817-<END>:9;861-416:6;861-<END>:5;000-<END>:4;861-096:2;861-698:2;000-090:1;000-861:1;002-<END>:1,0,0,0,0,background_left_qualifier,B-5:817:SEAL:S:Banawali | B-7:817:SEAL:S:Banawali | B-15:817:SEAL:S:Banawali | H-1421:861:POT:T:g:Harappa | -::POT:T:g:Harappa | -::POT:T:g:Harappa | -::POT:T:g:Harappa | -::POT:T:g:Harappa | -::POT:T:g:Harappa | H-1874:220-455-000:TAB:B:Harappa | H-1882:820:TAB:B:Harappa | H-2094:861-416:TAB:I:Harappa
2026-05-31,032,51,820:11;861:11;817:9;000:4;390:2;<END>:1;142:1;144:1;168:1;252:1,817-<END>:9;820-<END>:9;861-<END>:9;000-<END>:3;<END>-<END>:1;000-216:1;142-<END>:1;144-<END>:1;168-032:1;252-840:1,0,0,0,0,hinge_qualifier_candidate: can feed 390-692 and 390-590 bridge but mostly feeds closure heads,C-65:861:SEAL:S:Chanhu-daro | C-60:861:SEAL:S:Chanhu-daro | C-10:817:SEAL:S:Chanhu-daro | Dlp-3:892-740:TAG:Desalpur | H-1681:820:SEAL:S:Harappa | H-1657:690-921:SEAL:S:Harappa | H-18:820:SEAL:S:Harappa | H-140:817:SEAL:R:Harappa | H-444:861:SEAL:S:Harappa | H-507:820:SEAL:S:Harappa | H-597:861:SEAL:S:Harappa | H-597:861:SEAL:S:Harappa
2026-05-31,000,47,820:12;000:11;817:5;861:5;<END>:3;257:1;285:1;455:1;520:1;575:1,820-<END>:12;000-<END>:9;817-<END>:5;861-<END>:4;<END>-<END>:3;000-000:1;000-350:1;257-550:1;285-<END>:1;455-692:1,0,0,0,0,background_left_qualifier,B-18:861:SEAL:S:Banawali | C-85:820:SEAL:R:Chanhu-daro | Dlv-2:817:SEAL:R:Dholavira | -:257-550:SEAL:S:Baror | -:575-000:POT:T:g:Harappa | H-15:817:SEAL:S:Harappa | H-41:690:SEAL:S:Harappa | H-100:000:SEAL:S:Harappa | H-653:820:SEAL:R:Harappa | K-54:870:SEAL:S:Kalibangan | K-87:861:TAG:L:Kalibangan | K-89:000:TAG:L:Kalibangan
2026-05-31,235,40,861:12;817:9;031:2;390:2;820:2;<END>:1;065:1;112:1;220:1;285:1,861-<END>:11;817-<END>:9;031-480:2;390-125:2;820-<END>:2;<END>-<END>:1;065-834:1;112-<END>:1;220-065:1;285-<END>:1,2,0,0,3,promoted_left_qualifier_rule_only_for_390_405: 235 before 002 selects 125 under P086-family heads but not under closure heads,C-53:861:SEAL:S:Chanhu-daro | C-58:861:SEAL:S:Chanhu-daro | H-1050:817:SEAL:S:Harappa | H-12:817:SEAL:S:Harappa | H-42:817:SEAL:S:Harappa | H-389:031-480-625:SEAL:S:Harappa | H-426:460-511:SEAL:S:Harappa | H-478:817:SEAL:S:Harappa | H-639:717-747:SEAL:R:Harappa | Lh-1:392-590-125:SEAL:S:Lohumjo-daro | L-89:861:SEAL:R:Lothal | L-191:861:TAG:Lothal
2026-05-31,803,34,820:8;861:6;817:4;000:2;220:2;840:2;850:2;031:1;301:1;320:1,820-<END>:7;861-<END>:5;817-<END>:4;000-<END>:2;220-455:2;840-016:2;031-892:1;301-190:1;320-705:1;368-518:1,0,0,0,0,background_left_qualifier,C-67:817:SEAL:S:Chanhu-daro | C-4:817:SEAL:S:Chanhu-daro | -:861:SEAL:S:Dholavira | H-44:031-892:SEAL:S:Harappa | H-268:220-455-920:SEAL:S:Harappa | H-445:000:SEAL:S:Harappa | H-501:817:SEAL:S:Harappa | H-574:820:SEAL:Harappa | H-773:390-530-741:TAB:B:Harappa | L-205:000:TAG:Lothal | M-656:861:SEAL:S:Mohenjo-daro | M-1668:320-705-125:SEAL:S:Mohenjo-daro
2026-05-31,003,30,861:7;820:6;000:3;817:3;031:1;111:1;125:1;156:1;293:1;297:1,861-<END>:7;820-<END>:6;817-<END>:3;000-<END>:2;000-215:1;031-575:1;111-165:1;125-350:1;156-920:1;293-360:1,0,0,0,0,background_left_qualifier,Blk-1:297-350-125-413:SEAL:S:Bala-kot | C-66:817:SEAL:S:Chanhu-daro | H-1043:861:SEAL:S:Harappa | H-1706:293-360:SEAL:R:Harappa | H-1680:820:SEAL:S:Harappa | H-60:820:SEAL:S:Harappa | H-68:390-072:SEAL:S:Harappa | H-134:861:SEAL:R:Harappa | H-407:817:SEAL:S:Harappa | H-457:416:SEAL:S:Harappa | H-468:940-705:SEAL:S:Harappa | K-12:820:SEAL:S:Kalibangan
2026-05-31,233,23,817:8;861:4;000:1;111:1;112:1;220:1;291:1;368:1;413:1;575:1,817-<END>:7;861-<END>:3;000-<END>:1;111-700:1;112-<END>:1;220-880:1;291-690:1;368-202:1;413-368:1;575-031:1,0,0,0,0,background_left_qualifier,H-137:817:SEAL:R:Harappa | H-484:817:SEAL:S:Harappa | H-688:861-831-165:SEAL:Harappa | Jk-2:817:SEAL:S:Jhukar | L-1:812-095:SEAL:S:Lothal | L-4:575-031:SEAL:S:Lothal | L-41:817:SEAL:S:Lothal | M-1662:817-192-000:SEAL:S:Mohenjo-daro | M-12:368-202-892-371:SEAL:S:Mohenjo-daro | M-33:112:SEAL:S:Mohenjo-daro | M-79:861:SEAL:S:Mohenjo-daro | M-107:940-260:SEAL:S:Mohenjo-daro
2026-05-31,004,22,817:7;861:5;365:2;390:2;820:2;031:1;278:1;705:1;933:1,817-<END>:6;861-<END>:4;365-460:2;820-<END>:2;031-376:1;278-595:1;390-095:1;390-125:1;705-127:1;817-000:1,1,1,0,0,neutral_qualifier_candidate: same left sign permits 390-095 and 390-125,H-2003:817:TAB:B:Harappa | H-1993:390-095:TAB:B:Harappa | H-1785:861:TAB:B:Harappa | -:817:SEAL:S:Dholavira | H-55:861-125:SEAL:S:Harappa | H-719:861:TAB:B:Harappa | M-1844:817:SEAL:S:Mohenjo-daro | M-1750:861:SEAL:S:Mohenjo-daro | M-984:817:SEAL:S:Mohenjo-daro | M-75:817:SEAL:S:Mohenjo-daro | M-103:820:SEAL:S:Mohenjo-daro | M-278:817:SEAL:S:Mohenjo-daro
2026-05-31,031,22,861:8;817:5;820:2;000:1;031:1;069:1;226:1;315:1;390:1;900:1,861-<END>:6;817-<END>:5;000-<END>:1;031-892:1;069-<END>:1;226-231:1;315-850:1;390-705:1;820-<END>:1;820-741:1,0,0,1,0,705_steering_not_promoted: 031/388 before 002 mostly target closure heads; 390-705 remains head-conditioned not left-qualifier-conditioned,C-18:817:SEAL:S:Chanhu-daro | -:817:TAB:B:Dholavira | Dlv-1:861:SEAL:S:Dholavira | H-1851:861:TAB:B:Harappa | H-129:861-244-165:SEAL:R:Harappa | H-177:817:TAB:B:Harappa | H-651:861:SEAL:R:Harappa | K-40:861-791-440-717:SEAL:S:Kalibangan | L-18:820:SEAL:S:Lothal | M-1832:000:SEAL:S:Mohenjo-daro | M-1745:031-892:SEAL:S:Mohenjo-daro | M-1883:069:SEAL:S:Mohenjo-daro
