"metric","nonzero_clean_source_rows","nonzero_exact_sequence_families","bin","source_rows","families","definition"
"horizontal_bin","2673","1682","h_000_015","447","142","0 < horizontal(mm) <= 15"
"horizontal_bin","2673","1682","h_015_025","1069","671","15 < horizontal(mm) <= 25"
"horizontal_bin","2673","1682","h_025_035","823","617","25 < horizontal(mm) <= 35"
"horizontal_bin","2673","1682","h_gt_035","334","252","horizontal(mm) > 35"
"vertical_bin","2523","1609","v_000_010","837","305","0 < vertical(mm) <= 10"
"vertical_bin","2523","1609","v_010_020","661","462","10 < vertical(mm) <= 20"
"vertical_bin","2523","1609","v_020_030","737","573","20 < vertical(mm) <= 30"
"vertical_bin","2523","1609","v_gt_030","288","269","vertical(mm) > 30"
"thickness_bin","1061","844","th_000_003","175","110","0 < thickness(mm) <= 3"
"thickness_bin","1061","844","th_003_007","424","317","3 < thickness(mm) <= 7"
"thickness_bin","1061","844","th_007_012","407","368","7 < thickness(mm) <= 12"
"thickness_bin","1061","844","th_gt_012","55","49","thickness(mm) > 12"
"area_bin","2489","1600","area_0000_0200","849","315","0 < horizontal(mm) * vertical(mm) <= 200"
"area_bin","2489","1600","area_0200_0500","652","469","200 < horizontal(mm) * vertical(mm) <= 500"
"area_bin","2489","1600","area_0500_1000","750","598","500 < horizontal(mm) * vertical(mm) <= 1000"
"area_bin","2489","1600","area_gt_1000","238","218","horizontal(mm) * vertical(mm) > 1000"
"aspect_bin","2489","1600","aspect_tall","13","5","horizontal(mm) / vertical(mm) <= 0.8"
"aspect_bin","2489","1600","aspect_squareish","1114","986","0.8 < horizontal(mm) / vertical(mm) <= 1.25"
"aspect_bin","2489","1600","aspect_wide","772","272","1.25 < horizontal(mm) / vertical(mm) <= 2"
"aspect_bin","2489","1600","aspect_very_wide","590","337","horizontal(mm) / vertical(mm) > 2"
