prev_before_002,rows,branches,terminal_classes,strict_objects,top_tier,top_tier_objects,branch_tail_source,gate
003,1,072,terminal,,metadata_or_blocked,H-68,072-><END>:terminal:H-68:metadata_or_blocked,singleton_prev_no_matched_branch_test
004,2,095 125,continuing terminal,,public_panel_downweighted,Sktd-1,095-><END>:terminal:H-1993:route_or_metadata_pressure; 125->820:continuing:Sktd-1:public_panel_downweighted,matched_prev_split_non_strict_only
031,1,705,terminal,,route_or_metadata_pressure,M-1825,705-><END>:terminal:M-1825:route_or_metadata_pressure,singleton_prev_no_matched_branch_test
032,2,590 692,continuing terminal,M-70,strict_visible,M-70,692-><END>:terminal:M-70:strict_visible; 590->032:continuing:-:3335.1:metadata_or_blocked,matched_prev_split_partly_strict_blocked
061,1,140,terminal,,metadata_or_blocked,M-708,140-><END>:terminal:M-708:metadata_or_blocked,singleton_prev_no_matched_branch_test
142,1,095,terminal,M-71,strict_visible,M-71,095-><END>:terminal:M-71:strict_visible,singleton_prev_no_matched_branch_test
235,2,125,continuing,M-735,strict_visible,M-735,125->632 032:continuing:M-38:metadata_or_blocked; 125->195:continuing:M-735:strict_visible,same_prev_same_branch_tail_split
236,1,707,terminal,,metadata_or_blocked,M-232,707-><END>:terminal:M-232:metadata_or_blocked,singleton_prev_no_matched_branch_test
384,1,346,terminal,,metadata_or_blocked,M-213,346-><END>:terminal:M-213:metadata_or_blocked,singleton_prev_no_matched_branch_test
388,1,705,terminal,,route_or_metadata_pressure,-:4237.1,705-><END>:terminal:-:4237.1:route_or_metadata_pressure,singleton_prev_no_matched_branch_test
484,1,125,continuing,M-119,strict_visible,M-119,125->632 032 900 563:continuing:M-119:strict_visible,singleton_prev_no_matched_branch_test
803,1,530,continuing,,panel_bound_not_strict,H-773,530->741:continuing:H-773:panel_bound_not_strict,singleton_prev_no_matched_branch_test
