"dataset","scope","outcome","a220_yes","a220_total","a220_rate","outside_yes","outside_total","outside_rate","odds_ratio"
"strict_occurrence","minus Harappa|TAB:B","next1_is_002","24","57","0.4211","18","356","0.0506","13.6566"
"strict_occurrence","minus Harappa|TAB:B","core_002_861_820_817","16","57","0.2807","10","356","0.0281","13.5024"
"strict_occurrence","minus Harappa|TAB:B","core_terminal_tail","14","57","0.2456","8","356","0.0225","14.1628"
"strict_occurrence","minus Mohenjo-daro|SEAL:S","next1_is_002","6","28","0.2143","12","387","0.031","8.5227"
"strict_occurrence","minus Mohenjo-daro|SEAL:S","core_002_861_820_817","5","28","0.1786","6","387","0.0155","13.8043"
"strict_occurrence","minus Mohenjo-daro|SEAL:S","core_terminal_tail","5","28","0.1786","6","387","0.0155","13.8043"
"strict_occurrence","minus Harappa|TAB:I","next1_is_002","24","56","0.4286","18","370","0.0486","14.6667"
"strict_occurrence","minus Harappa|TAB:I","core_002_861_820_817","16","56","0.2857","10","370","0.027","14.4"
"strict_occurrence","minus Harappa|TAB:I","core_terminal_tail","14","56","0.25","8","370","0.0216","15.0833"
"strict_occurrence","minus Harappa|POT:T:g","next1_is_002","24","57","0.4211","18","411","0.0438","15.8788"
"strict_occurrence","minus Harappa|POT:T:g","core_002_861_820_817","16","57","0.2807","10","411","0.0243","15.6488"
"strict_occurrence","minus Harappa|POT:T:g","core_terminal_tail","14","57","0.2456","8","411","0.0195","16.4012"
"strict_occurrence","minus Harappa|SEAL:S","next1_is_002","22","50","0.44","15","436","0.0344","22.0524"
"strict_occurrence","minus Harappa|SEAL:S","core_002_861_820_817","15","50","0.3","8","436","0.0183","22.9286"
"strict_occurrence","minus Harappa|SEAL:S","core_terminal_tail","13","50","0.26","6","436","0.0138","25.1802"
"strict_occurrence","minus Mohenjo-daro|TAB:C","next1_is_002","24","54","0.4444","18","435","0.0414","18.5333"
"strict_occurrence","minus Mohenjo-daro|TAB:C","core_002_861_820_817","16","54","0.2963","10","435","0.023","17.8947"
"strict_occurrence","minus Mohenjo-daro|TAB:C","core_terminal_tail","14","54","0.2593","8","435","0.0184","18.6812"
"strict_occurrence","minus Mohenjo-daro|SEAL:R","next1_is_002","23","51","0.451","16","443","0.0361","21.9219"
"strict_occurrence","minus Mohenjo-daro|SEAL:R","core_002_861_820_817","15","51","0.2941","10","443","0.0226","18.0417"
"strict_occurrence","minus Mohenjo-daro|SEAL:R","core_terminal_tail","13","51","0.2549","8","443","0.0181","18.602"
"strict_occurrence","minus Chanhu-daro|SEAL:S","next1_is_002","22","55","0.4","17","441","0.0385","16.6275"
"strict_occurrence","minus Chanhu-daro|SEAL:S","core_002_861_820_817","14","55","0.2545","9","441","0.0204","16.3902"
"strict_occurrence","minus Chanhu-daro|SEAL:S","core_terminal_tail","12","55","0.2182","7","441","0.0159","17.3023"
"strict_occurrence","minus Mohenjo-daro|TAB:B","next1_is_002","24","57","0.4211","18","449","0.0401","17.4141"
"strict_occurrence","minus Mohenjo-daro|TAB:B","core_002_861_820_817","16","57","0.2807","10","449","0.0223","17.1317"
"strict_occurrence","minus Mohenjo-daro|TAB:B","core_terminal_tail","14","57","0.2456","8","449","0.0178","17.9477"
"strict_occurrence","minus Dholavira|TAG","next1_is_002","24","57","0.4211","18","450","0.04","17.4545"
"strict_occurrence","minus Dholavira|TAG","core_002_861_820_817","16","57","0.2807","10","450","0.0222","17.1707"
"strict_occurrence","minus Dholavira|TAG","core_terminal_tail","14","57","0.2456","8","450","0.0178","17.9884"
"strict_occurrence","minus Harappa|SEAL:R","next1_is_002","24","56","0.4286","17","451","0.0377","19.1471"
"strict_occurrence","minus Harappa|SEAL:R","core_002_861_820_817","16","56","0.2857","9","451","0.02","19.6444"
"strict_occurrence","minus Harappa|SEAL:R","core_terminal_tail","14","56","0.25","7","451","0.0155","21.1429"
"strict_occurrence","minus Dholavira|SEAL:S","next1_is_002","24","57","0.4211","18","452","0.0398","17.5354"
"strict_occurrence","minus Dholavira|SEAL:S","core_002_861_820_817","16","57","0.2807","10","452","0.0221","17.2488"
"strict_occurrence","minus Dholavira|SEAL:S","core_terminal_tail","14","57","0.2456","8","452","0.0177","18.0698"
"strict_occurrence","minus Lothal|SEAL:S","next1_is_002","24","56","0.4286","17","453","0.0375","19.2353"
"strict_occurrence","minus Lothal|SEAL:S","core_002_861_820_817","16","56","0.2857","10","453","0.0221","17.72"
"strict_occurrence","minus Lothal|SEAL:S","core_terminal_tail","14","56","0.25","8","453","0.0177","18.5417"
"strict_occurrence","minus Kalibangan|POT:T:g","next1_is_002","24","57","0.4211","18","453","0.0397","17.5758"
"strict_occurrence","minus Kalibangan|POT:T:g","core_002_861_820_817","16","57","0.2807","10","453","0.0221","17.2878"
"strict_occurrence","minus Kalibangan|POT:T:g","core_terminal_tail","14","57","0.2456","8","453","0.0177","18.1105"
"strict_occurrence","minus Lothal|SEAL:R","next1_is_002","24","55","0.4364","18","455","0.0396","18.7957"
"strict_occurrence","minus Lothal|SEAL:R","core_002_861_820_817","16","55","0.2909","10","455","0.022","18.2564"
"strict_occurrence","minus Lothal|SEAL:R","core_terminal_tail","14","55","0.2545","8","455","0.0176","19.0793"
"strict_occurrence","minus Kalibangan|SEAL:S","next1_is_002","23","56","0.4107","18","455","0.0396","16.9209"
"strict_occurrence","minus Kalibangan|SEAL:S","core_002_861_820_817","15","56","0.2679","10","455","0.022","16.2805"
"strict_occurrence","minus Kalibangan|SEAL:S","core_terminal_tail","13","56","0.2321","8","455","0.0176","16.8924"
"strict_occurrence","minus Mohenjo-daro|BNGL","next1_is_002","24","57","0.4211","18","454","0.0396","17.6162"
"strict_occurrence","minus Mohenjo-daro|BNGL","core_002_861_820_817","16","57","0.2807","10","454","0.022","17.3268"
"strict_occurrence","minus Mohenjo-daro|BNGL","core_terminal_tail","14","57","0.2456","8","454","0.0176","18.1512"
"strict_occurrence","minus Mohenjo-daro|POT:T:g","next1_is_002","24","57","0.4211","18","454","0.0396","17.6162"
"strict_occurrence","minus Mohenjo-daro|POT:T:g","core_002_861_820_817","16","57","0.2807","10","454","0.022","17.3268"
"strict_occurrence","minus Mohenjo-daro|POT:T:g","core_terminal_tail","14","57","0.2456","8","454","0.0176","18.1512"
"strict_occurrence","minus Mohenjo-daro|ROD","next1_is_002","24","57","0.4211","18","454","0.0396","17.6162"
"strict_occurrence","minus Mohenjo-daro|ROD","core_002_861_820_817","16","57","0.2807","10","454","0.022","17.3268"
"strict_occurrence","minus Mohenjo-daro|ROD","core_terminal_tail","14","57","0.2456","8","454","0.0176","18.1512"
"strict_occurrence","minus Chanhu-daro|TAB:B","next1_is_002","24","57","0.4211","18","455","0.0396","17.6566"
"strict_occurrence","minus Chanhu-daro|TAB:B","core_002_861_820_817","16","57","0.2807","10","455","0.022","17.3659"
"strict_occurrence","minus Chanhu-daro|TAB:B","core_terminal_tail","14","57","0.2456","8","455","0.0176","18.1919"
"strict_occurrence","minus Mohenjo-daro|TAG:P","next1_is_002","24","57","0.4211","16","455","0.0352","19.9545"
"strict_occurrence","minus Mohenjo-daro|TAG:P","core_002_861_820_817","16","57","0.2807","8","455","0.0176","21.8049"
"strict_occurrence","minus Mohenjo-daro|TAG:P","core_terminal_tail","14","57","0.2456","6","455","0.0132","24.3643"
"strict_occurrence","minus Nausharo|POT:T:g","next1_is_002","24","57","0.4211","18","455","0.0396","17.6566"
"strict_occurrence","minus Nausharo|POT:T:g","core_002_861_820_817","16","57","0.2807","10","455","0.022","17.3659"
"strict_occurrence","minus Nausharo|POT:T:g","core_terminal_tail","14","57","0.2456","8","455","0.0176","18.1919"
"strict_occurrence","minus Rakhigarhi|TAG:W","next1_is_002","24","57","0.4211","18","455","0.0396","17.6566"
"strict_occurrence","minus Rakhigarhi|TAG:W","core_002_861_820_817","16","57","0.2807","10","455","0.022","17.3659"
"strict_occurrence","minus Rakhigarhi|TAG:W","core_terminal_tail","14","57","0.2456","8","455","0.0176","18.1919"
"strict_occurrence","minus Unknown|SEAL:S","next1_is_002","24","57","0.4211","17","455","0.0374","18.738"
"strict_occurrence","minus Unknown|SEAL:S","core_002_861_820_817","16","57","0.2807","10","455","0.022","17.3659"
"strict_occurrence","minus Unknown|SEAL:S","core_terminal_tail","14","57","0.2456","8","455","0.0176","18.1919"
"strict_occurrence","minus Bakkar Buthi|POT:T:g","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Bakkar Buthi|POT:T:g","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Bakkar Buthi|POT:T:g","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Desalpur|TAG","next1_is_002","24","57","0.4211","17","456","0.0373","18.7807"
"strict_occurrence","minus Desalpur|TAG","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Desalpur|TAG","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Dholavira|SEAL:R","next1_is_002","24","57","0.4211","18","456","0.0395","17.697"
"strict_occurrence","minus Dholavira|SEAL:R","core_002_861_820_817","16","57","0.2807","10","456","0.0219","17.4049"
"strict_occurrence","minus Dholavira|SEAL:R","core_terminal_tail","14","57","0.2456","8","456","0.0175","18.2326"
"strict_occurrence","minus Dholavira|TAB:I","next1_is_002","24","56","0.4286","18","457","0.0394","18.2917"
"strict_occurrence","minus Dholavira|TAB:I","core_002_861_820_817","16","56","0.2857","10","457","0.0219","17.88"
"strict_occurrence","minus Dholavira|TAB:I","core_terminal_tail","14","56","0.25","8","457","0.0175","18.7083"
"strict_occurrence","minus Farmana|SEAL:S","next1_is_002","24","56","0.4286","18","457","0.0394","18.2917"
"strict_occurrence","minus Farmana|SEAL:S","core_002_861_820_817","16","56","0.2857","10","457","0.0219","17.88"
"strict_occurrence","minus Farmana|SEAL:S","core_terminal_tail","14","56","0.25","8","457","0.0175","18.7083"
