"site","control","iterations","observed","null_mean","null_p05","null_median","null_p95","null_max","null_ge_observed_share"
"Mohenjo-daro","global_token_shuffle","1000","0.816038","0.442","0.367925","0.443396","0.514151","0.570755","0"
"Mohenjo-daro","row_internal_shuffle","1000","0.816038","0.435873","0.363208","0.433962","0.509434","0.584906","0"
"Mohenjo-daro","position_slot_shuffle","1000","0.816038","0.759387","0.726415","0.759434","0.792453","0.820755","0.002"
"Mohenjo-daro","edge_frame_shuffle","1000","0.816038","0.745717","0.716981","0.745283","0.773585","0.79717","0"
"Harappa","global_token_shuffle","1000","0.741071","0.396562","0.285714","0.392857","0.5","0.607143","0"
"Harappa","row_internal_shuffle","1000","0.741071","0.394286","0.285714","0.392857","0.5","0.651786","0"
"Harappa","position_slot_shuffle","1000","0.741071","0.666652","0.625","0.669643","0.705357","0.75","0.004"
"Harappa","edge_frame_shuffle","1000","0.741071","0.670643","0.642857","0.669643","0.705357","0.723214","0"
"Lothal","global_token_shuffle","1000","0.3125","0.18825","0","0.1875","0.375","0.6875","0.215"
"Lothal","row_internal_shuffle","1000","0.3125","0.195437","0","0.1875","0.4375","0.6875","0.247"
"Lothal","position_slot_shuffle","1000","0.3125","0.330625","0.25","0.3125","0.4375","0.5625","0.861"
"Lothal","edge_frame_shuffle","1000","0.3125","0.317063","0.3125","0.3125","0.375","0.5","0.988"
