"second","count","pct_of_start520","top_third","top_third_count","top_third_share","top2_thirds","top2_share","distinct_third_count","exact_triplet_count","sites","types","examples"
"220","59","0.2243","415","28","0.4746","415:28;<END>:7","0.5932","17","21","Banawali;Harappa;Kalibangan;Lothal;Mohenjo-daro;Nausharo","SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","41.1;199.1;221.1;277.2;282.2;479.1;481.1;485.2"
"033","52","0.1977","705","29","0.5577","705:29;706:16","0.8654","5","9","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Unknown","SEAL;SEAL:R;SEAL:S;TAB:B;TAG;TAG:L;TAG:O","95.1;138.1;140.1;322.1;402.2;628.2;831.2;876.2"
"240","44","0.1673","002","29","0.6591","002:29;<END>:7","0.8182","10","3","Harappa;Mohenjo-daro;Nausharo","SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I","437.2;515.2;743.1;1189.1;1277.1;1278.1;1279.1;1280.1"
"233","19","0.0722","240","6","0.3158","240:6;803:4","0.5263","9","1","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro","SEAL;SEAL:S;TAB:B;TAG","87.1;297.1;920.1;1004.1;1077.1;1274.2;1479.1;1594.1"
"070","13","0.0494","255","3","0.2308","255:3;921:2","0.3846","10","0","Gola Dhoro (Bagasra);Harappa;Lothal;Mohenjo-daro;Unknown","SEAL:R;SEAL:S;TAB:B;TAG:L","510.2;1123.1;1147.1;2046.1;2080.1;2342.1;2403.1;3118.1"
"000","9","0.0342","002","3","0.3333","002:3;000:2","0.5556","5","2","Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAG","290.2;2110.2;2376.1;3518.1;4156.1;4216.1;4314.1;4314.2"
"235","8","0.0304","<END>","4","0.5","<END>:4;803:2","0.75","4","1","Chanhu-daro;Dholavira;Harappa;Mohenjo-daro;Tarkhanewala-dera","POT:T:g;SEAL;SEAL:S;TAB:B;TAG","92.1;613.1;2969.1;2970.1;3122.1;3219.1;4232.1;5456.1"
"400","6","0.0228","350","3","0.5","350:3;<END>:1","0.6667","4","1","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:I","253.1;1501.1;2451.1;3156.1;3616.1;4530.1"
"460","6","0.0228","495","3","0.5","495:3;<END>:2","0.8333","3","2","Dholavira;Harappa;Mohenjo-daro","POT:T:g;SEAL:S","131.1;133.1;716.1;1142.1;3222.1;3331.1"
"<END>","5","0.019","<END>","5","1","<END>:5","1","1","0","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:I","651.1;873.1;3125.1;3426.1;4128.1"
"031","5","0.019","<END>","4","0.8","<END>:4;000:1","1","2","0","Harappa;Kanmer;Rahman-deri","SEAL;SEAL:S;TAB:I","1155.1;1802.2;1803.2;5269.1;5421.1"
"072","5","0.019","219","2","0.4","219:2;233:1","0.6","4","3","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","836.2;1257.1;1704.2;2389.1;2512.1"
"231","5","0.019","002","3","0.6","002:3;<END>:1","0.8","3","1","Kalibangan;Mohenjo-daro","SEAL:S","1899.1;1967.1;2782.1;2821.1;3480.1"
"175","4","0.0152","<END>","3","0.75","<END>:3;002:1","1","2","0","Dholavira;Harappa;Mohenjo-daro","SEAL:S;TAB:I","1481.1;2319.1;2707.1;4243.1"
"001","3","0.0114","<END>","2","0.6667","<END>:2;090:1","1","2","0","Banawali;Harappa","MISC;SEAL:S","26.1;164.1;5441.1"
"515","3","0.0114","240","1","0.3333","240:1;255:1","0.6667","3","1","Chanhu-daro;Mohenjo-daro","POT:T:g;SEAL:S","118.1;3193.1;3816.1"
"920","3","0.0114","320","3","1","320:3","1","1","0","Dholavira;Mohenjo-daro","SEAL:S","1316.1;3186.1;3311.1"
"095","2","0.0076","000","1","0.5","000:1;033:1","1","2","0","Dholavira;Harappa","SEAL:R","1575.1;4263.1"
"382","2","0.0076","032","1","0.5","032:1;878:1","1","2","1","Mohenjo-daro","SEAL:S","2236.1;3230.1"
"013","1","0.0038","<END>","1","1","<END>:1","1","1","0","Miri Qalat","SEAL:S","5444.1"
"073","1","0.0038","<END>","1","1","<END>:1","1","1","0","Rakhigarhi","SEAL:S","4153.1"
"075","1","0.0038","235","1","1","235:1","1","1","0","Mohenjo-daro","SEAL:S","3847.1"
"090","1","0.0038","803","1","1","803:1","1","1","0","Dholavira","SEAL:S","4250.1"
"219","1","0.0038","002","1","1","002:1","1","1","0","Harappa","SEAL:S","1141.1"
"315","1","0.0038","002","1","1","002:1","1","1","0","Lothal","SEAL:S","2012.1"
"442","1","0.0038","425","1","1","425:1","1","1","0","Mohenjo-daro","SEAL:S","2315.1"
"463","1","0.0038","510","1","1","510:1","1","1","1","Bhirrana","SEAL:S","5220.1"
"552","1","0.0038","060","1","1","060:1","1","1","0","Mohenjo-daro","SEAL:S","2653.1"
"742","1","0.0038","861","1","1","861:1","1","1","1","Dholavira","SEAL:S","4220.1"
