next,count
861,146
817,124
820,91
000,54
<END>,26
031,15
390,15
368,12
220,11
824,9
595,7
297,5
365,5
374,5
880,5
900,5
920,5
405,4
575,4
003,3
130,3
252,3
285,3
298,3
416,3
455,3
617,3
690,3
705,3
741,3
798,3
850,3
906,3
002,2
055,2
111,2
112,2
125,2
190,2
257,2
267,2
296,2
301,2
388,2
435,2
460,2
502,2
540,2
550,2
570,2
610,2
700,2
717,2
808,2
812,2
814,2
840,2
892,2
940,2
001,1
004,1
033,1
056,1
060,1
065,1
069,1
093,1
095,1
107,1
142,1
144,1
156,1
168,1
172,1
207,1
221,1
226,1
233,1
244,1
269,1
270,1
278,1
281,1
286,1
287,1
291,1
293,1
295,1
299,1
300,1
305,1
308,1
315,1
320,1
326,1
354,1
360,1
370,1
392,1
400,1
407,1
413,1
415,1
418,1
452,1
454,1
456,1
457,1
463,1
504,1
518,1
520,1
527,1
546,1
564,1
577,1
585,1
590,1
611,1
615,1
629,1
630,1
679,1
693,1
702,1
703,1
727,1
735,1
762,1
764,1
768,1
790,1
803,1
818,1
825,1
862,1
863,1
870,1
904,1
905,1
933,1
944,1
