scope,null_model,iteration,rows,terminal_rows,accuracy,brier,logloss,closure_rows,branch_rows,closure_terminal_rate,branch_terminal_rate,closure_minus_branch
all_002_strict_dedup,terminal_shuffle_global,1,499,305,0.6112224448897795,0.24153268881540757,0.6764903013814592,293,48,0.6245733788395904,0.5833333333333334,0.04124004550625704
all_002_strict_dedup,terminal_shuffle_register,1,499,305,0.4849699398797595,0.2302715922116874,0.6529579282171266,293,48,0.689419795221843,0.4375,0.25191979522184305
all_002_strict_dedup,y_shuffle_global,1,499,305,0.6112224448897795,0.24183213012858412,0.6770349767161421,293,48,0.6177474402730375,0.5416666666666666,0.07608077360637089
all_002_strict_dedup,y_shuffle_register,1,499,305,0.56312625250501,0.23616025982119057,0.6652152305175251,293,48,0.6757679180887372,0.5,0.17576791808873715
all_002_strict_dedup,independent_register_admin,1,499,312,0.4308617234468938,0.22689922365145967,0.6458030123863568,284,50,0.7077464788732394,0.5,0.20774647887323938
all_002_strict_dedup,terminal_shuffle_global,2,499,305,0.593186372745491,0.24077184538924684,0.6748369855530252,293,48,0.6006825938566553,0.6458333333333334,-0.045150739476678026
all_002_strict_dedup,terminal_shuffle_register,2,499,305,0.6392785571142284,0.228630918126087,0.6501526269684025,293,48,0.6825938566552902,0.3541666666666667,0.32842718998862347
all_002_strict_dedup,y_shuffle_global,2,499,305,0.6112224448897795,0.2394362740061208,0.6720118512449076,293,48,0.6143344709897611,0.75,-0.13566552901023887
all_002_strict_dedup,y_shuffle_register,2,499,305,0.6232464929859719,0.23494110160160586,0.6629607016007,293,48,0.6723549488054608,0.4375,0.23485494880546076
all_002_strict_dedup,independent_register_admin,2,499,309,0.6232464929859719,0.23155907224206612,0.6560207123890213,289,48,0.6816608996539792,0.4791666666666667,0.20249423298731256
all_002_strict_dedup,terminal_shuffle_global,3,499,305,0.6112224448897795,0.24130166010374826,0.6758558865144668,293,48,0.6040955631399317,0.5416666666666666,0.062428896473265105
all_002_strict_dedup,terminal_shuffle_register,3,499,305,0.6332665330661322,0.2286624532676214,0.6499458224766054,293,48,0.6860068259385665,0.4375,0.24850682593856654
all_002_strict_dedup,y_shuffle_global,3,499,305,0.6112224448897795,0.2401310692651918,0.6736664921037235,293,48,0.6040955631399317,0.7083333333333334,-0.10423777019340164
all_002_strict_dedup,y_shuffle_register,3,499,305,0.6332665330661322,0.2298274685387641,0.6523276222285976,293,48,0.6928327645051194,0.4583333333333333,0.23449943117178612
all_002_strict_dedup,independent_register_admin,3,499,308,0.6352705410821643,0.23022138417879756,0.6532491183586544,284,55,0.6795774647887324,0.41818181818181815,0.2613956466069142
all_002_strict_dedup,terminal_shuffle_global,4,499,305,0.6112224448897795,0.2403421735570416,0.674139317522503,293,48,0.6177474402730375,0.6875,-0.06975255972696248
all_002_strict_dedup,terminal_shuffle_register,4,499,305,0.6312625250501002,0.2288964138635142,0.6505234736365115,293,48,0.6860068259385665,0.3958333333333333,0.29017349260523323
all_002_strict_dedup,y_shuffle_global,4,499,305,0.6112224448897795,0.24125422686865022,0.6760349427025664,293,48,0.6143344709897611,0.5833333333333334,0.031001137656427757
all_002_strict_dedup,y_shuffle_register,4,499,305,0.6492985971943888,0.22339052921268432,0.638779493202765,293,48,0.7030716723549488,0.375,0.32807167235494883
all_002_strict_dedup,independent_register_admin,4,499,310,0.6432865731462926,0.22677648762544275,0.6457912834176943,284,41,0.6830985915492958,0.36585365853658536,0.3172449330127104
