"scope","group_kind","group_value","rows","tokens","unique_signs","exact_sequence_groups","exact_duplicate_groups","exact_duplicate_rows","top_sequence_count","rows_length_gt_1","stored_higher_than_reversed","reversed_higher_than_stored","ties","stored_higher_share","mean_stored_minus_reversed","median_stored_minus_reversed"
"lipi_numeric_clean_candidate","all","all","2887","11655","571","1798","266","1355","117","2887","2748","131","8","0.951853","10.302254","9.886036"
"lipi_direction_clean_candidate_total","all","all","3308","13732","610","2180","292","1420","117","3306","3114","162","30","0.941924","9.850339","9.129241"
"lipi_numeric_clean_candidate","type","SEAL:S","1101","5141","451","1018","50","133","7","1101","1060","34","7","0.962761","9.74743","9.539032"
"lipi_numeric_clean_candidate","type","SEAL:R","218","1102","215","212","4","10","4","218","206","8","4","0.944954","6.095804","5.938784"
"lipi_numeric_clean_candidate","type","TAB:I","533","1444","144","173","65","425","64","533","507","24","2","0.95122","7.617354","7.014491"
"lipi_numeric_clean_candidate","type","TAB:B","705","2519","225","312","98","491","53","705","647","53","5","0.91773","7.930944","7.116394"
"lipi_numeric_clean_candidate","type","TAB:C","157","791","73","53","26","130","25","157","154","0","3","0.980892","13.352676","12.587313"
"lipi_numeric_clean_candidate","site","Harappa","1430","4871","349","662","153","921","117","1430","1330","90","10","0.93007","8.080841","7.124478"
"lipi_numeric_clean_candidate","site","Kalibangan","55","232","90","48","1","8","8","55","48","2","5","0.872727","3.618699","2.302585"
"lipi_numeric_clean_candidate","site","Lothal","84","401","101","63","4","25","11","84","72","5","7","0.857143","6.713936","4.297077"
"lipi_numeric_clean_candidate","site","Mohenjo-daro","1217","5743","448","1009","86","294","25","1217","1183","27","7","0.972062","11.024772","10.817776"
"lipi_numeric_clean_candidate","region","Lower Indus","1282","6029","465","1068","91","305","25","1282","1245","29","8","0.971139","10.746098","10.377378"
"lipi_numeric_clean_candidate","region","Gujarat/Kutch","90","437","111","69","4","25","11","90","76","5","9","0.844444","6.339216","4.151009"
"lipi_numeric_clean_candidate","region","Inter-Riverine","1486","5105","359","704","158","940","117","1486","1381","95","10","0.929341","8.097568","7.192284"
