chunk,role,match_type,object_id_present,source_layer,id,cisi,region,site,excavation_idno,type,symbol,cult,material,shape,dimensions_mm,text
740-205-032-002-390-590-032,exact target sequence,exact_text,no,raw_lipi_target_unbound,3335.1,-,Other,Unknown,-,SEAL:S,Bull1:J,RAF,-,square,29 x 29 x 0,+740-205-032-002-390-590-032+
740-205-032-002,target left prefix before branch,prefix,yes,raw_lipi_comparandum,2670.1,M-143,Lower Indus,Mohenjo-daro,DK103232,SEAL:S,Bull1:J,RAF,Steatite,square,23.9 x 24.1 x 7.6,+740-205-032-002-252-840+
740-205-032-002,target left prefix before branch,prefix,no,raw_lipi_target_unbound,3335.1,-,Other,Unknown,-,SEAL:S,Bull1:J,RAF,-,square,29 x 29 x 0,+740-205-032-002-390-590-032+
032-002-390,matched 032 branch lane,contains,yes,raw_lipi_comparandum,2598.1,M-70,Lower Indus,Mohenjo-daro,HR 4076048,SEAL:S,Bull1:T,SAF,Steatite,square,38.1 x 38.1 x 0,+226-032-002-390-692+
032-002-390,matched 032 branch lane,contains,no,raw_lipi_target_unbound,3335.1,-,Other,Unknown,-,SEAL:S,Bull1:J,RAF,-,square,29 x 29 x 0,+740-205-032-002-390-590-032+
002-390-590,target branch plus first tail,contains,no,raw_lipi_target_unbound,3335.1,-,Other,Unknown,-,SEAL:S,Bull1:J,RAF,-,square,29 x 29 x 0,+740-205-032-002-390-590-032+
390-590-032,portable formula-family chunk,prefix,yes,raw_lipi_comparandum,2081.1,L-139,Gujarat/Kutch,Lothal,01852(T065),TAG,-,-,Clay,-,25.4 x 12.7 x 0,]390-590-032-002-880[
390-590-032,portable formula-family chunk,prefix,yes,raw_lipi_comparandum,2116.1,L-196,Gujarat/Kutch,Lothal,01883(T024) CLXIII-D3,TAG,-,-,Clay,-,19.1 x 31.8 x 0,]390-590-032-002-000[
390-590-032,portable formula-family chunk,contains,yes,raw_lipi_comparandum,2118.2,L-198,Gujarat/Kutch,Lothal,01842(T042),TAG,-,-,Clay,-,25.4 x 95.3 x 0,+740-390-590-032-002-000[
390-590-032,portable formula-family chunk,contains,yes,raw_lipi_comparandum,2448.1,M-1739,Lower Indus,Mohenjo-daro,HR 3277174,SEAL:S,Bull1:S,SAN,Steatite,square,22.9 x 22.9 x 0,+740-390-590-032-060-201+
390-590-032,portable formula-family chunk,contains,yes,raw_lipi_comparandum,3169.1,M-746,Lower Indus,Mohenjo-daro,DK-B 2198081,SEAL:S,Bull1:I,-,Steatite,square,30.5 x 31.8 x 0,+740-440-220-032-741-390-590-032+
390-590-032,portable formula-family chunk,contains,no,raw_lipi_target_unbound,3335.1,-,Other,Unknown,-,SEAL:S,Bull1:J,RAF,-,square,29 x 29 x 0,+740-205-032-002-390-590-032+
390-590-032,portable formula-family chunk,contains,yes,raw_lipi_comparandum,3359.1,M-965,Lower Indus,Mohenjo-daro,HR 5656222,SEAL:S,Bull1:I,SAN,Steatite,square,19.1 x 19.1 x 0,+740-390-590-032-741-527+
