"third_slot","count","exact_three_count","terminal_closed_count","medial_tail_count","sites","types","materials","shapes","period_phase","source_hint_objects"
"415","28","17","17","11","Harappa:19;Mohenjo-daro:8;Lothal:1","TAB:I:13;SEAL:S:8;TAB:B:4;SEAL:R:2;TAG:1","Steatite:21;-:4;Faience:2;Clay:1","rectangular:12;square:8;cylindrical:2;-:1;circular:1;cuboid:1;cuboid-convex:1;oval:1;rectangular-round:1","-/-:9;-/Stratum IV:3;3/C:3;-/Stratum V:2;-/Stratum VI:2;3/-:2;3/B:2;3/B/C:2;-/Stratum III:1;Late/III:1;Layer 5/II:1","H-2240;H-786;H-938;H-940;H-941;M-37"
"240","5","0","0","5","Mohenjo-daro:3;Harappa:2","SEAL:S:4;TAB:B:1","Steatite:3;-:1;Faience:1","square:4;elliptical:1","-/-:4;-/Stratum III:1",""
"002","3","0","0","2","Mohenjo-daro:2;Banawali:1","SEAL:S:2;TAG:1","Steatite:2;-:1","square:2;-:1","-/-:1;Intermediate/III:1;Late/II:1",""
"016","3","1","1","2","Mohenjo-daro:2;Harappa:1","SEAL:S:2;TAB:I:1","Steatite:3","square:2;rectangular:1","-/-:1;-/Stratum IV:1;Early/I:1","H-942"
"003","2","1","1","1","Mohenjo-daro:2","SEAL:S:2","Steatite:2","square:2","-/-:2","M-1912"
"001","1","0","0","1","Mohenjo-daro:1","SEAL:S:1","-:1","square:1","-/-:1",""
"004","1","0","0","1","Mohenjo-daro:1","SEAL:S:1","Steatite:1","square:1","-/-:1",""
"006","1","1","1","0","Kalibangan:1","SEAL:S:1","Steatite:1","square:1","2/-:1","K-150"
"031","1","0","0","1","Mohenjo-daro:1","SEAL:S:1","Steatite:1","square:1","Intermediate/II:1",""
"032","1","0","0","1","Mohenjo-daro:1","SEAL:S:1","Steatite:1","square:1","-/-:1",""
"034","1","1","1","0","Mohenjo-daro:1","SEAL:S:1","Steatite:1","square:1","Late/III:1","M-1206"
"235","1","0","0","1","Mohenjo-daro:1","SEAL:S:1","Steatite:1","square:1","Early/I:1",""
"368","1","0","0","1","Mohenjo-daro:1","SEAL:S:1","Steatite:1","square:1","-/-:1",""
"621","1","0","0","1","Mohenjo-daro:1","SEAL:S:1","Steatite:1","square:1","Intermediate/I:1",""
"742","1","0","0","1","Nausharo:1","SEAL:S:1","Steatite:1","square:1","3/-:1",""
"803","1","0","0","1","Mohenjo-daro:1","SEAL:S:1","Steatite:1","square:1","-/-:1",""
