"first_sign","last_sign","frame","rows","length_range","unique_lengths","I_T_rows","description_series_counts","top_class_patterns","examples","review_status"
"P324","P385","P324...P385","10","4-8","4;5;6;7;8","10","II:1;III:2;IV:7","ISMMT:2;IMDSSMMT:1;IMMMT:1;ISMMMMMT:1;ISMMMT:1;ISMT:1;ISMWSMT:1;ISSMT:1","M-116;M-118;M-14;M-144;M-152;M-164;M-170;M-47;M-58;M-90","edge_frame_family_only_not_semantic"
"P086","P385","P086...P385","4","4-6","4;6","0","III:1;IV:2;V:1","DMMT:2;DMISMT:1;DWMMMT:1","M-101;M-166;M-177;M-32","edge_frame_family_only_not_semantic"
"P324","P095","P324...P095","3","2-9","2;6;9","0","IV:2;V:1","IMSMMS:1;IS:1;ISMMMMTMS:1","M-114;M-182;M-91","edge_frame_family_only_not_semantic"
"P324","P256","P324...P256","3","5-6","5;6","3","I:1;III:1;IV:1","IMMMT:1;IMSMT:1;ISMMMT:1","M-146;M-5;M-69","edge_frame_family_only_not_semantic"
"P324","P378","P324...P378","3","6-7","6;7","0","III:1;IV:2","IMMMMD:1;IMSMSMD:1;ISSMMD:1","M-157;M-174;M-31","edge_frame_family_only_not_semantic"
"P004","P226","P004...P226","2","3-4","3;4","0","IV:2","IMMS:1;IMS:1","M-102;M-132","edge_frame_family_only_not_semantic"
"P013","P011","P013...P011","2","7-9","7;9","2","II:1;III:1","IIMMMMSMT:1;IIMMMST:1","M-24;M-53","edge_frame_family_only_not_semantic"
"P013","P359","P013...P359","2","4-5","4;5","0","IV:1;V:1","IIMMS:1;IISS:1","M-104;M-184","edge_frame_family_only_not_semantic"
"P013","P385","P013...P385","2","5-6","5;6","2","II:1;IV:1","IIMMMT:1;IIMMT:1","M-100;M-15","edge_frame_family_only_not_semantic"
"P217","P378","P217...P378","2","5-8","5;8","0","IV:2","IMMMD:1;IMMMMSMD:1","M-117;M-163","edge_frame_family_only_not_semantic"
"P324","P011","P324...P011","2","7-8","7;8","2","III:1;IV:1","IMSSMIDT:1;ISMMMST:1","M-109;M-51","edge_frame_family_only_not_semantic"
"P324","P145","P324...P145","2","4-13","4;13","0","III:1;IV:1","IMMM:1;ITSMMMMMMDSSM:1","M-124;M-38","edge_frame_family_only_not_semantic"
"P324","P349","P324...P349","2","6-8","6;8","0","III:1;IV:1","ISMMMMSW:1;ISMMSW:1","M-143;M-56","edge_frame_family_only_not_semantic"
"P324","P364","P324...P364","2","5-7","5;7","0","II:1;IV:1","IMSMMMM:1;ISSSM:1","M-173;M-30","edge_frame_family_only_not_semantic"
