checked_date,sign,count,top_prev,top_next,top_sites,top_types
2026-05-31,610,2,002:2,125:2,Harappa:1;Mohenjo-daro:1,SEAL:S:2
2026-05-31,297,15,002:5;060:3;001:1;391:1;400:1;532:1;680:1;820:1;855:1,000:2;190:2;350:2;<END>:1;352:1;368:1;416:1;630:1;705:1;741:1,Mohenjo-daro:10;Harappa:2;Bala-kot:1;Gola Dhoro (Bagasra):1;Nausharo:1,SEAL:S:13;SEAL:R:1;TAB:B:1
2026-05-31,350,48,400:5;460:5;504:4;000:3;298:3;310:3;463:3;543:3;001:2;090:2,<END>:10;002:8;031:4;125:4;741:3;001:2;240:2;892:2;032:1;128:1,Mohenjo-daro:28;Harappa:6;Kalibangan:4;Dholavira:2;Nausharo:2;Bala-kot:1;Banawali:1;Chanhu-daro:1;Failaka:1;Ganweriwala:1,SEAL:S:36;TAB:B:3;SEAL:C:2;TAB:I:2;POT:T:g:1;SEAL:1;SEAL:R:1;TAG:1;TAG:L:1
2026-05-31,413,57,575:22;892:14;<START>:10;125:2;002:1;033:1;060:1;090:1;137:1;220:1,<END>:43;840:2;000:1;031:1;033:1;346:1;368:1;530:1;575:1;740:1,Harappa:44;Mohenjo-daro:6;Nausharo:2;Bala-kot:1;Kalibangan:1;Kanmer:1;Khirsara:1;Luristan:1,TAB:B:26;TAB:I:14;SEAL:S:7;POT:T:g:3;SEAL:R:2;BNGL:1;IMPL:1;MISC:1;SEAL:C:1;TAG:L:1
2026-05-31,125,59,390:9;<START>:5;350:4;000:3;590:3;700:3;002:2;090:2;190:2;400:2,<END>:17;632:4;032:3;000:2;001:2;002:2;176:2;413:2;575:2;590:2,Mohenjo-daro:28;Harappa:16;Dholavira:4;Allahdino:1;Bala-kot:1;Chanhu-daro:1;Ganweriwala:1;Gola Dhoro (Bagasra):1;Gonur Depe:1;Kalibangan:1,SEAL:S:43;SEAL:R:7;TAB:B:4;TAB:I:2;TAG:2;TAB:C:1
2026-05-31,032,588,<START>:105;700:100;220:69;740:67;000:25;590:20;226:14;877:10;031:9;407:9,<END>:246;002:51;840:42;000:29;700:24;031:11;520:11;820:10;905:10;060:9,Harappa:312;Mohenjo-daro:178;Dholavira:24;Chanhu-daro:21;Lothal:18;Kalibangan:12;Nausharo:5;Unknown:5;Rakhigarhi:2;Bakkar Buthi:1,SEAL:S:179;TAB:B:117;TAB:I:110;POT:T:g:69;SEAL:R:37;TAB:C:26;TAG:21;MISC:4;ROD:4;TAG:P:4
