source_a,source_a_sign,source_b,top_source_b_sign,mapping_state,candidate_grade,total_aligned_positions,top_count,top_share,runner_up_sign,runner_up_count,distinct_candidate_count,position_counts,evidence_types,evidence_refs,example_artifacts,review_status,confidence,counterexamples
lipi_numeric,803,mayig_parpola,P364,uncertain,medium_consistency_positional_candidate,10,9,0.900000,P385,1,2,medial:9;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-52;M-69;M-77;M-115;M-117;M-118;M-128,needs_image_or_authoritative_sign_list_validation,low,P385:1
lipi_numeric,033,mayig_parpola,P147,uncertain,medium_consistency_positional_candidate,9,9,1.000000,,0,1,medial:8;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-54;M-64;M-86;M-117;M-118;M-122;M-135,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,705,mayig_parpola,P316,uncertain,medium_consistency_positional_candidate,9,9,1.000000,,0,1,medial:7;terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-54;M-86;M-100;M-117;M-118;M-122;M-128,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,090,mayig_parpola,P013,uncertain,medium_consistency_positional_candidate,8,8,1.000000,,0,1,initial:8,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-15;M-24;M-26;M-53;M-100;M-104;M-136;M-184,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,140,mayig_parpola,P011,uncertain,medium_consistency_positional_candidate,8,8,1.000000,,0,1,terminal:5;medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-8;M-24;M-51;M-53;M-74;M-109;M-115;M-142,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,550,mayig_parpola,P230,uncertain,medium_consistency_positional_candidate,8,8,1.000000,,0,1,medial:5;terminal:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-42;M-56;M-63;M-82;M-108;M-133;M-149;M-158,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,692,mayig_parpola,P256,uncertain,medium_consistency_positional_candidate,8,8,1.000000,,0,1,terminal:7;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-5;M-21;M-26;M-69;M-70;M-134;M-146;M-171,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,031,mayig_parpola,P144,uncertain,medium_consistency_positional_candidate,7,7,1.000000,,0,1,medial:4;terminal:2;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-9;M-65;M-90;M-135;M-136;M-155;M-160,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,255,mayig_parpola,P073,uncertain,medium_consistency_positional_candidate,7,7,1.000000,,0,1,medial:6;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-38;M-91;M-97;M-100;M-133;M-146,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,920,mayig_parpola,P154,uncertain,conflicted_positional_candidate,7,4,0.571429,P160,2,3,terminal:4;medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-44;M-48;M-53;M-59;M-84;M-113;M-146,needs_image_or_authoritative_sign_list_validation,very_low,P160:2;P156:1
lipi_numeric,001,mayig_parpola,P121,uncertain,medium_consistency_positional_candidate,6,6,1.000000,,0,1,medial:5;initial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-21;M-65;M-84;M-157;M-172,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,016,mayig_parpola,P126,uncertain,medium_consistency_positional_candidate,6,6,1.000000,,0,1,medial:5;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-17;M-53;M-112;M-136;M-158;M-178,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,176,mayig_parpola,P194,uncertain,medium_consistency_positional_candidate,6,6,1.000000,,0,1,medial:5;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-15;M-34;M-115;M-116;M-127;M-155,needs_image_or_authoritative_sign_list_validation,low,
lipi_numeric,415,mayig_parpola,P092,uncertain,low_consistency_positional_candidate,6,5,0.833333,P122,1,2,medial:5;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-37;M-52;M-109;M-144;M-154;M-163,needs_image_or_authoritative_sign_list_validation,very_low,P122:1
lipi_numeric,900,mayig_parpola,P154,uncertain,low_consistency_positional_candidate,6,5,0.833333,P160,1,2,medial:6,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-102;M-119;M-121;M-138;M-157;M-173,needs_image_or_authoritative_sign_list_validation,very_low,P160:1
lipi_numeric,923,mayig_parpola,P175,uncertain,medium_consistency_positional_candidate,6,6,1.000000,,0,1,medial:6,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-33;M-124;M-128;M-170;M-171;M-174,needs_image_or_authoritative_sign_list_validation,low,
