"model","iteration","exact_duplicate_sequence_groups","exact_duplicate_pairs","variant_pairs_total","near_pairs_edit_distance_le_2","single_substitution_pairs","two_substitution_pairs","single_insertion_deletion_pairs","shared_edge_frame_pairs","frame_families_count","top_frame_rows","slot_candidate_groups"
"length_frequency_shuffle","1","0","0","39","32","0","22","0","7","7","2","0"
"edge_position_preserving_shuffle","1","0","0","195","115","13","49","0","100","12","13","2"
"length_frequency_shuffle","2","0","0","58","55","2","42","0","3","3","2","2"
"edge_position_preserving_shuffle","2","0","0","183","112","8","49","4","86","10","11","3"
"length_frequency_shuffle","3","0","0","45","40","1","26","1","8","3","4","1"
"edge_position_preserving_shuffle","3","0","0","174","103","8","49","1","78","10","8","3"
"length_frequency_shuffle","4","0","0","39","34","4","23","0","5","5","2","2"
"edge_position_preserving_shuffle","4","0","0","129","56","2","42","0","75","12","11","2"
"length_frequency_shuffle","5","0","0","45","37","1","24","0","10","8","3","1"
"edge_position_preserving_shuffle","5","1","1","140","104","6","57","1","40","15","6","2"
"length_frequency_shuffle","6","0","0","31","28","0","23","0","3","3","2","0"
"edge_position_preserving_shuffle","6","0","0","199","138","7","86","0","71","13","10","7"
"length_frequency_shuffle","7","0","0","60","53","3","28","0","7","5","3","1"
"edge_position_preserving_shuffle","7","0","0","190","128","9","63","0","68","13","9","3"
"length_frequency_shuffle","8","0","0","41","38","2","21","1","3","3","2","2"
"edge_position_preserving_shuffle","8","0","0","163","98","5","54","3","77","15","11","3"
"length_frequency_shuffle","9","0","0","43","34","0","23","0","9","5","3","0"
"edge_position_preserving_shuffle","9","0","0","172","77","4","44","2","106","11","13","2"
"length_frequency_shuffle","10","0","0","48","40","0","25","0","8","4","3","0"
"edge_position_preserving_shuffle","10","0","0","175","130","14","52","3","49","11","8","5"
"length_frequency_shuffle","11","0","0","52","50","5","26","0","3","3","2","3"
"edge_position_preserving_shuffle","11","1","1","158","115","6","55","3","60","12","10","4"
"length_frequency_shuffle","12","0","0","44","35","0","24","1","11","7","3","0"
"edge_position_preserving_shuffle","12","1","1","159","102","8","38","2","71","16","10","2"
"length_frequency_shuffle","13","0","0","66","58","2","32","2","8","6","3","2"
"edge_position_preserving_shuffle","13","0","0","121","65","2","36","0","63","11","9","2"
"length_frequency_shuffle","14","0","0","49","45","2","32","0","4","4","2","2"
"edge_position_preserving_shuffle","14","0","0","178","120","5","78","0","62","12","10","5"
"length_frequency_shuffle","15","0","0","53","46","2","30","1","8","4","3","2"
"edge_position_preserving_shuffle","15","0","0","142","74","4","44","0","69","11","8","4"
"length_frequency_shuffle","16","0","0","49","46","0","31","1","3","3","2","0"
"edge_position_preserving_shuffle","16","0","0","142","91","5","52","0","59","14","8","3"
"length_frequency_shuffle","17","0","0","55","47","1","29","0","9","7","3","1"
"edge_position_preserving_shuffle","17","0","0","152","86","18","21","5","83","14","11","4"
"length_frequency_shuffle","18","0","0","46","41","0","27","0","6","4","3","0"
"edge_position_preserving_shuffle","18","0","0","125","86","5","55","0","51","16","8","3"
"length_frequency_shuffle","19","0","0","41","37","1","21","1","5","5","2","1"
"edge_position_preserving_shuffle","19","0","0","152","79","5","36","2","83","11","12","3"
"length_frequency_shuffle","20","0","0","31","27","1","20","0","4","4","2","1"
