path,width,height,mode,bytes,sha256
tmp/marshall_vol3/48270_0205.jp2,2601,3483,RGB,268441,b1e669e3bc368ee177de435b45e65f0b417bdc2413237fe165752639971d1f48
tmp/marshall_vol3/48270_0205.png,2601,3483,RGB,5705929,747dbc5447a7dbcffbb9c20a70e383dd27e6ba05ba6b5209e2be737054b24db7
tmp/marshall_vol3/48270_0205_iiif_full_max.jpg,2601,3483,RGB,709544,8ce17b760573c40f24d6652787116a6d077e6360693b2e0aecafd616ee1093c2
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_crop_overlay.png,2601,3483,RGB,5695640,45359846954d290d4fedcdd837fc51b5b1c2d79187c1431508b23e79d6b23b93
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_pair.png,480,650,RGB,193987,a869cbeac45675288dc124c771e75eb0e5673b95d455a57357e9868d12525638
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_pair_enhanced4x.png,1920,2600,L,500505,310faa0ff5be7a7a872ba823c25a4b9ad51cee41e5cc105389b27f1af8307975
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_object_left.png,165,525,RGB,74984,653ea0ea399a06199a36df4483038c5fc027f153136acffff8fd2159604a3d4d
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_object_left_enhanced4x.png,660,2100,L,226378,4b44c6349f2f34b28dbf484995189c9192916d3725ce9c88da92925c757820f0
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_impression_right.png,275,525,RGB,97616,2f5ce7f155f9e50311d4040a1acffaae6d828f4e3c15b8e4f6fe057ae7f313a0
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_impression_right_enhanced4x.png,1100,2100,L,326569,2fa0ed0a55251b2469a21cd790dbd3c254b290f7c2036a04df6ce866e071e2f8
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_inscription_zone_right.png,270,280,RGB,54548,3ebcb368f84e35f0b11ca48c0959b0e00fde560842f78f366e09ea5163d13612
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_inscription_zone_right_enhanced4x.png,1080,1120,L,193885,4748473e33cc41a5aad67dce51254d186175c4566219ab0a04dbf938a9e2b3c9
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_impression_right_rot270_enhanced4x.png,2100,1100,L,302168,8e5ab338c7fe98cbb55bedaae392aa9efec00f068363e6217b9efcebc8f92443
tmp/marshall_vol3/derived/m2104_ia_48270_0205_no532_pair_rot270_enhanced4x.png,2600,1920,L,537892,f56441db13902895852745fc81141d6d9c020ac24b46694f14bd1807d882898f
