cisi,id,site,type,symbol,cult,shape,condition,text,branch_after_390_004_002,tail_after_branch,focus_role
H-2003,401.1,Harappa,TAB:B,Mult,None,rectangular,Poor,+390-004-002-817+,817,<END>,near_exact_branch_control
-,951.1,Dholavira,SEAL:S,Bull1:U,SAN,square,Good,+390-004-002-817+,817,<END>,near_exact_branch_control
H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,square,Fair,+390-004-002-861-125+,861,125,target_split
M-1844,2418.1,Mohenjo-daro,SEAL:S,Bull1:U,SAN,square,Poor,+390-004-002-817+,817,<END>,near_exact_branch_control
M-1750,2450.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Fair,+390-004-002-861+,861,<END>,target_split
M-984,2453.1,Mohenjo-daro,SEAL:S,Bull1,-,square,Poor,+390-004-002-817+,817,<END>,near_exact_branch_control
M-103,2630.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Good,+390-004-002-820+,820,<END>,near_exact_branch_control
Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,square,Poor,+390-004-002-390-125-820+,390,125 820,near_exact_branch_control
-,3884.1,Tell Umma,TAG:L,Bull1,SAN,-,Fair,+390-004-002-705-127+,705,127,near_exact_branch_control
M-1823,3991.1,Mohenjo-daro,SEAL:S,Bull1:S,RAN,square,Good,+390-004-002-031-376+,031,376,near_exact_branch_control
