score,reasons,id,object,region,site,type,symbol,cult,material,shape,excavation_idno,horizontal_mm,vertical_mm,thickness_mm,text
12,same_type;same_symbol;same_cult;same_shape;near_h;near_v,1888.1,K-13,Inter-Riverine,Kalibangan,SEAL:S,Bull1:J,RAF,Steatite,square,KBL1 18257(2),28,28,7 - 10,+740-585-017-741-630+
12,same_type;same_symbol;same_cult;same_shape;near_h;near_v,2385.1,M-1715,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK8204492,30,30,6.4,+740-923-033-705-060-692+
12,same_type;same_symbol;same_cult;same_shape;lcs_4,2670.1,M-143,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK103232,23.9,24.1,7.6,+740-205-032-002-252-840+
12,same_type;same_symbol;same_cult;same_shape;near_h;near_v,2679.1,M-152,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK10948102,28.7,28.7,8.4,+740-772-002-861+
12,same_type;same_symbol;same_cult;same_shape;near_h;near_v,3154.1,M-730,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,-,square,-,29,29.5,0,+740-384-090-351-741-033-272+
12,same_type;same_symbol;same_cult;same_shape;near_h;near_v,5356.1,Ns-54,Lower Indus,Nausharo,SEAL:S,Bull1:J,RAF,Steatite,square,NS 93.20.67.01,30,30,13.5,+740-222-002-817+
10,same_type;same_symbol;same_cult;same_shape;near_h,2673.1,M-146,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,SD 2010100,29.2,0,0,+740-255-920-060-692+
10,same_type;same_symbol;same_cult;same_shape;near_v,2678.1,M-151,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK12782323,30.7,30,6.9,+220-065-864+
8,same_type;same_symbol;same_cult;same_shape,1987.1,L-5,Gujarat/Kutch,Lothal,SEAL:S,Bull1:J,RAF,Steatite,square,06492(S016) CLVII-A1,38.1,38.1,0,+740-760-552/000-002-455-692-416+
8,same_type;same_symbol;same_cult;same_shape,2240.1,M-1674,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK1171368,52.6,52.6,12.7,+090-740-222-231-002-861-683+
8,same_type;same_symbol;same_cult;same_shape,2290.1,M-1791,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK4052141,33.5,33.5,8.1,+740-760-268-002-840-032+
8,same_type;same_symbol;same_cult;same_shape,2343.1,M-1790,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK6798613,24.4,23.4,5.8,+592-741-060-920+
8,same_type;same_symbol;same_cult;same_shape,2475.1,M-1841,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,HR 5516237,19.1,19.1,0,+740-760-260/220-255-220-063-315+
8,same_type;same_symbol;same_cult;same_shape,2666.1,M-139,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK3477185,24.1,24.1,7.4,+033-832-236-741-361+
8,same_type;same_symbol;same_cult;same_shape,2669.1,M-142,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK8629630,24.1,24.1,7.6,+136-140-002-861+
