checked_date,object,id,occurrence_role,head_if_xslot,prev2,prev,next,terminal,continuing,symbol,cult,complete,condition,text
2026-05-31,M-1749,2195.1,non_xslot_125,,220,455,031,False,True,Bull1:W,SAN,Y,Poor,+220-455-125-031+
2026-05-31,M-1692,2226.1,post_002_h_x125,190,002,190,632,False,True,Bull1:L,SAN,Y,Good,+390-600-617-002-190-125-632-032+
2026-05-31,M-1688,2231.1,non_xslot_125,,,,435,False,True,Bull1:S,SAN,Y,Good,+125-435-255-002-286-220-031-012-031-455-033-590+
2026-05-31,M-1668,2270.1,non_xslot_125,,320,705,,True,False,Bull1:S,SAN,Y,Poor,+740-773-233-803-002-320-705-125+
2026-05-31,M-1903,2471.1,non_xslot_125,,740,861,,True,False,Buff,Trough,Y,Fair,+740-861-125+
2026-05-31,M-1665,2473.1,post_002_h_x125,610,002,610,032,False,True,Bull1:W,SAN,Y,Fair,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-1700,2517.1,non_xslot_125,,,400,745,False,True,Bull1:W,SAF,Y,Poor,+400-125-745+
2026-05-31,M-13,2541.1,non_xslot_125,,368,304,,True,False,Bull1:W,SAN,Y,Fine,+368-304-125+
2026-05-31,M-38,2566.1,post_002_h_x125,390,002,390,632,False,True,Bull1:J,SAN,Y,Good,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,post_002_h_x125,405,002,405,820,False,True,Bull1:W,SAN,Y,Good,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-119,2646.1,post_002_h_x125,390,002,390,632,False,True,Bull1:S,SAN,Y,Good,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-191,2716.1,non_xslot_125,,,090,,True,False,Bull1:L,SAN,Y,Poor,+090-125+
2026-05-31,M-251,2774.1,non_xslot_125,,003,002,350,False,True,Gaur,Trough,Y,Fair,+390-003-002-125-350+
2026-05-31,M-314,2832.1,non_xslot_125,,817,390,308,False,True,None,None,Y,Good,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
2026-05-31,M-320,2838.1,non_xslot_125,,741,390,,True,False,Bull1:W,SAN,Y,Good,+740-176-741-390-125+
2026-05-31,M-624,3075.1,non_xslot_125,,,190,575,False,True,Bull1:W,SAF,Y,Good,+190-125-575+
2026-05-31,M-626,3077.1,non_xslot_125,,842,374,740,False,True,Bull1:J,S,Y,Fair,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-735,3159.1,post_002_h_x125,390,002,390,195,False,True,Bull1:U,HAF,Y,Poor,+740-760-235-002-390-125-195+
2026-05-31,M-761,3184.1,non_xslot_125,,741,455,,True,False,Bull1,-,?,Poor,]002-741-455-125+
2026-05-31,M-848,3260.1,non_xslot_125,,,406,176,False,True,Bull1,-,Y,Poor,+406-125-176+
2026-05-31,M-878,3286.1,non_xslot_125,,741,390,,True,False,Bull1:J,RAF,Y,Good,+740-900-005-741-390-125+
2026-05-31,M-901,3306.1,non_xslot_125,,,090,002,False,True,Bull1,-,Y,Poor,+090-125-002-861+
2026-05-31,M-1188,3539.1,non_xslot_125,,000,000,632,False,True,None,None,N,Poor,]000/000-125-632-032/240-002-244-632+
