"corpus","scope","holdout_policy","control","iteration","stored_win_share","mean_diff"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","1","0.503893","0.003297"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","2","0.477197","-0.019273"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","3","0.481646","-0.010175"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","4","0.496663","0.012606"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","5","0.494994","-0.001964"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","6","0.504449","0.014262"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","7","0.488877","0.00323"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","8","0.467742","-0.026735"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","9","0.497775","0.006178"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","10","0.493882","0.009289"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","11","0.506674","0.012022"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","12","0.46941","-0.026687"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","13","0.496663","0.019302"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","14","0.479978","-0.016243"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","15","0.497219","-0.002818"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","16","0.482759","-0.009685"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","17","0.461624","-0.023897"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","18","0.491101","-0.011869"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","19","0.498888","0.003286"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","20","0.497775","-0.016312"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","21","0.50723","0.0127"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","22","0.502225","0.015908"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","23","0.493882","-0.00492"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","24","0.50723","0.006207"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","25","0.488877","-0.00574"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","26","0.489433","0.001566"
"Indus_Lipi","exact_sequence_collapsed","leave_one_row_out","global_token_shuffle","27","0.483315","-0.018168"
