policy,provisional_class,sign_count
raw_lipi_numeric,sparse_unclassified,149
raw_lipi_numeric,medial_core_candidate,25
raw_lipi_numeric,weak_or_mixed_positional_candidate,5
raw_lipi_numeric,initial_operator_candidate,4
raw_lipi_numeric,terminal_operator_candidate,4
raw_lipi_numeric,distributed_recurrent_candidate,2
p385_merge_only,sparse_unclassified,149
p385_merge_only,medial_core_candidate,25
p385_merge_only,weak_or_mixed_positional_candidate,5
p385_merge_only,initial_operator_candidate,4
p385_merge_only,terminal_operator_candidate,3
p385_merge_only,distributed_recurrent_candidate,2
mayig_observed_parpola,sparse_unclassified,122
mayig_observed_parpola,medial_core_candidate,26
mayig_observed_parpola,initial_operator_candidate,5
mayig_observed_parpola,terminal_operator_candidate,3
mayig_observed_parpola,distributed_recurrent_candidate,2
mayig_observed_parpola,weak_or_mixed_positional_candidate,2
