object,site,region,type,material,shape,symbol,condition,complete,prev,next,next_is_terminal_partner,text
Ad-8,Allahdino,Lower Indus,MISC,Clay,square,Elep,Fair,N,503,861,true,+740-440-503-002-861-000+
-:18.1,Bakkar Buthi,Lower Indus,POT:T:g,Clay,NA,NA,Poor,Y,840,861,true,+405-844-032-840-002-861+
Blk-1,Bala-kot,Lower Indus,SEAL:S,NA,square,Bull1,Poor,Y,003,297,false,+226-003-002-297-350-125-413+
Blk-2,Bala-kot,Lower Indus,SEAL:S,NA,square,Bull1,Poor,Y,061,368,false,+390-717-061-002-368-634+
B-1,Banawali,Eastern Headwaters,SEAL:S,Steatite,square,Bull1:O,Fair,Y,220,368,false,+090-740-220-002-368-550-821+
-:4310.1,Dholavira,Gujarat/Kutch,TAG,terracotta,NA,NA,Fair,?,<START>,817,true,]002-817[
B-17,Banawali,Eastern Headwaters,SEAL:S,Steatite,square,Htgr,Fair,Y,236,308,false,+236-002-308-072+
K-416,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,000,861,true,]000-002-861[
B-23,Banawali,Eastern Headwaters,TAG,NA,NA,Scene,Poor,?,220,<END>,false,+520-220-002[
-:52.1,Bhirrana,Eastern Headwaters,SEAL:S,NA,square,Bull1,Good,Y,236,820,true,+236-002-820+
M-32,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,003,817,true,+390-003-002-817+
C-65,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,N,032,861,true,+000-100-240-220-032-002-861+
C-60,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,032,861,true,+740-176-032-002-861+
C-58,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,235,861,true,+032-031/740-222-235-002-861+
C-74,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,125,861,true,+125-002-861+
C-71,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,861,906,false,+000-000-000/000-861-002-906-003+
C-78,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,NA,Fair,Y,240,817,true,+740-636-240/002-817+
C-57,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,N,840,296,false,+740-032-840-002-296-530-000+
-:4234.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,NA,Bull1,Poor,N,000,820,true,]000-000-002-820+
H-501,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,803,817,true,+520-233-803-002-817+
C-1,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,101,365,false,+031-840-140-740-101-002-365-287-034+
C-3,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,016,920,false,+740-016-002-920-317+
C-4,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Fair,Y,803,817,true,+520-235-803-002-817+
C-5,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fine,Y,717,298,false,+740-140-717-002-298-741+
C-6,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,Y,221,031,false,+817-521-521/090-740-221-002-031-500+
C-7,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull,Poor,N,798,000,false,+520-033-705-240-798-002-000[
C-10,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,032,817,true,+740-231-220-032-002-817+
C-18,Chanhu-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,031,817,true,]000-031-002-817+
Dlp-3,Desalpur,Gujarat/Kutch,TAG,NA,rectangular,NA,Fair,Y,032,892,false,+394-032-002-892-740+
-:130.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:W,Fair,Y,803,861,true,+244-165/740-879-220-416-803-002-861+
-:132.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Tigr,Fair,Y,416,861,true,+740-416-002-861+
-:4260.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Fair,Y,016,861,true,+390-016-002-861+
-:143.1,Dholavira,Gujarat/Kutch,TAB:B,Clay,rectangular,Gavi,Fair,N,031,817,true,+000-400-350-031-002-817+
Dlv-1,Dholavira,Gujarat/Kutch,SEAL:S,NA,square,Bull1:J,Poor,Y,031,861,true,+151-382-031-002-861+
Dlv-2,Dholavira,Gujarat/Kutch,SEAL:R,NA,cuboid-convex,NA,Poor,N,000,817,true,]000-002-817+
-:216.1,Baror,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,N,000,257,false,+000-000-002-257-550+
H-1042,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,220,817,true,+740-923-000-220-002-817+
H-1045,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,Poor,Y,005,820,true,+740-900-005-002-820+
H-1038,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,N,519,297,false,+740-519-002-297-000[
H-1051,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,Y,798,861,true,+400-740-575-017-920-320-798-002-861+
H-1100,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Bull2,Fair,Y,240,817,true,+740-904-240-002-817+
H-1030,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,103,861,true,+090-740-103-002-861+
