checked_date,object,row_id,site,type,shape,material,context,head_if_xslot,left_1,left_2,right_1,terminal,tail_after_705,exception_shape,text
2026-05-31,Ad-3,8.1,Allahdino,SEAL:S,square,Steatite,non_002_Xslot,,033,904,235,false,235,,+740-904-033-705-235+
2026-05-31,Ch-1,53.1,Chandigarh,POT:T:g,-,Clay,non_002_Xslot,,550,740,<END>,true,<END>,,+220-000-740-550-705+
2026-05-31,Ch-2,54.1,Chandigarh,POT:T:g,-,Clay,non_002_Xslot,,050,740,<END>,true,<END>,,+740-050-705+
2026-05-31,C-35,117.1,Chanhu-daro,TAB:B,rectangular,Faience,non_002_Xslot,,031,<START>,167,false,167,,+031-705-167[
2026-05-31,C-64,63.1,Chanhu-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,838,240,false,240,,]000-220-838-033-705-240+
2026-05-31,C-7,95.1,Chanhu-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,520,240,false,240 798 002 000,,+520-033-705-240-798-002-000[
2026-05-31,C-9,97.1,Chanhu-daro,SEAL:S,square,Steatite,non_002_Xslot,,033,803,240,false,240,,+151-233-803-033-705-240+
2026-05-31,-:134.1,134.1,Dholavira,SEAL:R,rectangular,Steatite,non_002_Xslot,,717,388,<END>,true,<END>,,+154-388-717-705+
2026-05-31,H-1502,171.1,Harappa,MISC,-,Stone,non_002_Xslot,,035,<START>,<END>,true,<END>,,]035-705+
2026-05-31,H-899,1781.1,Harappa,TAB:I,rectangular,Steatite,non_002_Xslot,,868,<START>,590,false,590,,+868-705-590+
2026-05-31,M-1397,3689.1,Mohenjo-daro,TAB:B,rectangular,Clay,non_002_Xslot,,167,<START>,<END>,true,<END>,,+167-705+
2026-05-31,H-876,1759.1,Harappa,TAB:B,cylindrical,Steatite,non_002_Xslot,,200,<START>,380,false,380,,+200-705-380+
2026-05-31,H-2157,734.2,Harappa,TAB:I,-,Steatite,non_002_Xslot,,<START>,<START>,<END>,true,<END>,,+705[
2026-05-31,H-2015,402.1,Harappa,TAB:B,rectangular-round,Clay,non_002_Xslot,,033,<START>,235,false,235 000,,+033-705-235-000+
2026-05-31,H-2015,402.2,Harappa,TAB:B,rectangular-round,Clay,non_002_Xslot,,033,520,235,false,235 832 002 817,,+520-033-705-235-832-002-817+
2026-05-31,H-2014,412.1,Harappa,TAB:B,-,Clay,non_002_Xslot,,033,<START>,235,false,235,,+033-705-235[
2026-05-31,H-774,1666.1,Harappa,TAB:B,rectangular,Faience,non_002_Xslot,,033,550,240,false,240,,+400-525-550-033-705-240+
2026-05-31,H-1815,561.1,Harappa,TAB:B,rectangular-round,Faience,non_002_Xslot,,033,550,000,false,000,,]525-550-033-705-000+
2026-05-31,H-1988,689.1,Harappa,TAB:B,rectangular,Clay,non_002_Xslot,,740,851,924,false,924 156,,+851-740-705-924-156+
2026-05-31,H-1839,593.2,Harappa,TAB:B,rectangular,Faience,non_002_Xslot,,630,175,<END>,true,<END>,,+740-100-175-630-705+
2026-05-31,H-2139,596.2,Harappa,TAB:I,rectangular,Steatite,non_002_Xslot,,033,176,235,false,235,,+740-176-033-705-235+
2026-05-31,-:609.1,609.1,Harappa,POsT:T:g,-,Clay,non_002_Xslot,,034,<START>,<END>,true,<END>,,+034-705+
2026-05-31,H-1813,653.1,Harappa,TAB:B,rectangular,Faience,non_002_Xslot,,033,550,220,false,220,,+400-525-550-033-705-220+
2026-05-31,H-2007,661.2,Harappa,TAB:B,twisted rectangular,Clay,non_002_Xslot,,000,<START>,590,false,590,,+000-705-590+
2026-05-31,H-1840,788.1,Harappa,TAB:B,rectangular,Faience,non_002_Xslot,,255,740,060,false,060 550,,+090-740-255-705-060-550+
2026-05-31,H-1945,923.2,Harappa,TAB:B,prism,Faience,non_002_Xslot,,717,388,<END>,true,<END>,,+400-740-388-717-705+
2026-05-31,H-1805,947.2,Harappa,TAB:B,-,Faience,non_002_Xslot,,<START>,<START>,220,false,220 000,,]705-220-000[
2026-05-31,H-24,1084.1,Harappa,SEAL:S,square,Steatite,non_002_Xslot,,033,176,233,false,233,,+740-626-176-033-705-233+
2026-05-31,H-25,1085.1,Harappa,SEAL:S,square,Steatite,non_002_Xslot,,033,806,235,false,235 055,,+740-900-003-806-033-705-235-055+
2026-05-31,H-28,1088.1,Harappa,SEAL:S,square,Steatite,non_002_Xslot,,000,595,634,false,634,,+595-000-705-634+
2026-05-31,H-103,1169.1,Harappa,SEAL:S,square,Steatite,non_002_Xslot,,033,520,740,false,740 717 220 415 806,,+159-097/520-033-705/740-717-220-415-806+
2026-05-31,H-130,1171.1,Harappa,SEAL:R,rectangular,-,non_002_Xslot,,033,845,231,false,231 806 002 595 812 125 717,,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,H-136,1177.1,Harappa,SEAL:R,cuboid-convex,Steatite,non_002_Xslot,,033,585,235,false,235 000,,+405-585-033-705-235-000[
2026-05-31,H-137,1178.1,Harappa,SEAL:R,rectangular,-,non_002_Xslot,,033,388,233,false,233 002 817,,+740-443-388-033-705-233-002-817+
2026-05-31,H-175,1209.1,Harappa,TAB:B,cylindrical,Clay,non_002_Xslot,,167,<START>,368,false,368 005 741 060 920,,+167-705-368-005-741-060-920+
2026-05-31,H-206,1237.1,Harappa,TAB:B,rectangular,-,non_002_Xslot,,204,240,621,false,621,,+740-642-240-204-705-621+
2026-05-31,H-369,1388.1,Harappa,SEAL:CY,cylindrical,Steatite,non_002_Xslot,,033,368,031,false,031 741 390 741,,+368-033-705-031-741-390-741+
2026-05-31,H-383,1398.1,Harappa,SEAL:S,square,Steatite,non_002_Xslot,,033,017,002,false,002 000,,+740-585-017-033-705-002-000+
2026-05-31,H-455,1445.1,Harappa,SEAL:S,square,Steatite,non_002_Xslot,,033,520,002,false,002 172 032,,+520-033-705-002-172-032+
2026-05-31,H-468,1456.1,Harappa,SEAL:S,square,Steatite,002_H_705_Xslot,940,940,002,<END>,true,<END>,,+740-900-003-002-940-705+
2026-05-31,H-531,1502.1,Harappa,SEAL:S,square,Steatite,non_002_Xslot,,033,520,<END>,true,<END>,,]482-520-033-705[
2026-05-31,H-639,1554.1,Harappa,SEAL:R,cuboid-convex,-,non_002_Xslot,,000,000,832,false,832 904 845 235 002 717 747,,+407-000-000-705-832-904-845-235-002-717-747+
2026-05-31,H-641,1556.1,Harappa,SEAL:R,cuboid-convex,Steatite,non_002_Xslot,,503,100,000,false,000,,+405-061-740-100-503-705-000[
2026-05-31,H-649,1564.1,Harappa,SEAL:R,cuboid-convex,Steatite,non_002_Xslot,,033,520,233,false,233 240 806 002 820,,+520-033-705-233-240-806-002-820+
2026-05-31,H-717,1620.1,Harappa,TAB:B,cylindrical,Faience,non_002_Xslot,,<START>,<START>,904,false,904,,+705-904+
2026-05-31,H-768,1660.1,Harappa,TAB:B,rectangular,Faience,non_002_Xslot,,033,740,233,false,233 235 000,,+400-740-033-705-233-235-000+
2026-05-31,H-769,1661.1,Harappa,TAB:B,rectangular,Faience,non_002_Xslot,,<START>,<START>,233,false,233 235 803,,]705-233-235-803+
2026-05-31,H-846,1732.1,Harappa,TAB:B,prism,Faience,non_002_Xslot,,031,100,<END>,true,<END>,,+400-740-100-031-705+
2026-05-31,H-878,1761.1,Harappa,TAB:B,cylindrical,Clay,non_002_Xslot,,<START>,<START>,692,false,692,,]705-692[
2026-05-31,H-885,1768.1,Harappa,TAB:I,-,Steatite,non_002_Xslot,,400,<START>,<END>,true,<END>,,]400-705[
2026-05-31,K-89,1944.2,Kalibangan,TAG:L,-,-,non_002_Xslot,,033,000,000,false,000 002 000,,+000-033-705-000-002-000+
2026-05-31,L-10,1989.1,Lothal,SEAL:S,square,Steatite,non_002_Xslot,,033,520,233,false,233 240 460 491 002 000,,+520-033-705-233-240-460-491-002-000+
