tail_initial,tail_after_002_861,tail_len,id,cisi,site,type,symbol,shape,material,class,condition,dir,text_length,text,prefix_last2_before_002_861,register_key,source_key,formula_key
000,000,1,13.1,Ad-8,Allahdino,MISC,Elep,square,Clay,??,Fair,R/L,6,+740-440-503-002-861-000+,440 503,Allahdino|MISC|Elep|square,Allahdino|MISC|Elep|square|Clay,+740-440-503-002-861-000+
<END>,<END>,0,18.1,-,Bakkar Buthi,POT:T:g,None,-,Clay,IM,Poor,R/L,6,+405-844-032-840-002-861+,032 840,Bakkar Buthi|POT:T:g|None|-,Bakkar Buthi|POT:T:g|None|-|Clay,+405-844-032-840-002-861+
<END>,<END>,0,62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,square,Steatite,??,Good,R/L,7,+000-100-240-220-032-002-861+,220 032,Chanhu-daro|SEAL:S|Bull1:W|square,Chanhu-daro|SEAL:S|Bull1:W|square|Steatite,+000-100-240-220-032-002-861+
<END>,<END>,0,69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,square,Steatite,SP,Good,R/L,5,+740-176-032-002-861+,176 032,Chanhu-daro|SEAL:S|Bull1:W|square,Chanhu-daro|SEAL:S|Bull1:W|square|Steatite,+740-176-032-002-861+
<END>,<END>,0,76.1,C-74,Chanhu-daro,SEAL:S,Gaur,square,Steatite,IM,Fair,R/L,3,+125-002-861+,125,Chanhu-daro|SEAL:S|Gaur|square,Chanhu-daro|SEAL:S|Gaur|square|Steatite,+125-002-861+
<END>,<END>,0,132.1,-,Dholavira,SEAL:S,Tigr,square,Steatite,IT,Fair,R/L,4,+740-416-002-861+,740 416,Dholavira|SEAL:S|Tigr|square,Dholavira|SEAL:S|Tigr|square|Steatite,+740-416-002-861+
<END>,<END>,0,136.1,-,Dholavira,SEAL:R,None,rectangular,Steatite,IM,Good,R/L,4,+390-016-002-861+,390 016,Dholavira|SEAL:R|None|rectangular,Dholavira|SEAL:R|None|rectangular|Steatite,+390-016-002-861+
<END>,<END>,0,145.1,Dlv-1,Dholavira,SEAL:S,Bull1:J,square,-,SP,Poor,R/L,5,+151-382-031-002-861+,382 031,Dholavira|SEAL:S|Bull1:J|square,Dholavira|SEAL:S|Bull1:J|square|-,+151-382-031-002-861+
<END>,<END>,0,259.1,H-1051,Harappa,SEAL:S,Bull1:I,square,Steatite,LP,Poor,R/L,9,+400-740-575-017-920-320-798-002-861+,320 798,Harappa|SEAL:S|Bull1:I|square,Harappa|SEAL:S|Bull1:I|square|Steatite,+400-740-575-017-920-320-798-002-861+
<END>,<END>,0,284.1,H-1030,Harappa,SEAL:S,Bull1:W,square,-,IT,Good,R/L,5,+090-740-103-002-861+,740 103,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|-,+090-740-103-002-861+
<END>,<END>,0,303.1,H-1043,Harappa,SEAL:S,Bull1:W,square,Steatite,SP,Poor,R/L,6,+151-760-220-003-002-861+,220 003,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W|square|Steatite,+151-760-220-003-002-861+
<END>,<END>,0,409.2,H-1942,Harappa,TAB:B,Bult,prism,Faience,IM,Good,R/L,4,+405-035-002-861+,405 035,Harappa|TAB:B|Bult|prism,Harappa|TAB:B|Bult|prism|Faience,+405-035-002-861+
416,416,1,476.2,H-2094,Harappa,TAB:I,None,rectangular,Steatite,SS,Fair,R/L,3,+002-861-416+,<START>,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+002-861-416+
416,416,1,488.2,H-2097,Harappa,TAB:I,None,rectangular,Steatite,SS,Good,R/L,3,+002-861-416+,<START>,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+002-861-416+
416,416,1,518.2,H-2095,Harappa,TAB:I,None,rectangular,-,SS,Fair,R/L,3,+002-861-416+,<START>,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|-,+002-861-416+
<END>,<END>,0,537.1,H-1692,Harappa,SEAL:S,None,square,Steatite,IT,Poor,R/L,5,+740-390-590-002-861+,390 590,Harappa|SEAL:S|None|square,Harappa|SEAL:S|None|square|Steatite,+740-390-590-002-861+
<END>,<END>,0,594.2,H-2022,Harappa,TAB:B,Phyt,prism,Clay,IT,Fair,R/L,5,+740-752-175-002-861+,752 175,Harappa|TAB:B|Phyt|prism,Harappa|TAB:B|Phyt|prism|Clay,+740-752-175-002-861+
416,416,1,621.1,-,Harappa,TAB:I,None,rectangular,Steatite,SS,Good,R/L,3,+002-861-416+,<START>,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|Steatite,+002-861-416+
416,416,1,665.2,H-2096,Harappa,TAB:I,None,rectangular,-,SS,Good,R/L,3,+002-861-416+,<START>,Harappa|TAB:I|None|rectangular,Harappa|TAB:I|None|rectangular|-,+002-861-416+
<END>,<END>,0,729.2,H-2010,Harappa,TAB:B,Bull1,oval,Faience,SP,Fair,R/L,5,+740-482-240-002-861+,482 240,Harappa|TAB:B|Bull1|oval,Harappa|TAB:B|Bull1|oval|Faience,+740-482-240-002-861+
<END>,<END>,0,771.2,H-1930,Harappa,TAB:B,Gavi,prism,Faience,SP,Fair,R/L,5,+408-817-920-002-861+,817 920,Harappa|TAB:B|Gavi|prism,Harappa|TAB:B|Gavi|prism|Faience,+408-817-920-002-861+
<END>,<END>,0,789.1,H-1785,Harappa,TAB:B,Phyt,rectangular-rounded,Faience,IM,Poor,R/L,4,+407-004-002-861+,407 004,Harappa|TAB:B|Phyt|rectangular-rounded,Harappa|TAB:B|Phyt|rectangular-rounded|Faience,+407-004-002-861+
