policy,sign,token_count,inscription_count,provisional_class,class_evidence,counterevidence,initial_count,medial_count,terminal_count,single_count,initial_share,medial_share,terminal_share,single_share,initial_lift_vs_global,medial_lift_vs_global,terminal_lift_vs_global,mean_normalized_position,left_neighbor_count,right_neighbor_count,left_neighbor_entropy,right_neighbor_entropy,top_left_neighbors,top_right_neighbors,example_records,review_status
raw_lipi_numeric,L740,73,73,initial_operator_candidate,initial_share=0.822,medial_share=0.178,60,13,0,0,0.821918,0.178082,0,0,4.466157,0.281804,0,0.04744,7,45,1.006079,5.220933,<s>:60;L090:8;L001:1;L061:1;L503:1,L760:5;L923:5;L220:4;L390:4;L798:4,M-5;M-12;M-14;M-15;M-18;M-21;M-24;M-26,structural_profile_only_not_semantic
raw_lipi_numeric,L002,60,60,medial_core_candidate,medial_share=1.000,,0,60,0,0,0,1,0,0,0,1.582441,0,0.660126,31,27,4.649792,4.128504,L032:7;L803:6;L235:4;L003:3;L231:3,L817:10;L861:10;L820:6;L220:4;L390:4,M-12;M-14;M-15;M-17;M-21;M-24;M-29;M-32,structural_profile_only_not_semantic
raw_lipi_numeric,L220,29,29,medial_core_candidate,medial_share=0.966,edge_share=0.034,1,28,0,0,0.034483,0.965517,0,0,0.187375,1.527874,0,0.426108,18,14,3.836959,3.469544,L520:5;L002:4;L740:4;L923:2;<s>:1,L032:6;L065:4;L415:4;L016:3;L004:2,M-29;M-36;M-37;M-38;M-46;M-52;M-53;M-64,structural_profile_only_not_semantic
raw_lipi_numeric,L390,25,24,distributed_recurrent_candidate,max_position_share=0.520,,13,11,1,0,0.52,0.44,0.04,0,2.825588,0.696274,0.217353,0.25573,6,15,1.999628,3.653661,<s>:13;L002:4;L740:4;L741:2;L550:1,L003:4;L590:4;L016:3;L125:2;L844:2,M-12;M-17;M-32;M-35;M-38;M-48;M-51;M-70,structural_profile_only_not_semantic
raw_lipi_numeric,L032,21,20,medial_core_candidate,medial_share=0.905,edge_share=0.095,0,19,2,0,0,0.904762,0.095238,0,0,1.431733,0.517506,0.522109,13,13,3.368042,3.266056,L220:6;L226:2;L632:2;L740:2;L070:1,L002:7;</s>:2;L235:2;L220:1;L231:1,M-3;M-21;M-33;M-36;M-38;M-52;M-56;M-57,structural_profile_only_not_semantic
raw_lipi_numeric,L060,17,17,medial_core_candidate,medial_share=1.000,,0,17,0,0,0,1,0,0,0,1.582441,0,0.707563,15,7,3.852169,2.581013,L233:2;L235:2;L003:1;L016:1;L231:1,L692:5;L550:4;L368:2;L820:2;L920:2,M-5;M-26;M-31;M-48;M-56;M-59;M-63;M-64,structural_profile_only_not_semantic
raw_lipi_numeric,L520,15,15,initial_operator_candidate,initial_share=0.933,,14,0,1,0,0.933333,0,0.066667,0,5.071567,0,0.362257,0.066667,2,5,0.353359,2.041946,<s>:14;L455:1,L033:5;L220:5;L233:3;</s>:1;L175:1,M-37;M-64;M-65;M-75;M-85;M-86;M-117;M-122,structural_profile_only_not_semantic
raw_lipi_numeric,L240,14,14,medial_core_candidate,medial_share=1.000,,0,14,0,0,0,1,0,0,0,1.582441,0,0.406293,13,7,3.664498,2.26082,L550:2;L003:1;L032:1;L055:1;L233:1,L235:7;L002:2;L001:1;L033:1;L220:1,M-5;M-24;M-29;M-30;M-38;M-42;M-46;M-54,structural_profile_only_not_semantic
raw_lipi_numeric,L820,14,13,distributed_recurrent_candidate,max_position_share=0.571,,2,4,8,0,0.142857,0.285714,0.571429,0,0.77626,0.452126,3.105044,0.714286,7,7,2.4138,2.093069,L002:6;<s>:2;L060:2;L001:1;L390:1,</s>:8;L130:1;L220:1;L463:1;L700:1,M-6;M-16;M-31;M-48;M-54;M-86;M-103;M-108,structural_profile_only_not_semantic
raw_lipi_numeric,L233,13,13,medial_core_candidate,medial_share=0.923,edge_share=0.077,0,12,1,0,0,0.923077,0.076923,0,0,1.460715,0.417986,0.516758,9,9,3.026987,3.026987,L520:3;L590:2;L790:2;L382:1;L388:1,L002:3;L060:2;L798:2;</s>:1;L231:1,M-12;M-31;M-33;M-35;M-85;M-88;M-107;M-118,structural_profile_only_not_semantic
raw_lipi_numeric,L235,13,13,medial_core_candidate,medial_share=0.923,edge_share=0.077,0,12,1,0,0,0.923077,0.076923,0,0,1.460715,0.417986,0.594292,6,7,2.034941,2.623517,L240:7;L032:2;L220:1;L350:1;L415:1,L002:4;L060:2;L741:2;L806:2;</s>:1,M-5;M-24;M-29;M-30;M-38;M-46;M-47;M-51,structural_profile_only_not_semantic
raw_lipi_numeric,L741,13,13,medial_core_candidate,medial_share=0.923,edge_share=0.077,0,12,1,0,0,0.923077,0.076923,0,0,1.460715,0.417986,0.702747,12,12,3.546594,3.546594,L235:2;L032:1;L048:1;L220:1;L233:1,L390:2;</s>:1;L060:1;L081:1;L176:1,M-51;M-85;M-93;M-112;M-113;M-127;M-128;M-129,structural_profile_only_not_semantic
raw_lipi_numeric,L817,12,12,terminal_operator_candidate,terminal_share=0.917,medial_share=0.083,0,1,11,0,0,0.083333,0.916667,0,0,0.13187,4.981007,0.958333,3,2,0.816689,0.413817,L002:10;L368:1;L740:1,</s>:11;L556:1,M-14;M-32;M-42;M-58;M-75;M-80;M-90;M-101,structural_profile_only_not_semantic
raw_lipi_numeric,L861,12,12,terminal_operator_candidate,terminal_share=0.833,medial_share=0.167,0,2,10,0,0,0.166667,0.833333,0,0,0.263741,4.528184,0.9375,3,2,0.816689,0.650022,L002:10;L368:1;L741:1,</s>:10;L255:2,M-1;M-15;M-21;M-47;M-77;M-91;M-100;M-118,structural_profile_only_not_semantic
raw_lipi_numeric,L003,10,10,medial_core_candidate,medial_share=0.800,edge_share=0.200,0,8,2,0,0,0.8,0.2,0,0,1.265953,1.086765,0.45,5,7,2.046439,2.646439,L390:4;L156:3;L154:1;L220:1;L368:1,L002:3;</s>:2;L060:1;L240:1;L545:1,M-32;M-59;M-80;M-93;M-94;M-95;M-102;M-132,structural_profile_only_not_semantic
raw_lipi_numeric,L368,10,10,medial_core_candidate,medial_share=0.800,edge_share=0.200,2,8,0,0,0.2,0.8,0,0,1.086765,1.265953,0,0.539167,5,9,2.246439,3.121928,L002:3;<s>:2;L001:2;L060:2;L093:1,L920:2;L003:1;L072:1;L119:1;L202:1,M-1;M-12;M-13;M-36;M-48;M-59;M-80;M-84,structural_profile_only_not_semantic
raw_lipi_numeric,L798,10,10,medial_core_candidate,medial_share=0.900,edge_share=0.100,0,9,1,0,0,0.9,0.1,0,0,1.424197,0.543382,0.450238,6,8,2.321928,2.921928,L740:4;L233:2;L065:1;L100:1;L231:1,L002:2;L460:2;</s>:1;L001:1;L220:1,M-43;M-46;M-51;M-54;M-57;M-91;M-92;M-108,structural_profile_only_not_semantic
raw_lipi_numeric,L803,10,10,medial_core_candidate,medial_share=0.900,edge_share=0.100,0,9,1,0,0,0.9,0.1,0,0,1.424197,0.543382,0.544524,10,5,3.321928,1.770951,L002:1;L176:1;L220:1;L226:1;L233:1,L002:6;</s>:1;L055:1;L231:1;L741:1,M-44;M-52;M-69;M-77;M-115;M-117;M-118;M-128,structural_profile_only_not_semantic
raw_lipi_numeric,L033,9,9,medial_core_candidate,medial_share=0.889,edge_share=0.111,1,8,0,0,0.111111,0.888889,0,0,0.603758,1.406614,0,0.249735,5,3,1.879965,0.986427,L520:5;<s>:1;L240:1;L760:1;L772:1,L705:7;L706:1;L832:1,M-44;M-54;M-64;M-86;M-117;M-118;M-122;M-135,structural_profile_only_not_semantic
raw_lipi_numeric,L705,9,9,medial_core_candidate,medial_share=0.778,edge_share=0.222,0,7,2,0,0,0.777778,0.222222,0,0,1.230788,1.207515,0.58254,3,8,0.986427,2.947703,L033:7;L255:1;L500:1,</s>:2;L002:1;L031:1;L220:1;L231:1,M-44;M-54;M-86;M-100;M-117;M-118;M-122;M-128,structural_profile_only_not_semantic
raw_lipi_numeric,L090,8,8,initial_operator_candidate,initial_share=1.000,,8,0,0,0,1,0,0,0,5.433824,0,0,0,1,1,0,0,<s>:8,L740:8,M-15;M-24;M-26;M-53;M-100;M-104;M-136;M-184,structural_profile_only_not_semantic
raw_lipi_numeric,L140,8,8,terminal_operator_candidate,terminal_share=0.625,medial_share=0.375,0,3,5,0,0,0.375,0.625,0,0,0.593415,3.39614,0.764881,8,4,3,1.548795,L136:1;L287:1;L390:1;L704:1;L706:1,</s>:5;L002:1;L176:1;L632:1,M-8;M-24;M-51;M-53;M-74;M-109;M-115;M-142,structural_profile_only_not_semantic
raw_lipi_numeric,L550,8,8,weak_or_mixed_positional_candidate,initial=0.000;medial=0.625;terminal=0.375,,0,5,3,0,0,0.625,0.375,0,0,0.989026,2.037684,0.71756,4,5,1.75,2.155639,L060:4;L527:2;L207:1;L798:1,</s>:3;L240:2;L390:1;L611:1;L820:1,M-42;M-56;M-63;M-82;M-108;M-133;M-149;M-158,structural_profile_only_not_semantic
raw_lipi_numeric,L692,8,8,terminal_operator_candidate,terminal_share=0.875,medial_share=0.125,0,1,7,0,0,0.125,0.875,0,0,0.197805,4.754596,0.946429,4,2,1.548795,0.543564,L060:5;L032:1;L362:1;L390:1,</s>:7;L032:1,M-5;M-21;M-26;M-69;M-70;M-134;M-146;M-171,structural_profile_only_not_semantic
raw_lipi_numeric,L031,7,7,weak_or_mixed_positional_candidate,initial=0.143;medial=0.571;terminal=0.286,,1,4,2,0,0.142857,0.571429,0.285714,0,0.77626,0.904253,1.552519,0.580952,7,5,2.807355,2.235926,<s>:1;L013:1;L016:1;L176:1;L220:1,</s>:2;L002:2;L001:1;L311:1;L908:1,M-9;M-65;M-90;M-135;M-136;M-155;M-160,structural_profile_only_not_semantic
