iteration,best_bridge_sign,best_bridge_edges,best_bridge_rows,target_terminal_next_fisher_p,bridge_ge_observed,terminal_next_le_observed
0,,0,0,7.428752809667428e-28,false,false
1,,0,0,3.0022914206625355e-19,false,false
2,,0,0,1.3291128254336666e-20,false,false
3,,0,0,9.137878586318815e-16,false,false
4,,0,0,2.2424827049486244e-25,false,false
5,,0,0,1.7321527265615504e-21,false,false
6,,0,0,3.4668419446231353e-17,false,false
7,,0,0,1.0844979074776522e-21,false,false
8,,0,0,3.5824673964099126e-13,false,false
9,,0,0,6.829142457459028e-16,false,false
10,000,0,0,1.2764204626468808e-15,false,false
11,,0,0,2.471346451568034e-18,false,false
12,740,0,0,1.9984704654615919e-16,false,false
13,,0,0,5.589045477113396e-27,false,false
14,,0,0,1.433450807738056e-25,false,false
15,,0,0,5.2207507453935735e-30,false,false
16,,0,0,1.350971551411826e-13,false,false
17,,0,0,1.2697374362571905e-19,false,false
18,,0,0,2.2202912578197396e-29,false,false
19,,0,0,4.857522975556716e-21,false,false
20,,0,0,3.6977153337963905e-23,false,false
21,,0,0,1.318562600407376e-17,false,false
22,,0,0,1.1816640445415548e-17,false,false
23,,0,0,8.426062292528608e-15,false,false
24,,0,0,5.421872418060578e-24,false,false
25,,0,0,2.780698430603593e-20,false,false
26,,0,0,2.258481988291553e-27,false,false
27,,0,0,5.7508361626220906e-18,false,false
28,,0,0,7.47337728472841e-27,false,false
29,,0,0,1.6101920505046123e-26,false,false
30,,0,0,1.2045092122496418e-26,false,false
31,740,0,0,9.800841914326471e-20,false,false
32,,0,0,7.35819521828473e-18,false,false
33,,0,0,4.616072886045866e-27,false,false
34,,0,0,2.6193780888955135e-25,false,false
35,,0,0,2.3552572523586935e-18,false,false
36,,0,0,1.5989126026402618e-13,false,false
37,,0,0,4.125102608905252e-20,false,false
38,,0,0,1.4422434172872796e-22,false,false
39,,0,0,2.5656762630148372e-15,false,false
40,,0,0,8.424630033930688e-24,false,false
41,,0,0,6.36776454278754e-27,false,false
42,,0,0,4.1342854193406375e-16,false,false
43,,0,0,1.8786563507496435e-29,false,false
44,,0,0,4.470138170965306e-22,false,false
45,,0,0,6.625422623627357e-20,false,false
46,000,0,0,3.031343606447206e-22,false,false
47,,0,0,1.0738577660514056e-18,false,false
48,,0,0,1.6411284201598895e-25,false,false
49,,0,0,2.6408081790302807e-19,false,false
