source_pool,source_hit,pool,sign,context_rows,background_rows,a,b,c,d,total,fisher_p
complete_only,any_520,complete_only,520,31,2153,6,25,164,1989,170,0.029172797916983427
complete_only,any_520,complete_only,168,31,2153,1,30,2,2151,3,0.041999818825635395
complete_only,any_520,complete_only,923,31,2153,2,29,24,2129,26,0.051304411217530266
complete_only,any_520,complete_only,285,31,2153,1,30,3,2150,4,0.055616510992696766
complete_only,any_520,complete_only,531,31,2153,1,30,3,2150,4,0.055616510992696766
complete_only,any_520,complete_only,456,31,2153,1,30,4,2149,5,0.06904581748760012
complete_only,any_520,complete_only,521,31,2153,1,30,4,2149,5,0.06904581748760012
complete_only,any_520,complete_only,440,31,2153,2,29,30,2123,32,0.07431367212807487
complete_only,any_520,complete_only,018,31,2153,1,30,5,2148,6,0.0822902321998351
complete_only,any_520,complete_only,221,31,2153,1,30,5,2148,6,0.0822902321998351
complete_only,any_520,complete_only,518,31,2153,1,30,5,2148,6,0.0822902321998351
non_poor_only,any_520,non_poor_only,861,31,1702,8,23,125,1577,133,0.0016960744246896254
non_poor_only,any_520,non_poor_only,002,31,1702,15,16,403,1299,418,0.0025997350984921187
non_poor_only,any_520,non_poor_only,232,31,1702,2,29,4,1698,6,0.004443705174544627
non_poor_only,any_520,non_poor_only,440,31,1702,3,28,24,1678,27,0.011340564916299098
non_poor_only,any_520,non_poor_only,041,31,1702,1,30,0,1702,1,0.01788805539527854
non_poor_only,any_520,non_poor_only,253,31,1702,1,30,0,1702,1,0.01788805539527854
non_poor_only,any_520,non_poor_only,280,31,1702,1,30,0,1702,1,0.01788805539527854
non_poor_only,any_520,non_poor_only,944,31,1702,1,30,0,1702,1,0.01788805539527854
non_poor_only,any_520,non_poor_only,335,31,1702,2,29,11,1691,13,0.02137192773139771
non_poor_only,any_520,non_poor_only,000,31,1702,7,24,159,1543,166,0.023659438109168145
non_poor_only,any_520,non_poor_only,520,31,1702,6,25,127,1575,133,0.02716124824167651
non_poor_only,any_520,non_poor_only,192,31,1702,1,30,1,1701,2,0.035466271493927844
non_poor_only,any_520,non_poor_only,168,31,1702,1,30,2,1700,3,0.05273983913323404
non_poor_only,any_520,non_poor_only,285,31,1702,1,30,2,1700,3,0.05273983913323404
non_poor_only,any_520,non_poor_only,791,31,1702,1,30,2,1700,3,0.05273983913323404
non_poor_only,any_520,non_poor_only,923,31,1702,2,29,21,1681,23,0.062068188802467075
non_poor_only,any_520,non_poor_only,521,31,1702,1,30,3,1699,4,0.0697138651372582
non_poor_only,any_520,non_poor_only,504,31,1702,1,30,4,1698,5,0.08639337362805467
non_poor_only,any_520,non_poor_only,760,31,1702,3,28,60,1642,63,0.09999872054751797
non_poor_only,any_520,non_poor_only,018,31,1702,1,30,5,1697,6,0.10278330731871478
without_mohenjo,any_520,without_mohenjo,440,17,1954,3,14,19,1935,22,0.0007423722898156648
without_mohenjo,any_520,without_mohenjo,060,17,1954,5,12,93,1861,98,0.0010538097655122785
without_mohenjo,any_520,without_mohenjo,253,17,1954,1,16,0,1954,1,0.008625063419588236
without_mohenjo,any_520,without_mohenjo,280,17,1954,1,16,0,1954,1,0.008625063419588236
without_mohenjo,any_520,without_mohenjo,518,17,1954,1,16,0,1954,1,0.008625063419588236
without_mohenjo,any_520,without_mohenjo,192,17,1954,1,16,1,1953,2,0.017180075562676055
without_mohenjo,any_520,without_mohenjo,521,17,1954,1,16,1,1953,2,0.017180075562676055
without_mohenjo,any_520,without_mohenjo,531,17,1954,1,16,1,1953,2,0.017180075562676055
without_mohenjo,any_520,without_mohenjo,285,17,1954,1,16,2,1952,3,0.0256655700855306
without_mohenjo,any_520,without_mohenjo,692,17,1954,2,15,31,1923,33,0.0316068624715545
without_mohenjo,any_520,without_mohenjo,791,17,1954,1,16,3,1951,4,0.03408207684806431
without_mohenjo,any_520,without_mohenjo,741,17,1954,3,14,84,1870,87,0.03607334322643109
without_mohenjo,any_520,without_mohenjo,221,17,1954,1,16,4,1950,5,0.04243012193880612
without_mohenjo,any_520,without_mohenjo,232,17,1954,1,16,4,1950,5,0.04243012193880612
without_mohenjo,any_520,without_mohenjo,002,17,1954,6,11,316,1638,322,0.04553109437303232
without_mohenjo,any_520,without_mohenjo,861,17,1954,3,14,93,1861,96,0.04633875272105433
without_mohenjo,any_520,without_mohenjo,921,17,1954,1,16,7,1947,8,0.06706869202188447
without_mohenjo,any_520,without_mohenjo,920,17,1954,2,15,54,1900,56,0.08211648311742974
without_mohenjo,any_520,without_mohenjo,031,17,1954,3,14,119,1835,122,0.0833172172813487
without_mohenjo,any_520,without_mohenjo,070,17,1954,1,16,14,1940,15,0.12225827344025965
without_harappa,any_520,without_harappa,520,39,2282,9,30,163,2119,172,0.0016591067889499384
without_harappa,any_520,without_harappa,002,39,2282,18,21,557,1725,575,0.002763895020192043
without_harappa,any_520,without_harappa,621,39,2282,3,36,17,2265,20,0.004104948200186574
without_harappa,any_520,without_harappa,861,39,2282,8,31,155,2127,163,0.004679869457624862
without_harappa,any_520,without_harappa,921,39,2282,2,37,8,2274,10,0.011373092587777162
without_harappa,any_520,without_harappa,440,39,2282,3,36,26,2256,29,0.011853188292500176
without_harappa,any_520,without_harappa,923,39,2282,3,36,28,2254,31,0.014247892801012388
without_harappa,any_520,without_harappa,335,39,2282,2,37,10,2272,12,0.01633067224181445
without_harappa,any_520,without_harappa,860,39,2282,1,38,0,2282,1,0.016803102111149992
without_harappa,any_520,without_harappa,944,39,2282,1,38,0,2282,1,0.016803102111149992
without_harappa,any_520,without_harappa,041,39,2282,1,38,1,2281,2,0.033330980998041417
without_harappa,any_520,without_harappa,168,39,2282,1,38,2,2280,3,0.049588027889288955
without_harappa,any_520,without_harappa,817,39,2282,5,34,121,2161,126,0.05695506386138621
without_harappa,any_520,without_harappa,018,39,2282,1,38,3,2279,4,0.06557856581510707
without_harappa,any_520,without_harappa,531,39,2282,1,38,3,2279,4,0.06557856581510707
without_harappa,any_520,without_harappa,285,39,2282,1,38,4,2278,5,0.08130685063725196
without_harappa,any_520,without_harappa,456,39,2282,1,38,4,2278,5,0.08130685063725196
without_harappa,any_520,without_harappa,504,39,2282,1,38,4,2278,5,0.08130685063725196
without_harappa,any_520,without_harappa,791,39,2282,1,38,4,2278,5,0.08130685063725196
without_harappa,any_520,without_harappa,232,39,2282,1,38,5,2277,6,0.09677707206427774
mohenjo_only,any_520,mohenjo_only,520,29,1503,8,21,116,1387,124,0.001477750897189305
mohenjo_only,any_520,mohenjo_only,621,29,1503,3,26,16,1487,19,0.004823589580768715
mohenjo_only,any_520,mohenjo_only,335,29,1503,2,27,5,1498,7,0.00685322881996059
mohenjo_only,any_520,mohenjo_only,923,29,1503,3,26,26,1477,29,0.016014414749546912
mohenjo_only,any_520,mohenjo_only,860,29,1503,1,28,0,1503,1,0.01892950391645315
mohenjo_only,any_520,mohenjo_only,944,29,1503,1,28,0,1503,1,0.01892950391645315
mohenjo_only,any_520,mohenjo_only,002,29,1503,13,16,388,1115,401,0.021934926357429534
mohenjo_only,any_520,mohenjo_only,041,29,1503,1,28,1,1502,2,0.03751281181091946
mohenjo_only,any_520,mohenjo_only,168,29,1503,1,28,2,1501,3,0.05575603302498356
mohenjo_only,any_520,mohenjo_only,861,29,1503,5,24,108,1395,113,0.056924456838279465
mohenjo_only,any_520,mohenjo_only,018,29,1503,1,28,3,1500,4,0.07366517301336789
mohenjo_only,any_520,mohenjo_only,456,29,1503,1,28,3,1500,4,0.07366517301336789
mohenjo_only,any_520,mohenjo_only,504,29,1503,1,28,3,1500,4,0.07366517301336789
mohenjo_only,any_520,mohenjo_only,232,29,1503,1,28,4,1499,5,0.09124613504371981
mohenjo_only,any_520,mohenjo_only,250,29,1503,1,28,4,1499,5,0.09124613504371981
mohenjo_only,any_520,mohenjo_only,817,29,1503,4,25,90,1413,94,0.09725601666364701
mohenjo_only,any_520,mohenjo_only,136,29,1503,1,28,5,1498,6,0.10850472187015275
mohenjo_only,any_520,mohenjo_only,510,29,1503,1,28,6,1497,7,0.12544663737872164
mohenjo_only,any_520,mohenjo_only,072,29,1503,1,28,7,1496,8,0.14207748820916563
mohenjo_only,any_520,mohenjo_only,772,29,1503,1,28,7,1496,8,0.14207748820916563
all_initial_only,initial_520,all_initial_only,520,46,3457,10,36,214,3243,224,0.0004944211765318167
all_initial_only,initial_520,all_initial_only,002,46,3457,19,27,704,2753,723,0.0010776286028015938
all_initial_only,initial_520,all_initial_only,440,46,3457,4,42,38,3419,42,0.002023561997980589
all_initial_only,initial_520,all_initial_only,621,46,3457,3,43,19,3438,22,0.002740870514081367
all_initial_only,initial_520,all_initial_only,861,46,3457,8,38,201,3256,209,0.005117622477673606
all_initial_only,initial_520,all_initial_only,232,46,3457,2,44,8,3449,10,0.007100370460476225
all_initial_only,initial_520,all_initial_only,923,46,3457,3,43,32,3425,35,0.010340923546947179
all_initial_only,initial_520,all_initial_only,253,46,3457,1,45,0,3457,1,0.013131601484421225
all_initial_only,initial_520,all_initial_only,280,46,3457,1,45,0,3457,1,0.013131601484421225
all_initial_only,initial_520,all_initial_only,860,46,3457,1,45,0,3457,1,0.013131601484421225
all_initial_only,initial_520,all_initial_only,944,46,3457,1,45,0,3457,1,0.013131601484421225
all_initial_only,initial_520,all_initial_only,921,46,3457,2,44,14,3443,16,0.018010390518441707
all_initial_only,initial_520,all_initial_only,041,46,3457,1,45,1,3456,2,0.026094464514521357
all_initial_only,initial_520,all_initial_only,168,46,3457,1,45,2,3455,3,0.038890709768130305
all_initial_only,initial_520,all_initial_only,335,46,3457,2,44,24,3433,26,0.04490276973558511
all_initial_only,initial_520,all_initial_only,192,46,3457,1,45,3,3454,4,0.051522431868041015
all_initial_only,initial_520,all_initial_only,531,46,3457,1,45,3,3454,4,0.051522431868041015
all_initial_only,initial_520,all_initial_only,285,46,3457,1,45,4,3453,5,0.06399169969765627
all_initial_only,initial_520,all_initial_only,521,46,3457,1,45,4,3453,5,0.06399169969765627
all_initial_only,initial_520,all_initial_only,817,46,3457,5,41,168,3289,173,0.0741315404468673
seal_s_initial_only,initial_520,seal_s_initial_only,520,39,1506,9,30,142,1364,151,0.010416253972437355
seal_s_initial_only,initial_520,seal_s_initial_only,621,39,1506,3,36,18,1488,21,0.01444476606281365
seal_s_initial_only,initial_520,seal_s_initial_only,232,39,1506,2,37,7,1499,9,0.019990118525045137
seal_s_initial_only,initial_520,seal_s_initial_only,335,39,1506,2,37,7,1499,9,0.019990118525045137
seal_s_initial_only,initial_520,seal_s_initial_only,700,39,1506,2,37,8,1498,10,0.024592610510798852
seal_s_initial_only,initial_520,seal_s_initial_only,041,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_initial_only,initial_520,seal_s_initial_only,253,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_initial_only,initial_520,seal_s_initial_only,280,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_initial_only,initial_520,seal_s_initial_only,860,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_initial_only,initial_520,seal_s_initial_only,944,39,1506,1,38,0,1506,1,0.025242718446601947
seal_s_initial_only,initial_520,seal_s_initial_only,440,39,1506,3,36,25,1481,28,0.03150285439342697
seal_s_initial_only,initial_520,seal_s_initial_only,221,39,1506,1,38,1,1505,2,0.04986417827852879
seal_s_initial_only,initial_520,seal_s_initial_only,002,39,1506,17,22,468,1038,485,0.07098276766535808
seal_s_initial_only,initial_520,seal_s_initial_only,168,39,1506,1,38,2,1504,3,0.07387927681835765
seal_s_initial_only,initial_520,seal_s_initial_only,192,39,1506,1,38,2,1504,3,0.07387927681835765
seal_s_initial_only,initial_520,seal_s_initial_only,285,39,1506,1,38,2,1504,3,0.07387927681835765
seal_s_initial_only,initial_520,seal_s_initial_only,456,39,1506,1,38,2,1504,3,0.07387927681835765
seal_s_initial_only,initial_520,seal_s_initial_only,018,39,1506,1,38,3,1503,4,0.09730256359149908
seal_s_initial_only,initial_520,seal_s_initial_only,521,39,1506,1,38,3,1503,4,0.09730256359149908
seal_s_initial_only,initial_520,seal_s_initial_only,531,39,1506,1,38,3,1503,4,0.09730256359149908
