checked_date,object,row_id,site,type,symbol,condition,complete,route,x,terminal,tail,total_length,prefix_length_before_frame,text
2026-05-31,H-1993,744.2,Harappa,TAB:B,None,Poor,N,terminal_classifier,095,true,<END>,7,4,+740-000-220-004-002-390-095+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,Bull1:I,Fair,Y,terminal_classifier,072,true,<END>,7,4,+090-740-220-003-002-390-072+
2026-05-31,H-773,1665.1,Harappa,TAB:B,None,Fair,Y,linker_complement,530,false,741,7,3,+740-798-803-002-390-530-741+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,Good,Y,linker_complement,125,false,632-032,13,8,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,Bull1:T,Poor,Y,terminal_classifier,692,true,<END>,5,2,+226-032-002-390-692+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,Bull1:J,Good,Y,terminal_classifier,095,true,<END>,6,3,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,Good,Y,linker_complement,125,false,632-032-900-563,10,3,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,2737.1,Mohenjo-daro,SEAL:S,Bull1:J,Fair,Y,terminal_classifier,346,true,<END>,5,2,+740-384-002-390-346+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,Bull2,Good,Y,terminal_classifier,707,true,<END>,4,1,+236-002-390-707+
2026-05-31,M-708,3134.1,Mohenjo-daro,SEAL:S,Bull1:W,Fair,Y,terminal_classifier,140,true,<END>,5,2,+740-061-002-390-140+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,Poor,Y,linker_complement,125,false,195,7,3,+740-760-235-002-390-125-195+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,Bull1:J,Good,Y,linker_complement,590,false,032,7,3,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,Poor,Y,linker_complement,125,false,820,6,2,+390-004-002-390-125-820+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,Bull1,Fair,Y,terminal_classifier,705,true,<END>,5,2,+157-031-002-390-705+
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,Bull1:I,Fair,Y,terminal_classifier,705,true,<END>,6,3,+151-032-388-002-390-705+
