"description_series","analysis_set","rows","examples"
"I","manual_count_disagreement","3","M-4;M-7;M-10"
"I","strict_formula_subset","6","M-1;M-3;M-5;M-6;M-8;M-9"
"II","manual_collation_required","3","M-19;M-22;M-27"
"II","manual_count_disagreement","2","M-20;M-25"
"II","sensitivity_flag_subset","2","M-23;M-28"
"II","strict_formula_subset","12","M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-21;M-24;M-26;M-29;M-30"
"III","clean_but_not_strict_formula_subset","1","M-66"
"III","manual_collation_required","6","M-39;M-55;M-60;M-61;M-62;M-73"
"III","manual_count_disagreement","3","M-41;M-45;M-72"
"III","sensitivity_flag_subset","4","M-49;M-50;M-67;M-68"
"III","strict_formula_subset","31","M-31;M-32;M-33;M-34;M-35;M-36;M-37;M-38;M-40;M-42;M-43;M-44"
"IV","clean_but_not_strict_formula_subset","1","M-137"
"IV","manual_collation_required","6","M-105;M-106;M-110;M-120;M-126;M-141"
"IV","manual_count_disagreement","5","M-81;M-98;M-111;M-161;M-162"
"IV","sensitivity_flag_subset","5","M-79;M-125;M-165;M-167;M-169"
"IV","strict_formula_subset","79","M-77;M-78;M-80;M-82;M-83;M-84;M-85;M-86;M-87;M-88;M-89;M-90"
"V","manual_collation_required","1","M-175"
"V","sensitivity_flag_subset","1","M-176"
"V","strict_formula_subset","8","M-177;M-178;M-179;M-180;M-181;M-182;M-183;M-184"
