"corpus","scope","holdout_policy","control","iteration","stored_win_share","mean_diff"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","1","0.487764","-0.009755"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","2","0.49277","-0.015365"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","3","0.493882","0.014655"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","4","0.498888","-0.004028"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","5","0.483315","-0.000097"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","6","0.511123","0.029889"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","7","0.486652","-0.008462"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","8","0.493326","-0.000447"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","9","0.499444","0.018766"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","10","0.472747","-0.012183"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","11","0.493882","0.005308"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","12","0.486652","0.000562"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","13","0.505006","0.010211"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","14","0.497219","0.001771"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","15","0.482202","-0.008408"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","16","0.496107","0.023902"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","17","0.479422","-0.013171"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","18","0.468298","0.004042"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","19","0.511123","0.029751"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","20","0.486096","-0.003102"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","21","0.491101","-0.012534"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","22","0.470523","-0.026323"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","23","0.50723","-0.001466"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","24","0.474416","-0.008719"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","25","0.501112","0.008"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","26","0.496107","0.017548"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","27","0.490545","-0.006361"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","28","0.483871","-0.016339"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","29","0.48109","-0.02045"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","30","0.479978","0.006477"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","31","0.497219","0.006358"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","32","0.479978","0.007522"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","33","0.502225","0.011124"
"Indus_Lipi","exact_text_collapsed","leave_one_unit_out","global_token_shuffle","34","0.48109","-0.01189"
