"family","control","metric","iterations","observed_value","null_mean","null_p05","null_median","null_p95","null_max","observed_minus_null_mean","null_ge_observed_share","null_le_observed_share"
"simple_matched_shuffles","length_frequency_shuffle","stored_higher_share","20","0.948276","0.494735","0.480664","0.492795","0.509475","0.51912","0.453541","0","1"
"simple_matched_shuffles","length_frequency_shuffle","bidirectional_top1_accuracy","20","0.325865","0.097481","0.095488","0.097688","0.099074","0.099283","0.228384","0","1"
"simple_matched_shuffles","length_frequency_shuffle","bidirectional_top5_accuracy","20","0.567828","0.227814","0.223077","0.228031","0.231682","0.231887","0.340014","0","1"
"simple_matched_shuffles","edge_position_shuffle","stored_higher_share","20","0.948276","0.936035","0.929825","0.936084","0.942496","0.943287","0.012241","0","1"
"simple_matched_shuffles","edge_position_shuffle","bidirectional_top1_accuracy","20","0.325865","0.109609","0.10629","0.109206","0.114205","0.115115","0.216256","0","1"
"simple_matched_shuffles","edge_position_shuffle","bidirectional_top5_accuracy","20","0.567828","0.296928","0.292661","0.296639","0.302438","0.303621","0.2709","0","1"
"simple_matched_shuffles","edge_frame_template_shuffle","stored_higher_share","20","0.948276","0.939348","0.935562","0.939838","0.941143","0.942944","0.008928","0","1"
"simple_matched_shuffles","edge_frame_template_shuffle","bidirectional_top1_accuracy","20","0.325865","0.126095","0.123284","0.126053","0.128499","0.13021","0.19977","0","1"
"simple_matched_shuffles","edge_frame_template_shuffle","bidirectional_top5_accuracy","20","0.567828","0.301071","0.296741","0.300713","0.305655","0.3082","0.266757","0","1"
"simple_matched_shuffles","position_slot_shuffle","stored_higher_share","20","0.948276","0.9401","0.933476","0.940665","0.945534","0.947028","0.008176","0","1"
"simple_matched_shuffles","position_slot_shuffle","bidirectional_top1_accuracy","20","0.325865","0.144034","0.140716","0.144054","0.14668","0.147241","0.181831","0","1"
"simple_matched_shuffles","position_slot_shuffle","bidirectional_top5_accuracy","20","0.567828","0.312283","0.308627","0.312546","0.316242","0.318375","0.255545","0","1"
"structured_nonlinguistic_codes","duplicate_matched_position_slots","stored_higher_share","20","0.948276","0.949638","0.940461","0.949944","0.95609","0.956618","-0.001362","0.6","0.45"
"structured_nonlinguistic_codes","duplicate_matched_position_slots","bidirectional_top1_accuracy","20","0.325865","0.145622","0.138669","0.146432","0.151455","0.15319","0.180243","0","1"
"structured_nonlinguistic_codes","duplicate_matched_position_slots","bidirectional_top5_accuracy","20","0.567828","0.315136","0.303038","0.317279","0.322126","0.32282","0.252692","0","1"
"structured_nonlinguistic_codes","administrative_register_code","stored_higher_share","20","0.948276","0.990823","0.987708","0.990823","0.993938","0.994994","-0.042547","1","0"
"structured_nonlinguistic_codes","administrative_register_code","bidirectional_top1_accuracy","20","0.325865","0.472924","0.461842","0.472602","0.482233","0.484778","-0.147059","1","0"
"structured_nonlinguistic_codes","administrative_register_code","bidirectional_top5_accuracy","20","0.567828","0.689838","0.68459","0.690636","0.693509","0.693741","-0.12201","1","0"
"structured_nonlinguistic_codes","emblem_formula_code","stored_higher_share","20","0.948276","0.987236","0.984427","0.987208","0.990017","0.990545","-0.03896","1","0"
"structured_nonlinguistic_codes","emblem_formula_code","bidirectional_top1_accuracy","20","0.325865","0.443351","0.433902","0.443497","0.453915","0.455188","-0.117486","1","0"
"structured_nonlinguistic_codes","emblem_formula_code","bidirectional_top5_accuracy","20","0.567828","0.692353","0.687616","0.693071","0.697278","0.697394","-0.124525","1","0"
"structured_nonlinguistic_codes","mixed_admin_emblem_code","stored_higher_share","20","0.948276","0.982258","0.977503","0.983037","0.987264","0.98832","-0.033982","1","0"
"structured_nonlinguistic_codes","mixed_admin_emblem_code","bidirectional_top1_accuracy","20","0.325865","0.415069","0.40517","0.414332","0.425189","0.426693","-0.089204","1","0"
"structured_nonlinguistic_codes","mixed_admin_emblem_code","bidirectional_top5_accuracy","20","0.567828","0.662652","0.655644","0.663906","0.668838","0.669995","-0.094824","1","0"
