key,x,site,type,head,tail_after_x,all_terminal,any_terminal,rows,examples
000|861,000,Allahdino:1;Shikarpur:1,MISC:1;POT:T:p:1,861,<END>,true,true,2,Ad-8;-:5541.1
350|297,350,Bala-kot:1;Nausharo:1,SEAL:R:1;SEAL:S:1,297,125 413,false,false,2,Blk-1;Ns-60
634|368,634,Bala-kot:1,SEAL:S:1,368,<END>,true,true,1,Blk-2
550|368,550,Banawali:1,SEAL:S:1,368,821,false,false,1,B-1
072|308,072,Banawali:1,SEAL:S:1,308,<END>,true,true,1,B-17
003|906,003,Chanhu-daro:1,SEAL:S:1,906,<END>,true,true,1,C-71
530|296,530,Chanhu-daro:1,SEAL:S:1,296,000,false,false,1,C-57
287|365,287,Chanhu-daro:1,SEAL:S:1,365,034,false,false,1,C-1
317|920,317,Chanhu-daro:1;Lothal:1;Mohenjo-daro:1,SEAL:S:2;TAG:1,920,<END>,true,true,3,C-3;L-190;M-44
741|298,741,Chanhu-daro:1;Unknown:1,SEAL:S:2,298,<END>,true,true,2,C-5;-:5572.1
500|031,500,Chanhu-daro:1,SEAL:S:1,031,<END>,true,true,1,C-6
740|892,740,Desalpur:1,TAG:1,892,<END>,true,true,1,Dlp-3
550|257,550,Baror:1,SEAL:S:1,257,<END>,true,true,1,-:216.1
000|297,000,Harappa:1,SEAL:S:1,297,<END>,true,true,1,H-1038
032|862,032,Harappa:1,SEAL:S:1,862,<END>,true,true,1,H-1033
491|920,491,Harappa:1,TAB:B:1,920,<END>,true,true,1,H-811
455|220,455,Harappa:3;Mohenjo-daro:2,SEAL:S:4;TAB:B:1,220,000,false,false,5,H-1874;H-82;H-268;M-29;M-147
416|861,416,Harappa:1,TAB:I:1,861,<END>,true,true,1,H-910
420|455,420,Harappa:1,SEAL:S:1,455,032,false,false,1,H-1671
861|003,861,Harappa:1,POT:T:g:1,003,<END>,true,true,1,-:543.1
000|575,000,Harappa:3,POT:T:g:2;SEAL:S:1,575,<END>,true,true,3,H-2338;-:617.1;H-78
360|293,360,Harappa:1,SEAL:R:1,293,<END>,true,true,1,H-1706
095|390,095,Harappa:1;Mohenjo-daro:1,SEAL:S:1;TAB:B:1,390,<END>,true,true,2,H-1993;M-71
921|690,921,Harappa:2,SEAL:S:2,690,<END>,true,true,2,H-1657;H-8
615|611,615,Harappa:1,SEAL:S:1,611,703,false,false,1,H-3
321|405,321,Harappa:1,SEAL:S:1,405,<END>,true,true,1,H-22
374|365,374,Harappa:1,SEAL:S:1,365,000,false,false,1,H-31
892|031,892,Harappa:1;Mohenjo-daro:1,SEAL:S:2,031,<END>,true,true,2,H-44;M-1745
125|861,125,Harappa:1,SEAL:S:1,861,<END>,true,true,1,H-55
072|390,072,Harappa:1,SEAL:S:1,390,<END>,true,true,1,H-68
125|610,125,Harappa:1;Mohenjo-daro:1,SEAL:S:2,610,032,false,false,2,H-74;M-1665
244|861,244,Harappa:1,SEAL:R:1,861,165,false,false,1,H-129
812|595,812,Harappa:1,SEAL:R:1,595,125 717,false,false,1,H-130
575|595,575,Harappa:1,SEAL:R:1,595,794 000,false,false,1,H-131
235|233,235,Harappa:1,SEAL:R:1,233,<END>,true,true,1,H-141
501|405,501,Harappa:1,TAB:B:1,405,<END>,true,true,1,H-1155
032|305,032,Harappa:1,SEAL:S:1,305,904,false,false,1,H-272
632|595,632,Harappa:1,SEAL:S:1,595,354 850,false,false,1,H-385
480|031,480,Harappa:1;Mohenjo-daro:1,SEAL:S:1;TAB:B:1,031,<END>,false,true,2,H-389;M-1386
503|702,503,Harappa:1,SEAL:S:1,702,<END>,true,true,1,H-408
511|460,511,Harappa:1,SEAL:S:1,460,<END>,true,true,1,H-426
216|861,216,Harappa:1,SEAL:S:1,861,<END>,true,true,1,H-446
032|172,032,Harappa:1,SEAL:S:1,172,<END>,true,true,1,H-455
808|817,808,Harappa:1,SEAL:S:1,817,<END>,true,true,1,H-456
000|452,000,Harappa:1,SEAL:S:1,452,<END>,true,true,1,H-461
590|798,590,Harappa:1,SEAL:S:1,798,032,false,false,1,H-464
705|940,705,Harappa:1,SEAL:S:1,940,<END>,true,true,1,H-468
861|000,861,Harappa:1,SEAL:S:1,000,031,false,false,1,H-486
000|220,000,Harappa:1,SEAL:S:1,220,<END>,true,true,1,H-593
255|435,255,Harappa:1,SEAL:S:1,435,777,false,false,1,H-598
260|368,260,Harappa:1;Mohenjo-daro:1,SEAL:S:2,368,<END>,true,true,2,H-600;M-1789
000|817,000,Harappa:1;Kalibangan:1;Mohenjo-daro:1,SEAL:S:2;TAG:1,817,<END>,true,true,3,H-609;M-692;K-155
590|125,590,Harappa:1,SEAL:S:1,125,<END>,true,true,1,H-611
747|717,747,Harappa:1,SEAL:R:1,717,<END>,true,true,1,H-639
831|861,831,Harappa:1,SEAL:1,861,165,false,false,1,H-688
530|390,530,Harappa:1,TAB:B:1,390,741,false,false,1,H-773
000|820,000,Harappa:1;Mohenjo-daro:1,SEAL:S:1;TAB:I:1,820,<END>,true,true,2,H-909;M-1045
060|741,060,Kalibangan:1;Mohenjo-daro:1,SEAL:S:2,741,920,false,false,2,K-4;M-1114
861|368,861,Kalibangan:1,SEAL:S:1,368,590 032 368,false,false,1,K-10
463|762,463,Kalibangan:1,SEAL:S:1,762,140,false,false,1,K-18
033|820,033,Kalibangan:1,SEAL:S:1,820,<END>,true,true,1,K-23
575|252,575,Kalibangan:1,SEAL:S:1,252,<END>,true,true,1,K-24
065|220,065,Mohenjo-daro:2;Kalibangan:1,SEAL:S:3,220,132 082,false,false,3,K-25;M-46;M-140
491|285,491,Kalibangan:1,SEAL:S:1,285,<END>,true,true,1,K-28
791|861,791,Kalibangan:1,SEAL:S:1,861,440 717,false,false,1,K-40
000|000,000,Kalibangan:1;Mohenjo-daro:1;Nausharo:1,POT:T:g:1;SEAL:1;SEAL:S:1,000,<END>,true,true,3,K-44;M-1995;Ns-67
091|056,091,Kalibangan:1,TAG:1,056,<END>,true,true,1,K-156
832|360,832,Kalibangan:1,TAG:L:1,360,<END>,true,true,1,K-89
390|595,390,Kalibangan:1,TAG:L:1,595,000,false,false,1,K-89
590|392,590,Lohumjo-daro:1,SEAL:S:1,392,125,false,false,1,Lh-1
095|812,095,Lothal:1,SEAL:S:1,812,<END>,true,true,1,L-1
031|575,031,Lothal:1,SEAL:S:1,575,<END>,true,true,1,L-4
692|455,692,Lothal:1,SEAL:S:1,455,416,false,false,1,L-5
035|130,035,Mohenjo-daro:2;Lothal:1,SEAL:S:3,130,<END>,false,true,3,L-12;M-699;M-1112
626|861,626,Lothal:1,SEAL:S:1,861,<END>,true,true,1,L-39
392|861,392,Lothal:1,SEAL:S:1,861,<END>,true,true,1,L-46
055|798,055,Lothal:1,SEAL:S:1,798,<END>,true,true,1,L-47
590|540,590,Lothal:1,SEAL:R:1,540,<END>,true,true,1,L-112
840|368,840,Lothal:1,TAG:1,368,900,false,false,1,L-213
892|269,892,Mohenjo-daro:1,SEAL:S:1,269,810 033,false,false,1,M-1766
031|000,031,Mohenjo-daro:1,POT:T:g:1,000,<END>,true,true,1,M-2005
096|861,096,Mohenjo-daro:1,ROD:1,861,<END>,true,true,1,M-2089
504|595,504,Mohenjo-daro:1,SEAL:S:1,595,803,false,false,1,M-1676
125|190,125,Mohenjo-daro:1,SEAL:S:1,190,632 032,false,false,1,M-1692
220|286,220,Mohenjo-daro:1,SEAL:S:1,286,031 012 031 455 033 590,false,false,1,M-1688
001|820,001,Mohenjo-daro:1,SEAL:S:1,820,440 012,false,false,1,M-1677
683|861,683,Mohenjo-daro:1,SEAL:S:1,861,<END>,true,true,1,M-1674
033|093,033,Mohenjo-daro:1,SEAL:S:1,093,<END>,true,true,1,M-1765
705|320,705,Mohenjo-daro:1,SEAL:S:1,320,125,false,false,1,M-1668
