"type","multi_side_rows","short_mark_rows","long_text_rows","multi_side_artifacts"
"TAB:I","787","273","208","376"
"TAB:B","762","239","271","373"
"SEAL:S","65","10","24","25"
"TAB:C","76","5","34","38"
"SEAL:R","16","5","8","8"
"MISC","8","3","0","4"
"POT:T:g","10","2","1","5"
"IMPL","8","1","5","4"
"SEAL:CY","2","1","1","1"
"TAG","34","0","4","15"
"TAG:L","16","0","1","5"
"TAG:W","5","0","0","2"
"TAG:P","4","0","0","1"
"TAG:R","3","0","0","1"
"BNGL","2","0","0","1"
"MDLN","2","0","0","1"
"ROD","2","0","0","1"
"SEAL","2","0","1","1"
"SEAL:C","2","0","0","1"
"TAG:C","2","0","0","1"
