sign,cisi,site,type,symbol,shape,register_key,text,index,prev2,next2,terminal,inside_533_717,after_002_861
533,M-376,Mohenjo-daro,SEAL:R,None,cuboid-convex,Mohenjo-daro|SEAL:R|None|cuboid-convex,+740-100-176-002-861-533-717+,5,002 861,717,False,True,True
533,M-391,Mohenjo-daro,SEAL:R,None,cuboid-convex,Mohenjo-daro|SEAL:R|None|cuboid-convex,+405-845-686-740-793-003-233-805-002-861-533-717+,10,002 861,717,False,True,True
717,Blk-2,Bala-kot,SEAL:S,Bull1,square,Bala-kot|SEAL:S|Bull1|square,+390-717-061-002-368-634+,1,390,061 002,False,False,False
717,C-69,Chanhu-daro,SEAL:S,Bull1:J,square,Chanhu-daro|SEAL:S|Bull1:J|square,+390-844-060-575-717+,4,060 575,<END>,True,False,False
717,C-5,Chanhu-daro,SEAL:S,Bull1:I,square,Chanhu-daro|SEAL:S|Bull1:I|square,+740-140-717-002-298-741+,2,740 140,002 298,False,False,False
717,-,Dholavira,SEAL:R,None,rectangular,Dholavira|SEAL:R|None|rectangular,+154-388-717-705+,2,154 388,705,False,False,False
717,H-2174,Harappa,TAB:I,Fish,rectangular-round,Harappa|TAB:I|Fish|rectangular-round,+090-100-415-717+,3,100 415,<END>,True,False,False
717,H-1854,Harappa,TAB:B,None,rectangular,Harappa|TAB:B|None|rectangular,+400-740-717+,2,400 740,<END>,True,False,False
717,H-2136,Harappa,TAB:I,None,rectangular,Harappa|TAB:I|None|rectangular,+400-740-717+,2,400 740,<END>,True,False,False
717,H-1945,Harappa,TAB:B,Fish,prism,Harappa|TAB:B|Fish|prism,+400-740-388-717-705+,3,740 388,705,False,False,False
717,H-63,Harappa,SEAL:S,Bull1:W,square,Harappa|SEAL:S|Bull1:W|square,+740-100-717+,2,740 100,<END>,True,False,False
717,H-130,Harappa,SEAL:R,None,rectangular,Harappa|SEAL:R|None|rectangular,+409-032-845-033-705-231-806-002-595-812-125-717+,11,812 125,<END>,True,False,False
717,H-178,Harappa,TAB:B,Anth,cylindrical,Harappa|TAB:B|Anth|cylindrical,+400-740-717+,2,400 740,<END>,True,False,False
717,H-271,Harappa,SEAL:S,Bull1,square,Harappa|SEAL:S|Bull1|square,+595-420-717-745+,2,595 420,745,False,False,False
717,H-328,Harappa,TAB:I,None,crescent,Harappa|TAB:I|None|crescent,+400-741-717-235+,2,400 741,235,False,False,False
717,H-601,Harappa,SEAL:S,Bull1,square,Harappa|SEAL:S|Bull1|square,+740-717-233-220-032+,1,740,233 220,False,False,False
717,H-639,Harappa,SEAL:R,None,cuboid-convex,Harappa|SEAL:R|None|cuboid-convex,+407-000-000-705-832-904-845-235-002-717-747+,9,235 002,747,False,False,False
717,H-643,Harappa,SEAL:R,None,cuboid-convex,Harappa|SEAL:R|None|cuboid-convex,+154-388-717-000+,2,154 388,000,False,False,False
717,H-764,Harappa,TAB:B,None,rectangular,Harappa|TAB:B|None|rectangular,+740-717-790+,1,740,790,False,False,False
717,H-765,Harappa,TAB:B,None,rectangular,Harappa|TAB:B|None|rectangular,+740-717-790+,1,740,790,False,False,False
717,K-11,Kalibangan,SEAL:S,Bull1:S,square,Kalibangan|SEAL:S|Bull1:S|square,+740-717-415-790-900+,1,740,415 790,False,False,False
717,K-40,Kalibangan,SEAL:S,Elep,square,Kalibangan|SEAL:S|Elep|square,+760-031-002-861-791-440-717+,6,791 440,<END>,True,False,False
717,K-81,Kalibangan,TAG:L,-,-,Kalibangan|TAG:L|-|-,+740-100-000-717-032-000+,3,100 000,032 000,False,False,False
717,Lh-1,Lohumjo-daro,SEAL:S,Bull1:S,square,Lohumjo-daro|SEAL:S|Bull1:S|square,+740-760-615-104-717-235-002-392-590-125+,4,615 104,235 002,False,False,False
717,M-1680,Mohenjo-daro,SEAL:S,Bull1:W,square,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-717-220-415+,1,740,220 415,False,False,False
717,M-1798,Mohenjo-daro,SEAL:S,Bull1:W,square,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-717+,1,740,<END>,True,False,False
717,M-1985,Mohenjo-daro,SEAL:R,None,rectangular,Mohenjo-daro|SEAL:R|None|rectangular,+100-904-717-220-415-806-742+,2,100 904,220 415,False,False,False
717,M-1667,Mohenjo-daro,SEAL:S,Bull1:W,square,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-690-435-255-220-032-002-717-820+,7,032 002,820,False,False,False
717,M-3,Mohenjo-daro,SEAL:S,Bull1:W,square,Mohenjo-daro|SEAL:S|Bull1:W|square,+717-032-521+,0,<START>,032 521,False,False,False
717,M-52,Mohenjo-daro,SEAL:S,Bull1:W,square,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-904-032-220-415-235-803-002-504-717+,9,002 504,<END>,True,False,False
717,M-216,Mohenjo-daro,SEAL:S,Bull1:U,square,Mohenjo-daro|SEAL:S|Bull1:U|square,+151-717+,1,151,<END>,True,False,False
717,M-275,Mohenjo-daro,SEAL:S,Rhin,square,Mohenjo-daro|SEAL:S|Rhin|square,+090-740-760-717-853+,3,740 760,853,False,False,False
717,M-360,Mohenjo-daro,SEAL:R,None,cuboid-convex,Mohenjo-daro|SEAL:R|None|cuboid-convex,+090-740-717-770-235+,2,090 740,770 235,False,False,False
717,M-376,Mohenjo-daro,SEAL:R,None,cuboid-convex,Mohenjo-daro|SEAL:R|None|cuboid-convex,+740-100-176-002-861-533-717+,6,861 533,<END>,True,True,False
717,M-391,Mohenjo-daro,SEAL:R,None,cuboid-convex,Mohenjo-daro|SEAL:R|None|cuboid-convex,+405-845-686-740-793-003-233-805-002-861-533-717+,11,861 533,<END>,True,True,False
717,M-521,Mohenjo-daro,TAB:C,-,rectangular,Mohenjo-daro|TAB:C|-|rectangular,+000-000-717-747+,2,000 000,747,False,False,False
717,M-651,Mohenjo-daro,SEAL:S,Bull1:W,square,Mohenjo-daro|SEAL:S|Bull1:W|square,+740-717-220-240-002-820+,1,740,220 240,False,False,False
717,M-655,Mohenjo-daro,SEAL:S,Bull1,square,Mohenjo-daro|SEAL:S|Bull1|square,+740-717-233-002-220-880-689+,1,740,233 002,False,False,False
717,M-713,Mohenjo-daro,SEAL:S,Bull1,square,Mohenjo-daro|SEAL:S|Bull1|square,+226-803-717-002-764+,2,226 803,002 764,False,False,False
